Age,Buyer.County of Origin,Buyer.Full Name,Buyer.Origin,Buyer.State of Origin,Date,Discount Rate,Gender,Name,Number of Adult Slaves,Number of Child Slaves,Number of Total Slaves Purchased,Payment Method,Predicted Interest Rate,Price,Prices Listed,Seller.County of Origin,Seller.Full Name,Seller.Origin,Seller.State of Origin,Skin Color
41.0,New Orleans,Robert Pitkin,"New Orleans, LA",LA,12/8/1856,0.005776137,M,Robert/ Bob,1,0,1,Cash and Credit,0.0715586,500.0,1,Jefferson,David Resolve Godwin,"Jefferson, LA",LA,Griff
38.0,New Orleans,Augustus Block,"New Orleans, LA",LA,12/13/1856,0.00583485,F,Betty,1,7,8,Cash and Credit,0.07230948,5500.0,1,New Orleans,Mary Ann Smucker,"New Orleans, LA",LA,Griff
21.0,Jackson,Henry H. Carter,"Jackson, LA",LA,12/12/1856,0.00602698,M,Nat,1,0,1,Cash,0.07477,1275.0,1,Montgomery,John G. Johnson,"Montgomery, AL",AL,Negro
20.0,Jackson,Henry H. Carter,"Jackson, LA",LA,12/12/1856,0.00602698,F,Mary,1,0,1,Cash,0.07477,1075.0,1,Montgomery,John G. Johnson,"Montgomery, AL",AL,Negro
26.0,New Orleans,Andrew & Lierau Unknown,"New Orleans, LA",LA,12/15/1856,0.00602698,F,Elizabeth,1,0,1,Cash,0.07477,1200.0,1,New Orleans,John Jackson,"New Orleans, LA",LA,Griff
15.0,New Orleans,Jose Martinez,"New Orleans, LA",LA,12/15/1856,0.00602698,M,John,1,0,1,Cash,0.07477,860.0,1,New Orleans,Mary Regan,"New Orleans, LA",LA,Negro
37.0,New Orleans,Elizabeth Leticia Robinson,"New Orleans, LA",LA,12/16/1856,0.00602698,F,Jane,1,0,1,Cash,0.07477,650.0,1,New Orleans,Pierre Amedee de Buys,"New Orleans, LA",LA,Griff
26.0,New Orleans,Lewis Neville Shelton,"New Orleans, LA",LA,12/10/1856,0.00602698,M,Puis,1,0,1,Cash,0.07477,1200.0,1,Grand Gulf,Robert C. Hume,"Grand Gulf, MS",MS,Dark Griff
41.0,New Orleans,Mary Anna Parent,"New Orleans, LA",LA,12/17/1856,0.00583485,F,Henriette,1,2,3,Cash and Credit,0.07230948,1250.0,1,New Orleans,Jacques Calonjat,"New Orleans, LA",LA,Negro
17.0,New Orleans,Betty Whitehead Cunningham,"New Orleans, LA",LA,12/15/1856,0.00602698,F,Anna,1,0,1,Cash,0.07477,1250.0,1,New Orleans,John J. Green,"New Orleans, LA",LA,Griff
13.0,New Orleans,William Henry Crafts,"New Orleans, LA",LA,12/17/1856,0.00602698,F,Oneida,1,0,1,Cash,0.07477,600.0,1,New Orleans,Celeste Dapremont,"New Orleans, LA",LA,Griff
11.0,New Orleans,John Trabue Hatcher,"New Orleans, LA",LA,12/17/1856,0.00602698,F,Dinah,1,0,1,Cash,0.07477,675.0,1,New Orleans,Pablo Gelpi,"New Orleans, LA",LA,Negro
38.0,New Orleans,Lewis Neville Shelton,"New Orleans, LA",LA,12/19/1856,0.00602698,F,Minerva,1,0,1,Cash,0.07477,400.0,1,St. Tammany,Samuel P. Russ,"St. Tammany, LA",LA,Light Black
24.0,West Baton Rouge,James Richard Duvall,"West Baton Rouge, LA",LA,12/19/1856,0.00587886,M,Hiram,2,0,2,Credit,0.07287264,1450.0,2,Richmond,Jeremiah Smith,"Richmond, VA",VA,Griff
30.0,New Orleans,Warren Shelton,"New Orleans, LA",LA,12/12/1856,0.006901355,M,Edmond,7,0,7,Credit,0.0860332,11000.0,1,New Orleans,Daniel Pierre Pautz,"New Orleans, LA",LA,Negro
15.0,Unknown,Josephine Magagnos,"Unknown, Unknown",Unknown,12/18/1856,0.00602698,F,Clarissa,1,0,1,Cash,0.07477,1050.0,1,New Orleans,Theodore Johnston,"New Orleans, LA",LA,Negro
20.0,New Orleans,Eliza Huntington,"New Orleans, LA",LA,12/20/1856,0.00602698,M,Carlos,1,0,1,Cash,0.07477,1150.0,1,Polk,Geph P. Ross,"Polk, TX",TX,Negro
23.0,Ascension,Louisa Doyal,"Ascension, LA",LA,12/20/1856,0.00602698,M,Thomas Jefferson,1,0,1,Cash,0.07477,1200.0,1,New Orleans,Jane McNair Baldwin,"New Orleans, LA",LA,Mulatto
26.0,New Orleans,Henry Hicke Crocker,"New Orleans, LA",LA,12/10/1856,0.00583485,F,Sarah,1,0,1,Cash and Credit,0.07230948,800.0,1,New Orleans,Cromwell & Taylor Unknown,"New Orleans, LA",LA,Negro
29.0,New Orleans,Lewis Neville Shelton,"New Orleans, LA",LA,12/22/1856,0.00602698,F,Barney,1,0,1,Cash,0.07477,710.0,1,Pensacola,Ezekiel E. Simpson,"Pensacola, FL",FL,Negro
24.0,New Orleans,Joseph Francois Avet,"New Orleans, LA",LA,12/22/1856,0.00602698,M,Anthony,3,0,3,Cash,0.07477,0.0,1,New Orleans,Claude Frederick Avet,"New Orleans, LA",LA,Negro
25.0,New Orleans,Joseph Francois Avet,"New Orleans, LA",LA,12/22/1856,0.00602698,F,Pauline,1,0,1,Cash,0.07477,775.0,1,New Orleans,"Claude Frederick, Caroline Isabella Haifleigh Avet","New Orleans, LA",LA,Griff
