Age,Buyer.County of Origin,Buyer.Full Name,Buyer.Origin,Buyer.State of Origin,Date,Discount Rate,Gender,Name,Number of Adult Slaves,Number of Child Slaves,Number of Total Slaves Purchased,Payment Method,Predicted Interest Rate,Price,Prices Listed,Seller.County of Origin,Seller.Full Name,Seller.Origin,Seller.State of Origin,Skin Color
49.0,New Orleans,Isaac Bloom,"New Orleans, LA",LA,7/10/1858,0.00602698,F,Phoebe,3,0,3,Cash,0.07477,900.0,1,New Orleans,Adolphus Bruenn,"New Orleans, LA",LA,Negro
5.25,New Orleans,Antoine Zicaro,"New Orleans, LA",LA,7/12/1858,0.00602698,F,Josephine,1,0,1,Cash,0.07477,50.0,1,New Orleans,Felicite Neda,"New Orleans, LA",LA,Unknown
16.0,New Orleans,William Reed,"New Orleans, LA",LA,7/6/1858,0.00602698,M,Charles,1,0,1,Cash,0.07477,838.66,1,Mobile,John  Johnson,"Mobile, AL",AL,Griff
43.0,New Orleans,Germaine Leroy,"New Orleans, LA",LA,7/29/1858,0.00602698,F,Ellen,1,0,1,Cash,0.07477,700.0,1,New Orleans,Society for the Relief of Destitute Orphan Boys Unknown,"New Orleans, LA",LA,Negro
33.0,New Orleans,George William Rebentisch,"New Orleans, LA",LA,7/14/1858,0.00602698,F,Jenny,1,0,1,Cash,0.07477,770.0,1,New Orleans,Antoine Ragazzoni Jr.,"New Orleans, LA",LA,Negro
23.0,New Orleans,Richard P.  Sulter,"New Orleans, LA",LA,7/14/1858,0.00602698,F,Mary,1,0,1,Cash,0.07477,1000.0,1,New Orleans,John Ross McDonald,"New Orleans, LA",LA,Mulatto
26.0,New Orleans,Charles B.  Winchester,"New Orleans, LA",LA,7/12/1858,0.00602698,F,Maria,3,0,3,Cash,0.07477,1000.0,1,New Orleans,Isaac Bloom,"New Orleans, LA",LA,Negro
48.0,New Orleans,John  Taylor,"New Orleans, LA",LA,7/15/1858,0.005761452,M,Solomon,2,2,4,Cash and Credit,0.07137088,2000.0,1,New Orleans,Jacob John Lugenbuhl,"New Orleans, LA",LA,Negro
14.0,New Orleans,Zachary Bruenn,"New Orleans, LA",LA,7/15/1858,0.00602698,F,Fanchette,2,0,2,Cash,0.07477,1400.0,1,New Orleans,Adolphus Bruenn,"New Orleans, LA",LA,Mulatto
22.0,New Orleans,Catherine Clarisse Faurie,"New Orleans, LA",LA,12/8/1857,0.00602698,F,Fanny,1,0,1,Cash,0.07477,1150.0,1,New Orleans,John Trabue Hatcher,"New Orleans, LA",LA,Negro
40.0,New Orleans,Rowan McNaughten,"New Orleans, LA",LA,7/15/1858,0.006173291,F,Maryanne,1,0,1,Credit,0.0766472,850.0,1,New Orleans,Lucien Allibert,"New Orleans, LA",LA,Negro
46.0,New Orleans,Mary Josephine Morihiser,"New Orleans, LA",LA,7/16/1858,0.006202525,F,Manette,1,3,4,Credit,0.07702264,1020.0,1,New Orleans,Adolphe Menuet,"New Orleans, LA",LA,Mulatto
26.0,New Orleans,John H. Pohlhaus,"New Orleans, LA",LA,7/16/1858,0.00602698,F,Priscilla,1,0,1,Cash,0.07477,1000.0,1,Mobile,Addra P.  Johnson,"Mobile, AL",AL,Negro
0.583333333,New Orleans,Amanda Enoul,"New Orleans, LA",LA,7/12/1858,0.00602698,F,Marie Fillette,1,0,1,Cash,0.07477,100.0,1,St. Bernard,Elodie Chalaire,"St. Bernard, LA",LA,Quarteroon
1.333333333,New Orleans,Juliette Avegno,"New Orleans, LA",LA,5/31/1858,0.00602698,F,Felicie,1,0,1,Cash,0.07477,100.0,1,New Orleans,Cornelius McCormick,"New Orleans, LA",LA,Unknown
28.0,Unknown,Josephine Meugens,"Unknown, Unknown",Unknown,8/11/1858,0.00602698,F,Hariet,1,2,3,Cash,0.07477,1690.0,1,New Orleans,Camillia  Magagnos,"New Orleans, LA",LA,Unknown
25.0,New Orleans,Simeon E. Buford,"New Orleans, LA",LA,8/19/1858,0.00602698,F,Winney,1,0,1,Cash,0.07477,922.5,1,New Orleans,William Martin Whiting,"New Orleans, LA",LA,Griff
39.0,New Orleans,Livingston H. Gardner,"New Orleans, LA",LA,8/18/1858,0.006202525,M,Joe,1,0,1,Credit,0.07702264,2250.0,1,New Orleans,Philip Semmes,"New Orleans, LA",LA,Negro
25.0,New Orleans,John S. Burke,"New Orleans, LA",LA,8/19/1858,0.00583485,F,Susan,1,0,1,Cash and Credit,0.07230948,1309.37,1,New Orleans,Bernard Kendig,"New Orleans, LA",LA,Negro
22.0,New Orleans,Benjamin S. Harrison,"New Orleans, LA",LA,8/11/1858,0.005790818,M,Richard Sheppard,1,0,1,Cash and Credit,0.07174632,1200.0,1,New Orleans,Numa Honore Larose Mimard,"New Orleans, LA",LA,Negro
-1.0,Unknown,James Peter  Freret,"Unknown, Unknown",Unknown,8/7/1858,0.006202525,M,Webb,2,0,2,Credit,0.07702264,1425.0,2,Unknown,Felix Ducayet,"Unknown, Unknown",Unknown,Unknown
11.0,New Orleans,Jacob Winegartner,"New Orleans, LA",LA,2/9/1858,0.00602698,M,Edmund,1,0,1,Cash,0.07477,650.0,1,New Orleans,Bernard Kendig,"New Orleans, LA",LA,Black
27.0,New Orleans,David Resolve Godwin,"New Orleans, LA",LA,2/18/1858,0.006085532,M,John,1,0,1,Credit,0.07552088,1000.0,1,New Orleans,Charles Pitts,"New Orleans, LA",LA,Negro
40.0,New Orleans,William Martin Whiting,"New Orleans, LA",LA,8/24/1858,0.00602698,M,July,1,0,1,Cash,0.07477,1000.0,1,New Orleans,Charles Francis Hatcher,"New Orleans, LA",LA,Negro
11.0,New Orleans,John Ball,"New Orleans, LA",LA,8/5/1858,0.00602698,F,Lydia,1,0,1,Cash,0.07477,600.0,1,New Orleans,Isaac Bloom,"New Orleans, LA",LA,Negro
20.0,New Orleans,Septime Fortier,"New Orleans, LA",LA,8/25/1858,0.00602698,M,Alfred,1,0,1,Cash,0.07477,1000.0,1,New Orleans,Morgan R. Hughes,"New Orleans, LA",LA,Negro
30.0,New Orleans,Lydia Adelaide Willard,"New Orleans, LA",LA,8/27/1858,0.00602698,F,Martha,1,0,1,Donation,0.07477,0.0,1,Unknown,Felipa Rousseau,"Unknown, Unknown",Unknown,Negro
25.0,New Orleans,Albert Gallatin Semmes,"New Orleans, LA",LA,8/27/1858,0.005790818,F,Emily,1,0,1,Cash and Credit,0.07174632,950.0,1,New Orleans,Marie Julia Murray,"New Orleans, LA",LA,Negro
41.0,New Orleans,John Joseph Castellanos,"New Orleans, LA",LA,8/24/1858,0.00602698,F,Iris,1,0,1,Cash,0.07477,500.0,1,Unknown,David Watson Sowles,"Unknown, Unknown",Unknown,Negro
30.0,New Orleans,Ursin Dellande,"New Orleans, LA",LA,8/30/1858,0.00602698,F,Clarisse,1,1,2,Cash,0.07477,1350.0,1,New Orleans,Rose Agnes Sacriste,"New Orleans, LA",LA,Negro
21.0,New Orleans,Louisa Maria Jolles,"New Orleans, LA",LA,8/31/1858,0.00602698,M,Henry,1,0,1,Cash,0.07477,1150.0,1,Mobile,Balthazar Tardy,"Mobile, AL",AL,Griff
40.0,New Orleans,Francis Moreno,"New Orleans, LA",LA,9/1/1858,0.00602698,F,Innocente,1,0,1,Cash,0.07477,900.0,1,New Orleans,Alexander Bonneval,"New Orleans, LA",LA,Negro
17.0,New Orleans,William Titterton,"New Orleans, LA",LA,9/1/1858,0.006114795,M,William,1,0,1,Credit,0.07589632,600.0,1,New Orleans,Richard Albert Howard,"New Orleans, LA",LA,Griff
27.0,New Orleans,Peter Llufrin,"New Orleans, LA",LA,9/2/1858,0.00602698,F,Betty,1,2,3,Cash,0.07477,1225.0,1,New Orleans,Eliza W.  Owings,"New Orleans, LA",LA,Mulatto
35.0,New Orleans,James Nimick,"New Orleans, LA",LA,7/1/1858,0.005790818,F,Eliza,1,3,4,Cash and Credit,0.07174632,2025.0,1,New Orleans,Henry Holmes,"New Orleans, LA",LA,Unknown
17.0,New Orleans,David C.  McCan,"New Orleans, LA",LA,7/1/1858,0.005790818,M,Frank,1,0,1,Cash and Credit,0.07174632,1125.0,1,New Orleans,Henry Holmes,"New Orleans, LA",LA,Griff
12.0,New Orleans,Suzanne Bosque,"New Orleans, LA",LA,9/4/1858,0.00602698,M,Julien,1,0,1,Cash,0.07477,600.0,1,New Orleans,"Adeline Eugenie, Henry Desgrais, Dagorret","New Orleans, LA",LA,Negro
20.0,Unknown,Francisco Romagosa,"Unknown, Unknown",Unknown,8/7/1858,0.006202525,M,Silas Dillard,1,0,1,Credit,0.07702264,1425.0,1,Unknown,Felix  Ducayet,"Unknown, Unknown",Unknown,Negro
22.0,New Orleans,James W. Fee,"New Orleans, LA",LA,9/1/1858,0.005790818,M,Andrew,1,0,1,Cash and Credit,0.07174632,1350.0,1,New Orleans,Henry Holmes,"New Orleans, LA",LA,Negro
20.0,New Orleans,Ann de Visser,"New Orleans, LA",LA,12/8/1857,0.00602698,F,Rosa,1,0,1,Cash,0.07477,1000.0,1,New Orleans,Simon de Visser,"New Orleans, LA",LA,Mulatto
32.0,New Orleans,George  Allen,"New Orleans, LA",LA,1/28/1858,0.00602698,F,Marie,1,1,2,Cash,0.07477,850.0,1,New Orleans,John Hampden Lewis,"New Orleans, LA",LA,Negro
13.0,New Orleans,Jules Lapene,"New Orleans, LA",LA,9/9/1858,0.00602698,M,Philo,1,0,1,Cash,0.07477,600.0,1,New Orleans,Rose Agnes Sacriste,"New Orleans, LA",LA,Negro
24.0,Unknown,Rosella Mary Colquhoun,"Unknown, Unknown",Unknown,9/8/1858,0.00602698,F,Pauline,1,0,1,Cash,0.07477,0.0,1,Unknown,Antonio Hernandez,"Unknown, Unknown",Unknown,Negro
30.0,New Orleans,David Resolve Godwin,"New Orleans, LA",LA,9/11/1858,0.00602698,M,Jules,1,0,1,Cash,0.07477,1400.0,1,New Orleans,"Marie Joseph, Francois, Joseph Picard, Montieu, Montieu","New Orleans, LA",LA,Negro
67.0,New Orleans,Anatole Leaumont,"New Orleans, LA",LA,9/9/1858,0.00602698,F,Zabitan,1,0,1,Cash,0.07477,500.0,1,New Orleans,Rose  Noisette,"New Orleans, LA",LA,Negro
24.0,New Orleans,J. B. Valentine & Co.  Unknown,"New Orleans, LA",LA,9/13/1858,0.00602698,F,Marie Louise,1,1,2,Cash,0.07477,1000.0,1,Paris,"Zelie, Amelie Lay","Paris, France",France,Negro
20.0,New Orleans,John Graves,"New Orleans, LA",LA,9/15/1858,0.00602698,M,Joseph,1,0,1,Cash,0.07477,0.0,1,New Orleans,William Jackson Maynard,"New Orleans, LA",LA,Mulatto
42.0,New Orleans,Lucien Constant Adams,"New Orleans, LA",LA,9/14/1858,0.00587886,F,Amey Johnson,1,2,3,Cash and Credit,0.07287264,1210.0,1,New Orleans,Henry Mennes,"New Orleans, LA",LA,Negro
20.0,New Orleans,William Jackson Maynard,"New Orleans, LA",LA,9/3/1858,0.00602698,M,Henry Richardson,1,0,1,Cash,0.07477,1000.0,1,New Orleans,Charles Ursin Plicque,"New Orleans, LA",LA,Negro
22.0,New Orleans,George W. Church,"New Orleans, LA",LA,8/30/1858,0.006202525,M,Billy Barlow,1,0,1,Credit,0.07702264,1500.0,1,New Orleans,Sewell T. Taylor,"New Orleans, LA",LA,Negro
32.0,New Orleans,James Alexander Lobdell,"New Orleans, LA",LA,9/16/1858,0.00602698,M,Peter,1,0,1,Cash,0.07477,700.0,1,New Orleans,Samuel Torrence Watson,"New Orleans, LA",LA,Negro
33.0,New Orleans,Adolphe Menuet,"New Orleans, LA",LA,9/7/1858,0.00602698,F,Josephine,1,0,1,Cash,0.07477,250.0,1,New Orleans,Leonard Nicolas Jahan,"New Orleans, LA",LA,Dark Griff
33.0,New Orleans,Betsy Bell,"New Orleans, LA",LA,9/17/1858,0.00602698,F,Betsy Anne,1,1,2,Cash,0.07477,1400.0,1,New Orleans,Pierre Benague,"New Orleans, LA",LA,Negro
32.0,New Orleans,Eliza R. Proctor,"New Orleans, LA",LA,9/13/1858,0.00587886,M,Lowery,1,0,1,Cash and Credit,0.07287264,1500.0,1,New Orleans,Simon Melliet,"New Orleans, LA",LA,Negro
35.0,New Orleans,William Martin Whiting,"New Orleans, LA",LA,9/17/1858,0.005820175,M,Washington,1,0,1,Cash and Credit,0.07212176,900.0,1,New Orleans,Bernard Kendig,"New Orleans, LA",LA,Negro
14.0,New Orleans,Bernard Kendig,"New Orleans, LA",LA,9/13/1858,0.00602698,F,Hebe,1,0,1,Cash,0.07477,670.0,1,New Orleans,Kate B. Cottman,"New Orleans, LA",LA,Unknown
36.0,Lafourche,James M. Sanders,"Lafourche, LA",LA,8/31/1858,0.00602698,F,Creesy,1,3,4,Cash,0.07477,3000.0,1,New Orleans,George W. Squires,"New Orleans, LA",LA,Negro
35.0,New Orleans,William Hopkins,"New Orleans, LA",LA,9/22/1858,0.00602698,F,Chloe,1,0,1,Cash,0.07477,400.0,1,New Orleans,Simeon E. Buford,"New Orleans, LA",LA,Negro
28.0,New Orleans,Simeon E. Buford,"New Orleans, LA",LA,9/14/1858,0.00602698,F,Adeline,1,0,1,Cash,0.07477,900.0,1,New Orleans,Victoire Paty,"New Orleans, LA",LA,Negro
20.0,New Orleans,Bernard Kendig,"New Orleans, LA",LA,9/13/1858,0.00602698,F,Tempe,1,0,1,Cash,0.07477,1100.0,1,New Orleans,Gardner Smith,"New Orleans, LA",LA,Negro
40.0,Unknown,James H. Phelps,"Unknown, Unknown",Unknown,9/20/1858,0.00602698,F,America,1,0,1,Cash,0.07477,675.0,1,Unknown,Bennett E. Smith,"Unknown, Unknown",Unknown,Unknown
31.0,New Orleans,John Welsh,"New Orleans, LA",LA,9/24/1858,0.00602698,F,Lousia,1,0,1,Cash,0.07477,650.0,1,New Orleans,Samuel Woodall,"New Orleans, LA",LA,Griff
45.0,New Orleans,Edward Tomatis,"New Orleans, LA",LA,9/23/1858,0.00587886,M,Ned,1,0,1,Cash and Credit,0.07287264,625.0,1,New Orleans,Francois Saulet,"New Orleans, LA",LA,Negro
6.0,New Orleans,Michael Riordan,"New Orleans, LA",LA,9/21/1858,0.00602698,F,Harriet,1,0,1,Cash,0.07477,510.0,1,Jefferson,Simeon E. Buford,"Jefferson, LA",LA,Negro
17.0,New Orleans,Israel S. Reeves,"New Orleans, LA",LA,9/7/1858,0.005732077,F,Julie,2,0,2,Cash and Credit,0.07099544,1110.0,2,New Orleans,Catherine McMurray,"New Orleans, LA",LA,Negro
11.0,New Orleans,John S. Burke,"New Orleans, LA",LA,9/20/1858,0.00583485,F,Nancy,1,0,1,Cash and Credit,0.07230948,991.25,1,New Orleans,Bernard Kendig,"New Orleans, LA",LA,Griff
17.0,New Orleans,Edward Locquete,"New Orleans, LA",LA,9/16/1858,0.00587886,M,Robert,1,0,1,Cash and Credit,0.07287264,850.0,1,New Orleans,Marie Solidelle Orillon,"New Orleans, LA",LA,Creole Negro
23.0,New Orleans,Cornelius Bicknell Payne,"New Orleans, LA",LA,9/18/1858,0.00602698,M,Louis,1,0,1,Cash,0.07477,1050.0,1,New Orleans,John Lyall,"New Orleans, LA",LA,Negro
12.0,New Orleans,Adelaide Palmyre Alpuente,"New Orleans, LA",LA,9/28/1858,0.00602698,F,Maria,1,0,1,Cash,0.07477,750.0,1,Unknown,Julie Pamela May,"Unknown, Unknown",Unknown,Negro
52.0,New Orleans,Anna Perris,"New Orleans, LA",LA,9/28/1858,0.00602698,F,Julie,1,0,1,Cash,0.07477,300.0,1,New Orleans,Oscar Liveaudais,"New Orleans, LA",LA,Negro
42.0,Unknown,Jean Henri Parlange,"Unknown, Unknown",Unknown,9/27/1858,0.00602698,M,Cesar,1,0,1,Cash,0.07477,915.0,1,Unknown,Thomas McBurney,"Unknown, Unknown",Unknown,Negro
31.0,New Orleans,Adolphe Menuet,"New Orleans, LA",LA,9/28/1858,0.00602698,F,Louisa,1,0,1,Cash,0.07477,850.0,1,New Orleans,John Welsh,"New Orleans, LA",LA,Negro
50.0,New Orleans,Laurent Bodet,"New Orleans, LA",LA,9/16/1858,0.006202525,F,Prudence,1,1,2,Credit,0.07702264,1400.0,1,New Orleans,Alexandrine Gere de Lamotte,"New Orleans, LA",LA,Negro
21.0,West Baton Rouge,Sosthene Allain,"West Baton Rouge, LA",LA,10/1/1858,0.00602698,F,Rose,1,0,1,Cash,0.07477,1158.0,1,New Orleans,Valerien Allain,"New Orleans, LA",LA,Mulatto
55.0,New Orleans,Manuel Goldsmith,"New Orleans, LA",LA,10/1/1858,0.00602698,F,Francoise,1,0,1,Cash,0.07477,500.0,1,New Orleans,"Guillaume, Henry Larras, Sorbet","New Orleans, LA",LA,Mulatto
37.0,New Orleans,John Buchanan Coulter,"New Orleans, LA",LA,10/2/1858,0.00602698,M,Henry,1,0,1,Cash,0.07477,950.0,1,Mobile,Francis Winter,"Mobile, AL",AL,Griff
14.0,New Orleans,Robert McRee,"New Orleans, LA",LA,9/25/1858,0.00602698,M,Frank,1,0,1,Cash,0.07477,850.0,1,New Orleans,John Joseph Williams,"New Orleans, LA",LA,Negro
60.0,Unknown,Robert Dyas,"Unknown, Unknown",Unknown,8/13/1858,0.00602698,M,Henderson,1,0,1,Cash,0.07477,580.0,1,Unknown,Charles Byrne,"Unknown, Unknown",Unknown,Griff
27.0,New Orleans,"Jules, Jean Baptiste Blineau","New Orleans, LA",LA,10/2/1858,0.00602698,M,Henry,1,0,1,Cash,0.07477,1500.0,1,New Orleans,Francois Gras,"New Orleans, LA",LA,Negro
17.0,New Orleans,August Mercier,"New Orleans, LA",LA,10/2/1858,0.00602698,M,Joseph,1,0,1,Cash,0.07477,1700.0,1,New Orleans,Adolphe Menuet,"New Orleans, LA",LA,Mulatto
15.0,New Orleans,Peter Kaiser,"New Orleans, LA",LA,9/27/1858,0.00602698,F,Martha,1,0,1,Cash,0.07477,1000.0,1,Jefferson,Columbia S. Sydnor,"Jefferson, LA",LA,Negro
17.0,New Orleans,Charles Hyllested,"New Orleans, LA",LA,10/6/1858,0.00602698,M,Louis,1,0,1,Cash,0.07477,1350.0,1,New Orleans,Bernard Kendig,"New Orleans, LA",LA,Negro
20.0,New Orleans,Andrew Oliver Jackson,"New Orleans, LA",LA,10/6/1858,0.005746766,M,Thomas,1,0,1,Cash and Credit,0.07118316,1200.0,1,New Orleans,Pierre Clement Mortimer Belly,"New Orleans, LA",LA,Negro
32.0,New Orleans,Andrew Oliver Jackson,"New Orleans, LA",LA,10/6/1858,0.006202525,M,Joe,1,0,1,Credit,0.07702264,1250.0,1,New Orleans,Euphrosine Sarde,"New Orleans, LA",LA,Negro
16.0,Unknown,Keep Bard & Co. Unknown,"Unknown, Unknown",Unknown,8/24/1858,0.00602698,M,John Bowman,1,0,1,Cash,0.07477,975.0,1,Unknown,Thomas J. Casey,"Unknown, Unknown",Unknown,Negro
33.0,New Orleans,Henry Blaese,"New Orleans, LA",LA,10/5/1858,0.00602698,F,America,1,0,1,Cash,0.07477,200.0,1,Jackson,John Lutz,"Jackson, MS",MS,Negro
19.0,New Orleans,"Ursin, Alfred Dellande","New Orleans, LA",LA,10/8/1858,0.00602698,M,Charles,1,0,1,Cash,0.07477,1100.0,1,New Orleans,Charles Arthur Gayarre,"New Orleans, LA",LA,Unknown
32.0,New Orleans,Honora Comer,"New Orleans, LA",LA,10/1/1858,0.00602698,F,Nicey,1,0,1,Cash,0.07477,700.0,1,Mobile,Balthazar Tardy,"Mobile, AL",AL,Negro
18.0,Pointe Coupee,L. Ladmirault,"Pointe Coupee, LA",LA,10/9/1858,0.00602698,F,Elizabeth,1,1,2,Cash,0.07477,1200.0,1,New Orleans,Adolphe Menuet,"New Orleans, LA",LA,Negro
18.0,New Orleans,Felicite la Branche,"New Orleans, LA",LA,9/30/1858,0.00602698,F,Carmelite,1,0,1,Cash,0.07477,1200.0,1,New Orleans,James Donatien Augustin,"New Orleans, LA",LA,Mulatto
28.0,Unknown,Joseph David,"Unknown, Unknown",Unknown,6/7/1858,0.00602698,M,William,2,0,2,Cash,0.07477,900.0,1,Plaquemines,Fidele Noel Tagliaferre,"Plaquemines, LA",LA,Mulatto
50.0,New Orleans,Edwin Smith Oliver,"New Orleans, LA",LA,9/30/1858,0.00602698,M,Jack,2,0,2,Cash,0.07477,1500.0,1,Plaquemines,"William, Haywood Stackhouse","Plaquemines, LA",LA,Negro
24.0,New Orleans,Aaron Cohen,"New Orleans, LA",LA,10/5/1858,0.00602698,M,William,1,0,1,Cash,0.07477,1200.0,1,New Orleans,Eliza Mary Francis,"New Orleans, LA",LA,Unknown
49.0,New Orleans,Louise Althee Berta,"New Orleans, LA",LA,10/14/1858,0.00602698,F,Henriette,1,1,2,Cash,0.07477,1350.0,1,New Orleans,Germain Burton,"New Orleans, LA",LA,Negro
33.0,New Orleans,Jean Adolphe Blanc,"New Orleans, LA",LA,10/14/1858,0.00602698,M,Bob,1,0,1,Cash,0.07477,400.0,1,Versailles,Marie Cesarine Sophie Coste,"Versailles, France",France,Mulatto
28.0,New Orleans,Henri Doncieux Lambert,"New Orleans, LA",LA,10/15/1858,0.00602698,M,William,1,0,1,Cash,0.07477,500.0,1,New Orleans,Joseph David,"New Orleans, LA",LA,Mulatto
29.0,New Orleans,William Thomas Hepp,"New Orleans, LA",LA,10/15/1858,0.00602698,M,John French,1,0,1,Cash,0.07477,1200.0,1,New Orleans,John Pemberton,"New Orleans, LA",LA,Mulatto
21.0,New Orleans,Josephine  Heine,"New Orleans, LA",LA,10/18/1858,0.00602698,F,Lucy,1,0,1,"Barter, Cash",0.07477,900.0,1,New Orleans,Mary Ann Schloss,"New Orleans, LA",LA,Negro
30.0,New Orleans,Irvine Holman Bradfute,"New Orleans, LA",LA,10/15/1858,0.00602698,M,Levy,1,0,1,Cash,0.07477,1000.0,1,New Orleans,Simeon E. Buford,"New Orleans, LA",LA,Negro
19.0,New Orleans,Joseph Rosenthal,"New Orleans, LA",LA,10/15/1858,0.00602698,F,Liza,1,1,2,Cash,0.07477,1200.0,1,New Orleans,Bernard Finckel,"New Orleans, LA",LA,Negro
15.0,New Orleans,Williamine Desforges,"New Orleans, LA",LA,10/19/1858,0.00602698,F,Thereza,1,0,1,Cash,0.07477,950.0,1,New Orleans,Pierre Michel Nice,"New Orleans, LA",LA,Griff
39.0,New Orleans,Betsy Cole,"New Orleans, LA",LA,10/2/1858,0.00602698,F,Margaret Stewart,1,0,1,Cash,0.07477,500.0,1,New Orleans,Conrad Henry Craling,"New Orleans, LA",LA,Negro
24.0,New Orleans,Almira L. Phelps,"New Orleans, LA",LA,10/18/1858,0.00602698,F,Ellen,1,1,2,Cash,0.07477,1600.0,1,New Orleans,Bernard Kendig,"New Orleans, LA",LA,Yellow
29.0,Jefferson,Victor Burthe,"Jefferson, LA",LA,10/20/1858,0.005790818,M,Silas,1,0,1,Cash and Credit,0.07174632,1200.0,1,New Orleans,Jeanne Henriette Millaudon,"New Orleans, LA",LA,Negro
33.0,New Orleans,Jean Rodi,"New Orleans, LA",LA,10/21/1858,0.00602698,F,Charlotte,1,1,2,Cash,0.07477,1225.0,1,New Orleans,Marie Pelissier,"New Orleans, LA",LA,Mulatto
37.0,New Orleans,Pierre Andre Giamarchi,"New Orleans, LA",LA,10/23/1858,0.00602698,F,Melinda,1,0,1,Cash,0.07477,100.0,1,New Orleans,Rosa Rieux,"New Orleans, LA",LA,Negro
27.0,New Orleans,George  Heation,"New Orleans, LA",LA,10/23/1858,0.00602698,F,Josephine,1,0,1,Cash,0.07477,1300.0,1,New Orleans,Octave Duplantier,"New Orleans, LA",LA,Negro
28.0,New Orleans,Charles Emile Ruhl,"New Orleans, LA",LA,10/23/1858,0.006202525,F,Carmelite,1,0,1,Credit,0.07702264,1200.0,1,New Orleans,Emilie Demoruelle,"New Orleans, LA",LA,Negro
37.0,New Orleans,Bernard Kendig,"New Orleans, LA",LA,10/26/1858,0.00602698,M,Moses,1,0,1,Cash,0.07477,1050.0,1,St. John,Valsin Bozomier Marmillion,"St. John, LA",LA,Negro
23.0,New Orleans,Charles Octave Flechier,"New Orleans, LA",LA,10/23/1858,0.005790818,F,Thomassine,1,2,3,Cash and Credit,0.07174632,1400.0,1,Paris,Citye Rose Alvarez,"Paris, France",France,Mulatto
20.0,New Orleans,Octave Duplantier,"New Orleans, LA",LA,10/28/1858,0.00602698,F,Marguerite,1,0,1,Cash,0.07477,1200.0,1,New Orleans,Marie Mestre,"New Orleans, LA",LA,Negro
19.0,New Orleans,Charles Etienne Lambert,"New Orleans, LA",LA,10/27/1858,0.00602698,M,Emile,1,0,1,Cash,0.07477,1300.0,1,New Orleans,Michel Joseph Lombard,"New Orleans, LA",LA,Mulatto
28.0,New Orleans,George  Hillman,"New Orleans, LA",LA,10/28/1858,0.00587886,M,Nelson,2,0,2,Cash and Credit,0.07287264,2000.0,1,New Orleans,Pauline Luciani,"New Orleans, LA",LA,Negro
33.0,Lafourche,Julia Rouvert,"Lafourche, LA",LA,10/29/1858,0.00602698,F,Josephine,1,0,1,Cash,0.07477,525.0,1,New Orleans,Adolphe Menuet,"New Orleans, LA",LA,Dark Griff
48.0,New Orleans,Emily Sarah Oliver,"New Orleans, LA",LA,10/15/1858,0.005754109,F,Nancy,1,0,1,Cash and Credit,0.07127702,800.0,1,Jefferson,Charles Emile Dugue Liveaudais,"Jefferson, LA",LA,Mulatto
30.0,New Orleans,James White,"New Orleans, LA",LA,10/18/1858,0.00602698,F,Rose,1,0,1,Cash,0.07477,900.0,1,New Orleans,James B. Hayes,"New Orleans, LA",LA,Negro
34.0,New Orleans,Benjamin S. Harrison,"New Orleans, LA",LA,10/12/1858,0.00587886,F,Etienne,2,0,2,Cash and Credit,0.07287264,2725.0,1,New Orleans,Eleanor Fogerty,"New Orleans, LA",LA,Unknown
12.0,New Orleans,David Bidwell,"New Orleans, LA",LA,10/22/1858,0.00602698,M,Joseph,1,0,1,Cash,0.07477,650.0,1,New Orleans,Clementine  Fortier,"New Orleans, LA",LA,Negro
36.0,New Orleans,Marie Salomi Volck,"New Orleans, LA",LA,10/8/1858,0.00602698,F,Letty,1,0,1,Cash,0.07477,800.0,1,New Orleans,Thomas H. Hilbert,"New Orleans, LA",LA,Negro
38.0,Orleans,Solomon Vincent Burton,"Orleans, LA",LA,10/28/1858,0.00602698,M,Henry Newton,2,0,2,Cash,0.07477,1600.0,1,Orleans,Edwin Almon Smith,"Orleans, LA",LA,Negro
23.0,New Orleans,Joshua M. Johnston,"New Orleans, LA",LA,10/30/1858,0.00602698,F,Caroline Howard,1,0,1,Cash,0.07477,1300.0,1,New Orleans,Mary B. Cheek,"New Orleans, LA",LA,Negro
32.0,New Orleans,Michael L. Mooney,"New Orleans, LA",LA,10/29/1858,0.00602698,M,Green,1,0,1,Cash,0.07477,850.0,1,New Orleans,Bernard Kendig,"New Orleans, LA",LA,Negro
44.0,New Orleans,Francis Vidal,"New Orleans, LA",LA,11/2/1858,0.00602698,M,Randall,1,0,1,Cash,0.07477,350.0,1,New Orleans,Jean Dubos,"New Orleans, LA",LA,Negro
37.0,New Orleans,Jean DeBenneville,"New Orleans, LA",LA,11/3/1858,0.005790818,F,Sarah,1,3,4,Cash and Credit,0.07174632,2650.0,1,New Orleans,"Richard B., Jane Clarke","New Orleans, LA",LA,Griff
19.0,New Orleans,Mary Mathilda Thompson,"New Orleans, LA",LA,11/6/1858,0.00602698,F,Maria,1,0,1,Cash,0.07477,1175.0,1,New Orleans,Edward Lynch,"New Orleans, LA",LA,Griff
36.0,New Orleans,Gustave Pierre Blancand,"New Orleans, LA",LA,11/8/1858,0.00602698,F,Helene,1,0,1,Cash,0.07477,850.0,1,New Orleans,Marie Elizabeth Antoinette Roux,"New Orleans, LA",LA,Negro
