General Order number,accredited to,awarded.date.day,awarded.date.month,awarded.date.year,birth.date.day,birth.date.month,birth.date.year,citation,company,death,division,entered service at,full,issued,latitude,link,location name,location.name,longitude,name,organization,rank
13,Illinois,-1,-1,-1,23,10,1883,"Serving on board the U.S.S. Bennington, for extraordinary heroism displayed at the time of the explosion of a boiler of that vessel at San Diego, Calif., 21 July 1905.",,True,,,-1--1--1,01/05/1906,32,http://www.cmohs.org/recipient-detail/2360/cronan-willie.php," Chicago, Ill.","San Diego, CA, USA",-117,"Cronan, Willie",U.S. Navy,Boatswain's Mate
13,,-1,-1,-1,19,9,1885,"Serving on board the U.S.S. Bennington, for extraordinary heroism displayed at the time of the explosion of a boiler of that vessel at San Diego, Calif., 21 July 1905.",,True,,"Puget Sound, Wash.",-1--1--1,01/05/1906,43,http://www.cmohs.org/recipient-detail/2361/davis-raymond-e.php," Mankato, Minn.","Board Room, Toronto, ON M5R, Canada",-79,"Davis, Raymond E.",U.S. Navy,Quartermaster
13,,-1,-1,-1,-1,-1,-1,"Serving on board the U.S.S. Benington, for extraordinary heroism displayed at the time of the explosion of a boiler of that vessel at San Diego, Calif., 21 July 1905.",,True,,,-1--1--1,01/05/1906,32,http://www.cmohs.org/recipient-detail/2364/fredericksen-emil.php,,"San Diego, CA, USA",-117,"Fredericksen, Emil",U.S. Navy,Watertender
13,Illinois,-1,-1,-1,24,12,1870,"On board the U.S.S. Bennington, for extraordinary heroism displayed at the time of the explosion of a boiler of that vessel at San Diego, Calif., 21 July 1905.",,True,,,-1--1--1,01/05/1906,32,http://www.cmohs.org/recipient-detail/2367/grbitch-rade.php, Austria,"San Diego, CA, USA",-117,"Grbitch, Rade",U.S. Navy,Seaman
13,Indiana,-1,-1,-1,31,7,1880,"On board the U.S.S. Bennington, for extraordinary heroism displayed at the time of the explosion of a boiler of that vessel at San Diego, Calif., 21 July 1905.",,True,,,-1--1--1,01/05/1906,32,http://www.cmohs.org/recipient-detail/2370/hill-frank-e.php," La Grange, Ind.","San Diego, CA, USA",-117,"Hill, Frank E.",U.S. Navy,Ship's Cook First Class
13,Minnesota,-1,-1,-1,5,11,1881,"Serving on board the U.S.S. Bennington, for extraordinary heroism displayed at the time of the explosion of a boiler of that vessel at San Diego, Calif., 21 July 1905.",,True,,,-1--1--1,01/05/1906,32,http://www.cmohs.org/recipient-detail/2377/nelson-oscar-frederick.php," Minneapolis, Minn.","San Diego, CA, USA",-117,"Nelson, Oscar Frederick",U.S. Navy,Machinist's Mate First Class
13,Nebraska,-1,-1,-1,10,8,1884,"While serving on board the U.S.S. Bennington for extraordinary heroism displayed at the time of the explosion of a boiler of that vessel at San Diego, Calif., 21 July 1905.",,True,,,-1--1--1,01/05/1906,32,http://www.cmohs.org/recipient-detail/2385/schmidt-otto-diller.php," Blair, Nebr.","San Diego, CA, USA",-117,"Schmidt, Otto Diller",U.S. Navy,Seaman
13,Virginia,-1,-1,-1,17,5,1880,"For extraordinary heroism while serving on the U.S.S. Bennington at the time of the explosion of a boiler of that vessel at San Diego, Calif., 21 July 1905.",,True,,,-1--1--1,01/05/1906,32,http://www.cmohs.org/recipient-detail/2386/shacklette-william-sidney.php," Delaplane, Va.","San Diego, CA, USA",-117,"Shacklette, William Sidney",U.S. Navy,Hospital Steward
3,,11,10,1943,-1,-1,-1,"For conspicuous gallantry and intrepidity above and beyond the call of duty in action with the enemy, Col. Kearby volunteered to lead a flight of 4 fighters to reconnoiter the strongly defended enemy base at Wewak. Having observed enemy installations and reinforcements at 4 airfields, and secured important tactical information, he saw an enemy fighter below him, made a diving attack and shot it down in flames. The small formation then sighted approximately 12 enemy bombers accompanied by 36 fighters. Although his mission had been completed, his fuel was running low, and the numerical odds were 12 to 1, he gave the signal to attack. Diving into the midst of the enemy airplanes he shot down 3 in quick succession. Observing 1 of his comrades with 2 enemy fighters in pursuit, he destroyed both enemy aircraft. The enemy broke off in large numbers to make a multiple attack on his airplane but despite his peril he made one more pass before seeking cloud protection. Coming into the clear, he called his flight together and led them to a friendly base. Col. Kearby brought down 6 enemy aircraft in this action, undertaken with superb daring after his mission was completed.",,True,Air Corps,"Dallas, Tex.",1943-10-11,01/06/1944,-3,http://www.cmohs.org/recipient-detail/2814/kearby-neel-e.php,"Wichita Falls, Tex.","Wewak, Papua New Guinea",143,"Kearby, Neel E.",U.S. Army,Colonel
2,,-1,-1,-1,27,10,1929,"Pfc. Knight, a member of Company F, distinguished himself by conspicuous gallantry and indomitable courage above and beyond the call of duty in action against the enemy. He occupied a key position in the defense perimeter when waves of enemy troops passed through their own artillery and mortar concentrations and charged the company position. Two direct hits from an enemy emplacement demolished his bunker and wounded him. Disregarding personal safety, he moved to a shallow depression for a better firing vantage. Unable to deliver effective fire from his defilade position, he left his shelter, moved through heavy fire in full view of the enemy and, firing into the ranks of the relentless assailants, inflicted numerous casualties, momentarily stemming the attack. Later during another vicious onslaught, he observed an enemy squad infiltrating the position and, counterattacking, killed or wounded the entire group. Expending the last of his ammunition, he discovered 3 enemy soldiers entering the friendly position with demolition charges. Realizing the explosives would enable the enemy to exploit the breach, he fearlessly rushed forward and disabled 2 assailants with the butt of his rifle when the third exploded a demolition charge killing the 3 enemy soldiers and mortally wounding Pfc. Knight. Pfc. Knight's supreme sacrifice and consummate devotion to duty reflect lasting glory on himself and uphold the noble traditions of the military service.",Company F,True,"7th Infantry Regiment, 3d Infantry Division","Jefferson, S.C.",-1--1--1,01/07/1953,38,http://www.cmohs.org/recipient-detail/3140/knight-noah-o.php," Chesterfield County, S.C.","Kowang-san, Wangjing-myeon, Yeoncheon-gun",126,"Knight, Noah O.",U.S. Army,Private First Class
3,,23,5,1944,-1,-1,-1,"For conspicuous gallantry and intrepidity at risk of life above and beyond the call of duty on 23 May 1944, in the vicinity of Cisterna, Italy. 2d Lt. Dervishian (then Tech. Sgt.) and 4 members of his platoon found themselves far ahead of their company after an aggressive advance in the face of enemy artillery and sniper fire. Approaching a railroad embankment, they observed a force of German soldiers hiding in dugouts. 2d Lt. Dervishian, directing his men to cover him, boldly moved forward and firing his carbine forced 10 Germans to surrender. His men then advanced and captured 15 more Germans occupying adjacent dugouts. The prisoners were returned to the rear to be picked up by advancing units. From the railroad embankment, 2d Lt. Dervishian and his men then observed 9 Germans who were fleeing across a ridge. He and his men opened fire and 3 of the enemy were wounded. As his men were firing, 2d Lt. Dervishian, unnoticed, fearlessly dashed forward alone and captured all of the fleeing enemy before his companions joined him on the ridge. At this point 4 other men joined 2d Lt. Dervishian's group. An attempt was made to send the 4 newly arrived men along the left flank of a large, dense vineyard that lay ahead, but murderous machinegun fire forced them back. Deploying his men, 2d Lt. Dervishian moved to the front of his group and led the advance into the vineyard. He and his men suddenly became pinned down by a machinegun firing at them at a distance of 15 yards. Feigning death while the hostile weapon blazed away at him, 2d Lt. Dervishian assaulted the position during a halt in the firing, using a hand grenade and carbine fire, and forced the 4 German crewmembers to surrender. The 4 men on the left flank were now ordered to enter the vineyard but encountered machinegun fire which killed 1 soldier and wounded another. At this moment the enemy intensified the fight by throwing potato-masher grenades at the valiant band of American soldiers within the vineyard. 2d Lt. Dervishian ordered his men to withdraw; but instead of following, jumped into the machinegun position he had just captured and opened fire with the enemy weapon in the direction of the second hostile machinegun nest. Observing movement in a dugout 2 or 3 yards to the rear, 2d Lt. Dervishian seized a machine pistol. Simultaneously blazing away at the entrance to the dugout to prevent its occupants from firing and firing his machinegun at the other German nest, he forced 5 Germans in each position to surrender. Determined to rid the area of all Germans, 2d Lt. Dervishian continued his advance alone. Noticing another machinegun position beside a house, he picked up an abandoned machine pistol and forced 6 more Germans to surrender by spraying their position with fire. Unable to locate additional targets in the vicinity, 2d Lt. Dervishian conducted these prisoners to the rear. The prodigious courage and combat skill exhibited by 2d Lt. Dervishian are exemplary of the finest traditions of the U.S. Armed Forces.",,True,34th Infantry Division,"Richmond, Va.",1944-5-23,01/08/1945,41,http://www.cmohs.org/recipient-detail/2713/dervishian-ernest-h.php,"Richmond, Va.","Cisterna LT, Italy",12,"Dervishian, Ernest H.",U.S. Army,Second Lieutenant
2,,30,1,1951,-1,-1,-1,"1st Lt. McGovern, a member of Company A, distinguished himself by conspicuous gallantry and intrepidity at the risk of life above and beyond the call of duty in action against an armed enemy of the United Nations. As 1st Lt. McGovern led his platoon up a slope to engage hostile troops emplaced in bunker-type pillboxes with connecting trenches, the unit came under heavy machine gun and rifle fire from the crest of the hill, approximately 75 yards distant. Despite a wound sustained in this initial burst of withering fire, 1st Lt. McGovern, assured the men of his ability to continue on and urged them forward. Forging up the rocky incline, he fearlessly led the platoon to within several yards of its objective when the ruthless foe threw and rolled a vicious barrage of handgrenades on the group and halted the advance. Enemy fire increased in volume and intensity and 1st Lt. McGovern realizing that casualties were rapidly increasing and the morale of his men badly shaken, hurled back several grenades before they exploded. Then, disregarding his painful wound and weakened condition he charged a machine gun emplacement which was raking his position with flanking fire. When he was within 10 yards of the position a burst of fire ripped the carbine from his hands, but, undaunted, he continued his lone-man assault and, firing his pistol and throwing grenades, killed 7 hostile soldiers before falling mortally wounded in front of the gun he had silenced. 1st Lt. McGovern's incredible display of valor imbued his men with indomitable resolution to avenge his death. Fixing bayonets and throwing grenades, they charged with such ferocity that hostile positions were overrun and the enemy routed from the hill. The inspirational leadership, unflinching courage, and intrepid actions of 1st Lt. McGovern reflected utmost glory on himself and the honored tradition of the military services.",Company A,True,"5th Cavalry Regiment, 1st Cavalry Division","Washington, D.C.",1951-1-30,01/08/1952,35,http://www.cmohs.org/recipient-detail/3155/mcgovern-robert-m.php,"Washington, D.C.",South Korea,127,"Mcgovern, Robert M.",U.S. Army,First Lieutenant
3,,15,11,1951,8,12,1928,"Pfc. Jordan, a member of Company K, distinguished himself by conspicuous gallantry and indomitable courage above and beyond the call of duty in action against the enemy. As a squad leader of the 3d Platoon, he was participating in a night attack on key terrain against a fanatical hostile force when the advance was halted by intense small-arms and automatic-weapons fire and a vicious barrage of handgrenades. Upon orders for the platoon to withdraw and reorganize, Pfc. Jordan voluntarily remained behind to provide covering fire. Crawling toward an enemy machine gun emplacement, he threw 3 grenades and neutralized the gun. He then rushed the position delivering a devastating hail of fire, killing several of the enemy and forcing the remainder to fall back to new positions. He courageously attempted to move forward to silence another machine gun but, before he could leave his position, the ruthless foe hurled explosives down the hill and in the ensuing blast both legs were severed. Despite mortal wounds, he continued to deliver deadly fire and held off the assailants until the platoon returned. Pfc. Jordan's unflinching courage and gallant self-sacrifice reflect lasting glory upon himself and uphold the noble traditions of the infantry and the military service.",Company K,True,"21st Infantry Regiment, 24th Infantry Division","Collins, Miss.",1951-11-15,01/08/1953,36,http://www.cmohs.org/recipient-detail/3132/jordan-mack-a.php," Collins, Miss.",??? ??? ???,128,"Jordan, Mack A.",U.S. Army,Private First Class
4,,17,4,1945,29,9,1918,"Also known as Francis X. Burke, he fought with extreme gallantry in the streets of war-torn Nuremberg, Germany, where the 1st Battalion, 15th Infantry, was engaged in rooting out fanatical defenders of the citadel of Nazism. As battalion transportation officer he had gone forward to select a motor-pool site, when, in a desire to perform more than his assigned duties and participate in the fight, he advanced beyond the lines of the forward riflemen. Detecting a group of about 10 Germans making preparations for a local counterattack, he rushed back to a nearby American company, secured a light machinegun with ammunition, and daringly opened fire on this superior force, which deployed and returned his fire with machine pistols, rifles, and rocket launchers. From another angle a German machinegun tried to blast him from his emplacement, but 1st Lt. Burke killed this guncrew and drove off the survivors of the unit he had originally attacked. Giving his next attention to enemy infantrymen in ruined buildings, he picked up a rifle dashed more than 100 yards through intense fire and engaged the Germans from behind an abandoned tank. A sniper nearly hit him from a cellar only 20 yards away, but he dispatched this adversary by running directly to the basement window, firing a full clip into it and then plunging through the darkened aperture to complete the job. He withdrew from the fight only long enough to replace his jammed rifle and secure grenades, then re-engaged the Germans. Finding his shots ineffective, he pulled the pins from 2 grenades, and, holding 1 in each hand, rushed the enemy-held building, hurling his missiles just as the enemy threw a potato masher grenade at him. In the triple explosion the Germans were wiped out and 1st Lt. Burke was dazed; but he emerged from the shower of debris that engulfed him, recovered his rifle, and went on to kill 3 more Germans and meet the charge of a machine pistolman, whom he cut down with 3 calmly delivered shots. He then retired toward the American lines and there assisted a platoon in a raging, 30-minute fight against formidable armed hostile forces. This enemy group was repulsed, and the intrepid fighter moved to another friendly group which broke the power of a German unit armed with a 20-mm. gun in a fierce fire fight. In 4 hours of heroic action, 1st Lt. Burke single-handedly killed 11 and wounded 3 enemy soldiers and took a leading role in engagements in which an additional 29 enemy were killed or wounded. His extraordinary bravery and superb fighting skill were an inspiration to his comrades, and his entirely voluntary mission into extremely dangerous territory hastened the fall of Nuremberg, in his battalion's sector.",,True,"15th Infantry, 3d Infantry Division","Jersey City, N.J.",1945-4-17,01/09/1946,49,http://www.cmohs.org/recipient-detail/2657/burke-frank.php," New York, N.Y.","Nuremberg, Germany",11,"Burke, Frank",U.S. Army,First Lieutenant
4,,31,8,1951,-1,-1,-1,"Cpl. Lyell, a member of Company F, distinguished himself by conspicuous gallantry and outstanding courage above and beyond the call of duty in action against the enemy. When his platoon leader was killed, Cpl. Lyell assumed command and led his unit in an assault on strongly fortified enemy positions located on commanding terrain. When his platoon came under vicious, raking fire which halted the forward movement, Cpl. Lyell seized a 57mm. recoilless rifle and unhesitatingly moved ahead to a suitable firing position from which he delivered deadly accurate fire completely destroying an enemy bunker, killing its occupants. He then returned to his platoon and was resuming the assault when the unit was again subjected to intense hostile fire from 2 other bunkers. Disregarding his personal safety, armed with grenades he charged forward hurling grenades into 1 of the enemy emplacements, and although painfully wounded in this action he pressed on destroying the bunker and killing 6 of the foe. He then continued his attack against a third enemy position, throwing grenades as he ran forward, annihilating 4 enemy soldiers. He then led his platoon to the north slope of the hill where positions were occupied from which effective fire was delivered against the enemy in support of friendly troops moving up. Fearlessly exposing himself to enemy fire, he continuously moved about directing and encouraging his men until he was mortally wounded by enemy mortar fire. Cpl. Lyell's extraordinary heroism, indomitable courage, and aggressive leadership reflect great credit on himself and are in keeping with the highest traditions of the military service.",Company F,True,"17th Infantry Regiment, 7th Infantry Division","Old Hickory, Tenn.",1951-8-31,01/09/1953,38,http://www.cmohs.org/recipient-detail/3151/lyell-william-f.php,"Hickman County, Tenn.","Chup'a-ryong, Wonnam-myeon, Cheorwon-gun",127,"Lyell, William F.",U.S. Army,Corporal
-1,,24,6,1898,-1,-1,-1,"In addition to performing gallantly the duties pertaining to his position, voluntarily and unaided carried several seriously wounded men from the firing line to a secure position in the rear, m each instance being subjected to a very heavy fire and great exposure and danger.",,True,1st U.S. Volunteer Cavalry,"Washington, D.C.",1898-6-24,01/10/1906,19,http://www.cmohs.org/recipient-detail/2103/church-james-robb.php,"Chicago, Ill.","Las Gu?simas, Cuba",-75,"Church, James Robb",U.S. Army,Assistant Surgeon
120,Pennsylvania,-1,-1,-1,18,8,1887,For meritorious service under fire on the occasion of the landing of the American naval forces at Vera Cruz on 21 April 1914. C.G. Semple was then attached to the U.S.S. Florida as a chief turret captain.,,True,,,-1--1--1,01/10/1924,19,http://www.cmohs.org/recipient-detail/2446/semple-robert.php," Pittsburgh, Pa.","Heroica Veracruz, Veracruz, Mexico",-96,"Semple, Robert",U.S. Navy,Chief Gunner
-1,,-1,-1,-1,1,12,1916,"He fought with extreme gallantry while guarding 2 command posts against the assault of powerful infantry and armored forces which had overrun the battalion's main line of resistance. On the close approach of enemy soldiers, he left the protection of the building he defended and set up his gun in the street, there to remain for almost 12 hours driving back attacks while in full view of his adversaries and completely exposed to 88-mm., machinegun and small-arms fire. He moved back inside the command post, strapped his machinegun to a table and covered the main approach to the building by firing through a window, remaining steadfast even in the face of 88-mm. fire from tanks only 75 yards away. One shell blasted him across the room, but he returned to his weapon. When 2 enemy personnel carriers led by a tank moved toward his position, he calmly waited for the troops to dismount and then, with the tank firing directly at him, leaned out of the window and mowed down the entire group of more than 20 Germans. Some time later, removal of the command post to another building was ordered. M/Sgt. Bertoldo voluntarily remained behind, covering the withdrawal of his comrades and maintaining his stand all night. In the morning he carried his machinegun to an adjacent building used as the command post of another battalion and began a day-long defense of that position. He broke up a heavy attack, launched by a self-propelled 88-mm. gun covered by a tank and about 15 infantrymen. Soon afterward another 88-mm. weapon moved up to within a few feet of his position, and, placing the muzzle of its gun almost inside the building, fired into the room, knocking him down and seriously wounding others. An American bazooka team set the German weapon afire, and M/Sgt. Bertoldo went back to his machinegun dazed as he was and killed several of the hostile troops as they attempted to withdraw. It was decided to evacuate the command post under the cover of darkness, but before the plan could be put into operation the enemy began an intensive assault supported by fire from their tanks and heavy guns. Disregarding the devastating barrage, he remained at his post and hurled white phosphorous grenades into the advancing enemy troops until they broke and retreated. A tank less than 50 yards away fired at his stronghold, destroyed the machinegun and blew him across the room again but he once more returned to the bitter fight and, with a rifle, single-handedly covered the withdrawal of his fellow soldiers when the post was finally abandoned. With inspiring bravery and intrepidity M/Sgt. Bertoldo withstood the attack of vastly superior forces for more than 48 hours without rest or relief, time after time escaping death only by the slightest margin while killing at least 40 hostile soldiers and wounding many more during his grim battle against the enemy hordes.",Company A,True,"242d Infantry, 42d Infantry Division","Decatur, Ill.",-1--1--1,01/10/1946,48,http://www.cmohs.org/recipient-detail/2637/bertoldo-vito-r.php," Decatur, Ill.","Hatten, France",7,"Bertoldo, Vito R.",U.S. Army,Master Sergeant
