3 judge dc?,admin action.id,admin action.state,agency,area,authority 1,authority 2,case,case issues,case.disposition,chief,date argued.day,date argued.full,date argued.month,date argued.year,date reargued.day,date reargued.full,date reargued.month,date reargued.year,date.day,date.full,date.month,date.year,decision.direction,decision.type,disagreement?,disposition,dissent agrees,docket,end.day,end.full,end.month,end.year,id.docket,issue.id,jurisdiction,laws.id,laws.type,led,lexis,lower court.direction,majority,majority assigner.id,majority assigner.long name,majority assigner.name,majority writer.id,majority writer.long name,majority writer.name,minority,name,natural court.id,origin.id,origin.name,origin.state,period,petitioner.entity,petitioner.id,petitioner.state,precedent altered?,reasons,respondent.entity,respondent.id,respondent.state,sct,source.id,source.name,source.state,split on second,start.day,start.full,start.month,start.year,term,text,unclear,unconstitutional,unusual,us,vote,winning party
False,-1,,unknown,Criminal Procedure,judicial review (state level),,1946-011,1946-011-01-01,affirmed (includes modified),Vinson,15,11/15/1946,11,1946,15,11/15/1946,11,1946,9,12/9/1946,12,1946,conservative,court opinion,False,affirmed,False,36,23,August/23/1949,8,1949,1946-011-01,10120,cert,2,Constitutional Amendment,91 L. Ed. 172,1946 U.S. LEXIS 1657,conservative,5,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,80,"Frankfurter, Felix ( 01/30/1939 - 08/28/1962 )",FFrankfurter,4,CARTER v. ILLINOIS,1301,302,State Trial Court,North Carolina,1,person convicted of crime,126,,False,to resolve important or significant question,State,28,Illinois,67 S. Ct. 216,300,State Supreme Court,North Carolina,False,24,June/24/1946,6,1946,1946,right to counsel (cf. indigents appointment of counsel or inadequate representation),False,no unconstitutionality,False,329 U.S. 173,1946-011-01-01-01,no favorable disposition for petitioning party
False,-1,,unknown,Civil Rights,Supreme Court supervision of lower federal or state courts or original jurisdiction,,1946-012,1946-012-01-01,reversed,Vinson,15,10/15/1946,10,1946,15,10/15/1946,10,1946,9,12/9/1946,12,1946,liberal,court opinion,True,affirmed,False,37,23,August/23/1949,8,1949,1946-012-01,20130,cert,-1,unknown,91 L. Ed. 181,1946 U.S. LEXIS 1658,conservative,6,78,"Black, Hugo ( 08/19/1937 - 09/17/1971 )",HLBlack,81,"Douglas, William ( 04/17/1939 - 11/12/1975 )",WODouglas,3,BALLARD ET AL. v. UNITED STATES,1301,51,California Southern U.S. District Court,,1,"person accused, indicted, or suspected of crime",100,,False,to resolve important or significant question,United States,27,,67 S. Ct. 261,29,"U.S. Court of Appeals, Ninth Circuit",,False,24,June/24/1946,6,1946,1946,sex discrimination (excluding sex discrimination in employment),False,no unconstitutionality,False,329 U.S. 187,1946-012-01-01-01,favorable disposition for petitioning party
False,89,,Office of Price Administration,Criminal Procedure,statutory construction,,1946-013,1946-013-01-01,reversed,Vinson,22,11/22/1946,11,1946,22,11/22/1946,11,1946,9,12/9/1946,12,1946,conservative,court opinion,False,reversed,False,67,23,August/23/1949,8,1949,1946-013-01,10430,cert,6,Infrequently litigated statutes,91 L. Ed. 193,1946 U.S. LEXIS 1659,liberal,9,78,"Black, Hugo ( 08/19/1937 - 09/17/1971 )",HLBlack,81,"Douglas, William ( 04/17/1939 - 11/12/1975 )",WODouglas,0,UNITED STATES v. BRUNO,1301,92,New Jersey U.S. District Court,,1,United States,27,,False,putative conflict,defendant,137,,67 S. Ct. 211,23,"U.S. Court of Appeals, Third Circuit",,False,24,June/24/1946,6,1946,1946,statutory construction of criminal laws: financial (other than in fraud or internal revenue) ,False,no unconstitutionality,False,329 U.S. 207,1946-013-01-01-01,favorable disposition for petitioning party
False,-1,,unknown,Criminal Procedure,statutory construction,,1946-014,1946-014-01-01,reversed,Vinson,19,11/19/1946,11,1946,19,11/19/1946,11,1946,9,12/9/1946,12,1946,liberal,court opinion,True,affirmed,False,51,23,August/23/1949,8,1949,1946-014-01,10400,cert,6,Infrequently litigated statutes,91 L. Ed. 196,1946 U.S. LEXIS 1660,conservative,9,78,"Black, Hugo ( 08/19/1937 - 09/17/1971 )",HLBlack,81,"Douglas, William ( 04/17/1939 - 11/12/1975 )",WODouglas,0,FISWICK ET AL. v. UNITED STATES,1301,92,New Jersey U.S. District Court,,1,"alien, person subject to a denaturalization proceeding, or one whose citizenship is revoked",106,,False,putative conflict,United States,27,,67 S. Ct. 224,23,"U.S. Court of Appeals, Third Circuit",,False,24,June/24/1946,6,1946,1946,statutory construction of criminal laws: conspiracy (cf. subconstitutional fair procedure: conspiracy) ,False,no unconstitutionality,False,329 U.S. 211,1946-014-01-01-01,favorable disposition for petitioning party
False,38,,Federal Communications Commission (including a predecessor,Economic Activity,statutory construction,interpretation of administrative regulation or rule,1946-015,1946-015-01-01,reversed and remanded,Vinson,22,11/22/1946,11,1946,22,11/22/1946,11,1946,9,12/9/1946,12,1946,liberal,court opinion,True,reversed,False,65,23,August/23/1949,8,1949,1946-015-01,80320,cert,3,Federal Statute,91 L. Ed. 204,1946 U.S. LEXIS 3147,conservative,8,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,84,"Jackson, Robert ( 07/11/1941 - 10/09/1954 )",RHJackson,0,"FEDERAL COMMUNICATIONS COMMISSION v. WOKO, INC.",1301,32,"U.S. Court of Appeals, District of Columbia Circuit (includes the Court of Appeals for the District of Columbia but not the District of Columbia Court of Appeals, which has local jurisdiction)",,1,"Federal Communications Commission (including a predecessor, Federal Radio Commission)",338,,False,to resolve important or significant question,radio station,221,,67 S. Ct. 213,32,"U.S. Court of Appeals, District of Columbia Circuit (includes the Court of Appeals for the District of Columbia but not the District of Columbia Court of Appeals, which has local jurisdiction)",,False,24,June/24/1946,6,1946,1946,federal and some few state regulation of public utilities regulation: radio and television (cf. cable television),False,no unconstitutionality,False,329 U.S. 223,1946-015-01-01-01,favorable disposition for petitioning party
False,58,,Federal Works Administration,Due Process,statutory construction,,1946-016,1946-016-01-01,reversed and remanded,Vinson,18,10/18/1946,10,1946,18,10/18/1946,10,1946,9,12/9/1946,12,1946,liberal,court opinion,False,affirmed,False,40,23,August/23/1949,8,1949,1946-016-01,40070,cert,6,Infrequently litigated statutes,91 L. Ed. 209,1946 U.S. LEXIS 2996,conservative,9,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,86,"Burton, Harold ( 10/01/1945 - 10/13/1958 )",HHBurton,0,UNITED STATES v. CARMACK,1301,86,Missouri Eastern U.S. District Court,,1,United States,27,,False,to resolve important or significant question,"heir, or beneficiary, or person so claiming to be",166,,67 S. Ct. 252,28,"U.S. Court of Appeals, Eighth Circuit",,False,24,June/24/1946,6,1946,1946,"due process: takings clause, or other non-constitutional governmental taking of property",False,no unconstitutionality,False,329 U.S. 230,1946-016-01-01-01,favorable disposition for petitioning party
False,-1,,unknown,Economic Activity,judicial review (state level),,1946-017,1946-017-01-01,reversed,Vinson,8,10/8/1944,10,1944,14,10/14/1946,10,1946,16,12/16/1946,12,1946,conservative,court opinion,False,reversed,False,3,23,August/23/1949,8,1949,1946-017-01,80100,appeal,1,Constitution,91 L. Ed. 265,1946 U.S. LEXIS 1616,liberal,6,74,"Stone, Harlan ( 03/02/1925 - 04/22/1946 )",HFStone,80,"Frankfurter, Felix ( 01/30/1939 - 08/28/1962 )",FFrankfurter,3,"FREEMAN, TRUSTEE, v. HEWIT, DIRECTOR OF GROSS INCOME TAX DIVISION",1301,302,State Trial Court,North Carolina,1,"agent, fiduciary, trustee, or executor",102,,False,case did not arise on cert or cert not granted,"governmental official, or an official of an agency established under an interstate compact",19,Indiana,67 S. Ct. 274,300,State Supreme Court,North Carolina,False,24,June/24/1946,6,1946,1946,state or local government tax ,False,state/territorial,False,329 U.S. 249,1946-017-01-01-01,favorable disposition for petitioning party
False,4,,Department or Secretary of Agriculture,Economic Activity,interpretation of administrative regulation or rule,statutory construction,1946-018,1946-018-01-01,reversed,Vinson,20,11/20/1946,11,1946,20,11/20/1946,11,1946,16,12/16/1946,12,1946,liberal,court opinion,True,reversed,False,54,23,August/23/1949,8,1949,1946-018-01,80170,cert,6,Infrequently litigated statutes,91 L. Ed. 290,1946 U.S. LEXIS 1617,conservative,9,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,80,"Frankfurter, Felix ( 01/30/1939 - 08/28/1962 )",FFrankfurter,0,"UNITED STATES v. RUZICKA ET AL., TRADING AS SEELEY DAIRY",1301,66,Illinois Northern U.S. District Court,,1,United States,27,,False,to resolve important or significant question,"food, meat packing, or processing company, stockyard",158,,67 S. Ct. 207,27,"U.S. Court of Appeals, Seventh Circuit",,False,24,June/24/1946,6,1946,1946,"federal or state consumer protection: typically under the Truth in Lending; Food, Drug and Cosmetic; and Consumer Protection Credit Acts",False,no unconstitutionality,False,329 U.S. 287,1946-018-01-01-01,favorable disposition for petitioning party
False,69,,Internal Revenue Service,Federal Taxation,federal common law,,1946-019,1946-019-01-01,reversed,Vinson,15,11/15/1946,11,1946,15,11/15/1946,11,1946,16,12/16/1946,12,1946,liberal,court opinion,False,affirmed,False,48,23,August/23/1949,8,1949,1946-019-01,120010,cert,-1,unknown,91 L. Ed. 296,1946 U.S. LEXIS 3145,conservative,6,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,84,"Jackson, Robert ( 07/11/1941 - 10/09/1954 )",RHJackson,3,"ROTHENSIES, COLLECTOR OF INTERNAL REVENUE, v. ELECTRIC STORAGE BATTERY CO.",1301,109,Pennsylvania Eastern U.S. District Court,,1,"Internal Revenue Service, Collector, Commissioner, or District Director of",369,,False,to resolve important or significant question,"taxpayer or executor of taxpayer's estate, federal only",240,,67 S. Ct. 271,23,"U.S. Court of Appeals, Third Circuit",,False,24,June/24/1946,6,1946,1946,"federal taxation, typically under provisions of the Internal Revenue Code ",False,no unconstitutionality,False,329 U.S. 296,1946-019-01-01-01,favorable disposition for petitioning party
False,24,,Department or Secretary of Defense (and Department or Secretary of War),First Amendment,interpretation of administrative regulation or rule,statutory construction,1946-020,1946-020-01-01,reversed,Vinson,21,11/21/1946,11,1946,21,11/21/1946,11,1946,23,12/23/1946,12,1946,conservative,court opinion,False,reversed and remanded,False,59,23,August/23/1949,8,1949,1946-020-01,30130,cert,3,Federal Statute,91 L. Ed. 308,1946 U.S. LEXIS 1582,liberal,9,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,81,"Douglas, William ( 04/17/1939 - 11/12/1975 )",WODouglas,0,"EAGLES, POST COMMANDING OFFICER, v. UNITED STATES EX REL. SAMUELS",1301,92,New Jersey U.S. District Court,,1,Secretary or administrative unit or personnel of the U.S. Army,306,,False,federal court conflict,"person subject to selective service, including conscientious objector",142,,67 S. Ct. 313,23,"U.S. Court of Appeals, Third Circuit",,False,24,June/24/1946,6,1946,1946,conscientious objectors (cf. military draftee or military active duty) to military service,False,no unconstitutionality,False,329 U.S. 304,1946-020-01-01-01,favorable disposition for petitioning party
False,24,,Department or Secretary of Defense (and Department or Secretary of War),First Amendment,interpretation of administrative regulation or rule,statutory construction,1946-021,1946-021-01-01,reversed,Vinson,21,11/21/1946,11,1946,21,11/21/1946,11,1946,23,12/23/1946,12,1946,conservative,court opinion,False,reversed and remanded,False,58,23,August/23/1949,8,1949,1946-021-01,30130,cert,3,Federal Statute,91 L. Ed. 318,1946 U.S. LEXIS 1583,liberal,9,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,81,"Douglas, William ( 04/17/1939 - 11/12/1975 )",WODouglas,0,"EAGLES, POST COMMANDING OFFICER, v. UNITED STATES EX REL. HOROWITZ",1301,92,New Jersey U.S. District Court,,1,Secretary or administrative unit or personnel of the U.S. Army,306,,False,federal court conflict,"person subject to selective service, including conscientious objector",142,,67 S. Ct. 320,23,"U.S. Court of Appeals, Third Circuit",,False,24,June/24/1946,6,1946,1946,conscientious objectors (cf. military draftee or military active duty) to military service,False,no unconstitutionality,False,329 U.S. 317,1946-021-01-01-01,favorable disposition for petitioning party
False,82,,National Labor Relations Board,Unions,interpretation of administrative regulation or rule,statutory construction,1946-022,1946-022-01-01,reversed,Vinson,21,11/21/1946,11,1946,21,11/21/1946,11,1946,23,12/23/1946,12,1946,liberal,court opinion,False,vacated,False,60,23,August/23/1949,8,1949,1946-022-01,70100,cert,3,Federal Statute,91 L. Ed. 322,1946 U.S. LEXIS 3044,conservative,8,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,82,"Murphy, Francis ( 02/05/1940 - 07/19/1949 )",FMurphy,1,NATIONAL LABOR RELATIONS BOARD v. A. J. TOWER CO.,1301,21,"U.S. Court of Appeals, First Circuit",,1,"National Labor Relations Board, or regional office or officer",382,,False,federal court conflict and to resolve important or significant question,"employer. If employer's relations with employees are governed by the nature of the employer's business (e.g., railroad, boat), rather than labor law generally, the more specific designation is used in place of Employer.",151,,67 S. Ct. 324,21,"U.S. Court of Appeals, First Circuit",,False,24,June/24/1946,6,1946,1946,labor-management disputes: representative election,False,no unconstitutionality,False,329 U.S. 324,1946-022-01-01-01,favorable disposition for petitioning party
False,24,,Department or Secretary of Defense (and Department or Secretary of War),First Amendment,statutory construction,,1946-023,1946-023-01-01,reversed,Vinson,2,1/2/1946,1,1946,23,10/23/1946,10,1946,23,12/23/1946,12,1946,liberal,court opinion,False,affirmed,False,23,23,August/23/1949,8,1949,1946-023-01,30130,cert,3,Federal Statute,91 L. Ed. 331,1946 U.S. LEXIS 1584,conservative,9,78,"Black, Hugo ( 08/19/1937 - 09/17/1971 )",HLBlack,85,"Rutledge, Wiley ( 02/15/1943 - 09/10/1949 )",WBRutledge,0,GIBSON v. UNITED STATES,1301,115,South Dakota U.S. District Court,,1,"person subject to selective service, including conscientious objector",142,,False,to resolve important or significant question,United States,27,,67 S. Ct. 301,28,"U.S. Court of Appeals, Eighth Circuit",,False,24,June/24/1946,6,1946,1946,conscientious objectors (cf. military draftee or military active duty) to military service,False,no unconstitutionality,False,329 U.S. 338,1946-023-01-01-01,favorable disposition for petitioning party
False,117,Texas,State Agency,Federal Taxation,statutory construction,,1946-024,1946-024-01-01,affirmed (includes modified),Vinson,28,3/28/1946,3,1946,19,11/19/1946,11,1946,23,12/23/1946,12,1946,liberal,court opinion,False,reversed,False,35,23,August/23/1949,8,1949,1946-024-01,120030,cert,3,Federal Statute,91 L. Ed. 348,1946 U.S. LEXIS 3045,liberal,7,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,85,"Rutledge, Wiley ( 02/15/1943 - 09/10/1949 )",WBRutledge,2,"ILLINOIS EX REL. GORDON, DIRECTOR OF LABOR, v. CAMPBELL, COLLECTOR OF INTERNAL REVENUE",1301,302,State Trial Court,North Carolina,1,State,28,Illinois,False,to resolve question presented,"Internal Revenue Service, Collector, Commissioner, or District Director of",369,,67 S. Ct. 340,300,State Supreme Court,North Carolina,False,24,June/24/1946,6,1946,1946,priority of federal fiscal claims: over those of the states or private entities,False,no unconstitutionality,False,329 U.S. 362,1946-024-01-01-01,no favorable disposition for petitioning party
False,-1,,unknown,Criminal Procedure,statutory construction,,1946-025,1946-025-01-01,reversed and remanded,Vinson,12,11/12/1946,11,1946,12,11/12/1946,11,1946,23,12/23/1946,12,1946,conservative,court opinion,False,reversed,False,53,23,August/23/1949,8,1949,1946-025-01,10430,cert,6,Infrequently litigated statutes,91 L. Ed. 359,1946 U.S. LEXIS 1585,liberal,7,78,"Black, Hugo ( 08/19/1937 - 09/17/1971 )",HLBlack,85,"Rutledge, Wiley ( 02/15/1943 - 09/10/1949 )",WBRutledge,2,UNITED STATES v. SHERIDAN,1301,81,Michigan Eastern U.S. District Court,,1,United States,27,,False,putative conflict,"person accused, indicted, or suspected of crime",100,,67 S. Ct. 332,26,"U.S. Court of Appeals, Sixth Circuit",,False,24,June/24/1946,6,1946,1946,statutory construction of criminal laws: financial (other than in fraud or internal revenue) ,False,no unconstitutionality,False,329 U.S. 379,1946-025-01-01-01,favorable disposition for petitioning party
False,-1,,unknown,Economic Activity,federal common law,,1946-026,1946-026-01-01,affirmed (includes modified),Vinson,14,11/14/1946,11,1946,14,11/14/1946,11,1946,6,1/6/1947,1,1947,liberal,court opinion,False,affirmed,False,70,23,August/23/1949,8,1949,1946-026-01,80180,cert,5,Other,91 L. Ed. 374,1947 U.S. LEXIS 3019,liberal,5,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,78,"Black, Hugo ( 08/19/1937 - 09/17/1971 )",HLBlack,4,EDWARD KATZINGER CO. v. CHICAGO METALLIC MANUFACTURING CO.,1301,66,Illinois Northern U.S. District Court,,1,"inventor, patent assigner, trademark owner or holder",172,,False,conflict between federal court and state court,"holder of a license or permit, or applicant therefor",177,,67 S. Ct. 416,27,"U.S. Court of Appeals, Seventh Circuit",,False,24,June/24/1946,6,1946,1946,patents and copyrights: patent,False,no unconstitutionality,False,329 U.S. 394,1946-026-01-01-01,no favorable disposition for petitioning party
