Births,DHS Denominator,Deaths,Entered,Entered Rate,Establishment Exit,Exited,Exited Rate,Firm Exits.Count,Job Creation.Continuers,Job Creation.Count,Job Creation.Rate,Job Destruction,Job Destruction.Continuers,Job Destruction.Count,Job Destruction.Rate,Net Job Creation,Net Job Creation Rate,Number of Firms,Physical Locations,Rate/Births,Rate/Deaths,Reallocation Rate,State,Year
112311,982351,65408,15570,20.7,6595,10117,13.4,6565,130401,242712,24.7,39509,86413,151821,15.5,90891,9.2,66226,77856,11.4,6.7,31.0,Washington,1977
41437,459237,31646,4779,15.7,2478,3800,12.5,2463,57153,98590,21.5,13568,41655,73301,16.0,25289,5.5,26551,30888,9.0,6.9,32.0,West Virginia,1977
96695,1401243,69944,13131,15.3,6269,9807,11.4,6219,142053,238748,17.0,38462,100721,170665,12.2,68083,4.8,75854,87660,6.9,5.0,24.4,Wisconsin,1977
15382,102991,8866,2260,21.9,928,1373,13.3,926,16116,31498,30.6,6309,10020,18886,18.3,12612,12.3,9659,10761,14.9,8.6,36.6,Wyoming,1977
72111,994708,55224,10260,16.0,5688,8002,12.5,5667,140955,213066,21.4,30942,82860,138084,13.9,74982,7.5,54168,65096,7.2,5.6,27.8,Alabama,1978
13069,108602,15082,1799,22.9,842,1484,18.9,837,22935,36004,33.2,6987,17715,32797,30.2,3207,3.0,6761,8010,12.0,13.9,60.4,Alaska,1978
60241,630226,56864,7743,17.8,4931,8348,19.2,4885,102764,163005,25.9,28307,50500,107364,17.0,55641,8.9,35147,43021,9.6,9.0,34.0,Arizona,1978
36140,556487,47659,5932,14.9,4434,7208,18.1,4419,71490,107630,19.3,21675,45551,93210,16.7,14420,2.6,33699,38928,6.5,8.6,33.4,Arkansas,1978
596335,7022464,528511,81007,18.2,41725,66905,15.0,41450,1085642,1681977,24.0,247948,714287,1242798,17.7,439179,6.3,375003,452620,8.5,7.5,35.4,California,1978
73365,843859,74935,10793,18.1,6740,11113,18.6,6706,139709,213074,25.2,38425,71853,146788,17.4,66286,7.8,50226,59213,8.7,8.9,34.8,Colorado,1978
52710,1121703,63706,8081,13.0,4308,6271,10.1,4291,140181,192891,17.2,32288,93069,156775,14.0,36116,3.2,55495,63208,4.7,5.7,28.0,Connecticut,1978
9385,223021,40838,1455,12.8,1232,1633,14.4,1231,49585,58970,26.4,34224,18267,59105,26.5,-135,-0.1,9701,11289,4.2,18.3,52.8,Delaware,1978
16796,307089,16725,1950,12.9,1138,1755,11.6,1122,45743,62539,20.4,8149,25337,42062,13.7,20477,6.7,13227,15244,5.5,5.4,27.4,District of Columbia,1978
241170,2491389,190812,35042,18.8,18967,26327,14.1,18883,379140,620310,24.9,110612,283435,474247,19.0,146063,5.9,159721,190761,9.7,7.7,38.0,Florida,1978
116387,1554502,93045,15577,16.0,8746,12529,12.9,8709,224365,340752,21.9,52218,124912,217957,14.0,122795,7.9,81041,98922,7.5,6.0,28.0,Geogia,1978
21978,268253,20138,2833,15.5,1419,2190,12.0,1405,34204,56182,20.9,7582,21735,41873,15.6,14309,5.3,15388,18557,8.2,7.5,31.2,Hawaii,1978
21739,243944,20769,3062,16.5,1921,3288,17.7,1912,33434,55173,22.6,9996,62509,83278,34.1,-28105,-11.5,15632,18330,8.9,8.5,45.2,Idaho,1978
219052,3997676,201422,27486,13.3,16528,23997,11.6,16387,492788,711840,17.8,98513,351351,552773,13.8,159067,4.0,178543,208502,5.5,5.0,27.6,Illinois,1978
90438,1768937,77489,13090,13.6,7361,10729,11.1,7320,237901,328339,18.6,40910,129139,206628,11.7,121711,6.9,81021,97478,5.1,4.4,23.4,Indiana,1978
54955,856849,41676,8988,13.9,5364,7426,11.5,5339,103997,158952,18.6,25468,78469,120145,14.0,38807,4.6,56025,65568,6.4,4.9,28.0,Iowa,1978
51261,691984,41566,7850,14.9,4430,6264,11.9,4417,88886,140147,20.3,23865,80166,121732,17.6,18415,2.7,45724,53325,7.4,6.0,35.2,Kansas,1978
60162,936461,60125,9082,15.3,5245,7408,12.5,5233,123672,183834,19.6,25056,83620,143745,15.3,40089,4.3,51398,60188,6.4,6.4,30.6,Kentucky,1978
74763,1062924,73187,9461,13.7,6371,10691,15.5,6345,178847,253610,23.9,36249,89276,162463,15.3,91147,8.6,56705,68048,7.0,6.9,30.6,Louisiana,1978
19027,297080,14471,3418,15.5,1812,2533,11.5,1807,43078,62105,20.9,8329,23223,37694,12.7,24411,8.2,19655,22500,6.4,4.9,25.4,Maine,1978
69148,1150318,62982,9599,13.8,5244,7874,11.3,5222,152175,221323,19.2,29272,108961,171943,14.9,49380,4.3,59019,70407,6.0,5.5,29.8,Maryland,1978
114895,2022855,110877,13209,12.1,7672,11451,10.4,7618,283687,398582,19.7,48507,142101,252978,12.5,145604,7.2,95418,110492,5.7,5.5,25.0,Massachusetts,1978
166774,2793463,138606,21107,14.2,11637,17433,11.7,11581,353036,519810,18.6,69164,195037,333643,11.9,186167,6.7,125933,150639,6.0,5.0,23.8,Michigan,1978
83671,1327630,67708,11114,14.2,5900,8496,10.9,5870,201749,285420,21.5,34237,127607,195315,14.7,90105,6.8,67767,79558,6.3,5.1,29.4,Minnesota,1978
42856,594424,33980,6185,15.1,3811,5694,13.9,3800,77178,120034,20.2,17983,59294,93274,15.7,26760,4.5,35073,41205,7.2,5.7,31.4,Mississippi,1978
99056,1550852,93361,14054,14.7,8297,12019,12.6,8268,211143,310199,20.0,40896,132939,226300,14.6,83899,5.4,81346,96711,6.4,6.0,29.2,Missouri,1978
16139,193375,19624,2890,15.5,1920,3267,17.5,1916,30577,46716,24.2,9760,20164,39788,20.6,6928,3.6,15956,18322,8.3,10.1,41.2,Montana,1978
30239,477295,33233,5004,13.7,2975,4157,11.4,2951,68111,98350,20.6,15148,56976,90209,18.9,8141,1.7,32033,36894,6.3,7.0,37.8,Nebraska,1978
25063,251213,23286,2841,19.5,1637,2875,19.7,1633,47739,72802,29.0,11388,15207,38493,15.3,34309,13.7,12572,14468,10.0,9.3,30.6,Nevada,1978
25241,278607,13161,3132,16.5,1534,2141,11.3,1528,40197,65438,23.5,7214,18843,32004,11.5,33434,12.0,17428,19426,9.1,4.7,23.0,New Hampshire,1978
137481,2348078,139931,19059,13.3,10816,16284,11.4,10775,307642,445123,19.0,58403,198386,338317,14.4,106806,4.6,127081,144463,5.9,6.0,28.8,New Jersey,1978
25533,282983,29780,3820,16.1,2719,4419,18.6,2715,48035,73568,26.0,17516,22834,52614,18.6,20954,7.4,19821,23243,9.0,10.5,37.2,New Mexico,1978
315152,5662022,353722,43751,12.4,30932,43379,12.3,30832,787689,1102841,19.5,172072,538174,891896,15.8,210945,3.7,313062,353760,5.6,6.2,31.6,New York,1978
108021,1799943,91530,15728,15.1,8562,12132,11.6,8526,217277,325298,18.1,43857,125137,216667,12.0,108631,6.1,87640,106079,6.0,5.1,24.0,North Carolina,1978
11304,156069,8124,2203,14.5,1193,1709,11.3,1189,22060,33364,21.4,5327,11377,19501,12.5,13863,8.9,13603,15383,7.2,5.2,25.0,North Dakota,1978
178168,3603082,163584,24430,12.8,13667,20672,10.8,13610,437396,615564,17.1,71255,321837,485421,13.5,130143,3.6,154897,192855,4.9,4.5,27.0,Ohio,1978
59579,759417,71350,8755,15.3,6360,10543,18.4,6344,103541,163120,21.5,36622,59711,131061,17.3,32059,4.2,47600,55988,7.8,9.4,34.6,Oklahoma,1978
69772,747631,52049,10748,19.4,5301,7828,14.1,5283,135725,205497,27.5,27853,48821,100870,13.5,104627,14.0,49114,56878,9.3,7.0,27.0,Oregon,1978
198829,3879649,235586,25306,12.0,14859,22355,10.6,14774,495614,694443,17.9,119050,380318,615904,15.9,78539,2.0,176944,211614,5.1,6.1,31.8,Pennsylvania,1978
20710,345722,18484,2499,12.7,1440,2088,10.6,1438,46932,67642,19.6,7988,73430,91914,26.6,-24272,-7.0,17892,19843,6.0,5.3,39.2,Rhode Island,1978
64901,875944,39626,8030,15.7,4403,6095,11.9,4392,108073,172974,19.7,18593,58398,98024,11.2,74950,8.5,43868,52112,7.4,4.5,22.4,South Carolina,1978
12789,182954,9076,2415,15.2,1306,1864,11.7,1305,24533,37322,20.4,5665,52051,61127,33.4,-23805,-13.0,14365,16130,7.0,5.0,40.8,South Dakota,1978
87492,1350566,78670,12067,15.2,6972,9967,12.6,6950,184052,271544,20.1,38450,120794,199464,14.8,72080,5.3,67459,80407,6.5,5.8,29.6,Tennessee,1978
326654,4089419,357495,40567,15.7,26702,46430,17.9,26558,630540,957194,23.4,174431,359133,716628,17.5,240566,5.9,204020,254416,8.0,8.7,35.0,Texas,1978
31944,365349,31018,4125,17.0,2410,4355,17.9,2401,53514,85458,23.4,14870,32015,63033,17.3,22425,6.1,20623,24015,8.7,8.5,34.6,Utah,1978
13881,151138,12244,1913,16.1,968,1288,10.8,961,22044,35925,23.8,4973,10856,23100,15.3,12825,8.5,11078,12226,9.2,8.1,30.6,Vermont,1978
93808,1433692,82262,13626,15.2,6907,10060,11.2,6880,192125,285933,19.9,42339,117538,199800,13.9,86133,6.0,75541,91681,6.5,5.7,27.8,Virginia,1978
104323,1113157,73594,15023,18.8,7057,11137,14.0,7033,225041,329364,29.6,40738,83313,156907,14.1,172457,15.5,69558,81677,9.4,6.6,28.2,Washington,1978
23609,462161,24020,4177,13.4,2484,3756,12.1,2478,48979,72588,15.7,11280,66095,90115,19.5,-17527,-3.8,26917,31297,5.1,5.2,31.4,West Virginia,1978
83921,1489387,67604,12536,14.0,6389,9124,10.2,6361,187243,271164,18.2,34761,91230,158834,10.7,112330,7.5,78852,91036,5.6,4.5,21.4,Wisconsin,1978
13906,116514,12265,1984,18.5,1180,1971,18.4,1178,23294,37200,31.9,6059,9251,21516,18.5,15684,13.4,9470,10634,11.9,10.5,37.0,Wyoming,1978
75192,1055982,64732,9436,14.4,5914,8106,12.4,5899,144164,219356,20.8,35731,100363,165095,15.6,54261,5.2,54730,65955,7.1,6.1,31.2,Alabama,1979
11685,108822,12091,1804,22.1,907,1400,17.2,904,17229,28914,26.6,5560,18707,30798,28.3,-1884,-1.7,7058,8298,10.7,11.1,53.2,Alaska,1979
75771,714182,31143,9229,20.1,132,3881,8.5,118,126007,201778,28.3,1452,62605,93748,13.1,108030,15.2,40325,48734,10.6,4.4,26.2,Arizona,1979
43304,583549,22603,6430,15.9,73,3658,9.0,66,70351,113655,19.5,2171,53062,75665,13.0,37990,6.5,36633,41977,7.4,3.9,26.0,Arkansas,1979
720477,7568239,475544,89981,19.3,42089,60626,13.0,41901,1136004,1856481,24.5,257452,699842,1175386,15.5,681095,9.0,397902,478672,9.5,6.3,31.0,California,1979
89746,932493,47808,12087,19.4,123,6051,9.7,106,145092,234838,25.2,3424,80305,128113,13.7,106725,11.5,56438,65644,9.6,5.1,27.4,Colorado,1979
62534,1174374,45613,7968,12.4,4167,6031,9.4,4160,136979,199513,17.0,21983,82334,127947,10.9,71566,6.1,56971,64839,5.3,3.9,21.8,Connecticut,1979
11430,213347,8172,1545,13.5,820,1203,10.5,809,19900,31330,14.7,3978,41317,49489,23.2,-18159,-8.5,9922,11562,5.4,3.8,29.4,Delaware,1979
14835,330425,15052,1872,12.2,1054,1607,10.5,1053,49643,64478,19.5,6545,22458,37510,11.4,26968,8.1,13368,15419,4.5,4.6,22.8,District of Columbia,1979
265284,2671506,182847,35973,18.4,18822,25357,13.0,18717,392538,657822,24.6,114510,249575,432422,16.2,225400,8.4,167423,200091,9.9,6.8,32.4,Florida,1979
125154,1656238,89695,15322,15.3,8797,12250,12.2,8777,202777,327931,19.8,46769,156278,245973,14.9,81958,4.9,82563,101415,7.6,5.4,29.8,Geogia,1979
24331,287811,15616,3148,16.5,1407,2052,10.8,1398,39866,64197,22.3,8575,25097,40713,14.1,23484,8.2,16172,19545,8.5,5.4,28.2,Hawaii,1979
48351,252502,11796,3259,17.0,34,1729,9.0,33,30394,78745,31.2,369,25955,37751,15.0,40994,16.2,17198,20007,19.1,4.7,30.0,Idaho,1979
235057,4163606,212717,26460,12.6,16242,23364,11.2,16189,515122,750179,18.0,99206,352399,565116,13.6,185063,4.4,179478,210329,5.6,5.1,27.2,Illinois,1979
94981,1858703,79536,12611,12.8,7599,10611,10.8,7566,211700,306681,16.5,41438,163990,243526,13.1,63155,3.4,81904,98946,5.1,4.3,26.2,Indiana,1979
52737,896269,45603,7941,12.1,5546,7600,11.6,5485,106113,158850,17.7,26839,70415,116018,12.9,42832,4.8,55826,65548,5.9,5.1,25.8,Iowa,1979
46496,722802,39881,7218,13.4,4460,6219,11.6,4448,98673,145169,20.1,22021,59225,99106,13.7,46063,6.4,46263,54040,6.4,5.5,27.4,Kansas,1979
67028,982930,51855,8596,14.1,5164,7006,11.5,5151,129226,196254,20.0,29037,88712,140567,14.3,55687,5.7,52229,61390,6.8,5.3,28.6,Kentucky,1979
89541,1165412,50712,11200,15.7,76,5514,7.8,57,171281,260822,22.4,1700,109185,159897,13.7,100925,8.7,62363,74231,7.7,4.4,27.4,Louisiana,1979
19386,312846,15106,3054,13.5,1850,2590,11.4,1844,34199,53585,17.1,8580,30445,45551,14.6,8034,2.5,19874,22803,6.2,4.8,29.2,Maine,1979
73270,1201420,65363,9756,13.7,5480,7883,11.1,5445,149293,222563,18.5,29949,101360,166723,13.9,55840,4.6,60029,71902,6.1,5.4,27.8,Maryland,1979
115994,2149249,88442,13252,11.9,7533,10914,9.8,7506,270818,386812,18.0,45723,186973,275415,12.8,111397,5.2,96906,112318,5.4,4.1,25.6,Massachusetts,1979
160823,2985065,126469,20204,13.3,11570,16678,11.0,11511,348988,509811,17.1,69149,226188,352657,11.8,157154,5.3,127979,153321,5.4,4.2,23.6,Michigan,1979
92124,1422387,66064,10829,13.4,5940,8499,10.6,5920,191843,283967,20.0,33403,117867,183931,12.9,100036,7.1,69373,81497,6.5,4.6,25.8,Minnesota,1979
45033,626893,34492,6614,15.8,3745,4992,11.9,3734,85413,130446,20.8,19545,56995,91487,14.6,38959,6.2,36186,42542,7.2,5.5,29.2,Mississippi,1979
94849,1635903,81578,13335,13.7,8040,11340,11.6,7979,211182,306031,18.7,43086,131858,213436,13.0,92595,5.7,82490,98170,5.8,5.0,26.0,Missouri,1979
19182,212784,8756,3324,17.3,20,1689,8.8,20,39029,58211,27.4,221,18893,27649,13.0,30562,14.4,17673,20098,9.0,4.1,26.0,Montana,1979
28082,490865,22789,4608,12.4,2802,4047,10.9,2796,64894,92976,18.9,12552,49513,72302,14.7,20674,4.2,32331,37234,5.7,4.6,29.4,Nebraska,1979
37943,295553,13059,3551,22.7,91,1366,8.7,90,52259,90202,30.5,842,24723,37782,12.8,52420,17.7,14667,16788,12.8,4.4,25.6,Nevada,1979
19477,307687,14011,2936,14.9,1583,2196,11.1,1577,43978,63455,20.6,7407,23817,37828,12.3,25627,8.3,17921,20047,6.3,4.6,24.6,New Hampshire,1979
150545,2452369,121555,19551,13.4,10322,15093,10.3,10295,298839,449384,18.3,56858,220483,342038,13.9,107346,4.4,130213,148059,6.1,5.0,27.8,New Jersey,1979
31773,311227,16743,4471,18.3,41,2309,9.5,36,46619,78392,25.2,832,28600,45343,14.6,33049,10.6,22016,25590,10.2,5.4,29.2,New Mexico,1979
316196,5829407,308833,43039,12.1,29064,39583,11.2,28950,701771,1017967,17.5,162524,570261,879094,15.1,138873,2.4,314425,355506,5.4,5.3,30.2,New York,1979
114582,1910551,85993,15066,14.0,8634,11909,11.1,8614,224295,338877,17.7,44753,135984,221977,11.6,116900,6.1,89357,108599,6.0,4.5,23.2,North Carolina,1979
14478,170166,9423,2263,14.5,1247,1731,11.1,1246,24693,39171,23.0,6591,14554,23977,14.1,15194,8.9,13973,15791,8.5,5.5,28.2,North Dakota,1979
198112,3750740,168034,23967,12.3,13400,20219,10.4,13348,426534,624646,16.7,74907,282961,450995,12.0,173651,4.7,156872,195658,5.3,4.5,24.0,Ohio,1979
71145,821971,36967,9984,17.0,98,4991,8.5,91,125153,196298,23.9,1235,70379,107346,13.1,88952,10.8,52568,61399,8.7,4.5,26.2,Oklahoma,1979
72124,834609,52923,10747,18.5,5688,7874,13.6,5680,140890,213014,25.5,30102,85222,138145,16.6,74869,8.9,51134,59275,8.6,6.3,33.2,Oregon,1979
188922,3960793,175270,24802,11.6,14461,21000,9.9,14390,449484,638406,16.1,78761,370324,545594,13.8,92812,2.3,178595,214372,4.8,4.4,27.6,Pennsylvania,1979
18715,337806,14341,2451,12.2,1342,1917,9.6,1340,39480,58195,17.2,7370,34711,49052,14.5,9143,2.7,18273,20277,5.5,4.2,29.0,Rhode Island,1979
51789,938815,38282,7374,14.0,4557,6155,11.7,4523,111783,163572,17.4,22195,76113,114395,12.2,49177,5.2,44350,53006,5.5,4.1,24.4,South Carolina,1979
14858,178064,9904,2257,13.9,1328,1868,11.5,1327,24609,39467,22.2,6139,14673,24577,13.8,14890,8.4,14557,16417,8.3,5.6,27.6,South Dakota,1979
96506,1421203,72814,11986,14.8,7199,10104,12.5,7187,178058,274564,19.3,38245,128412,201226,14.2,73338,5.1,68306,81771,6.8,5.1,28.4,Tennessee,1979
419040,4451203,199521,47590,17.7,381,22228,8.3,308,671394,1090434,24.5,9442,439461,638982,14.4,451452,10.1,228595,282055,9.4,4.5,28.8,Texas,1979
36997,395122,17691,4560,18.0,41,2025,8.0,37,54790,91787,23.2,650,38782,56473,14.3,35314,8.9,23101,26722,9.4,4.5,28.6,Utah,1979
10357,160819,8177,1753,14.1,1046,1360,11.0,1040,19877,30234,18.8,5397,15077,23254,14.5,6980,4.3,11344,12557,6.4,5.1,29.0,Vermont,1979
99825,1512843,73657,13106,14.1,7422,10377,11.2,7399,187755,287580,19.0,37383,137497,211154,14.0,76426,5.0,77100,93949,6.6,4.9,28.0,Virginia,1979
105212,1207327,98847,15324,18.3,7512,10892,13.0,7480,182586,287798,23.8,40436,167217,266064,22.0,21734,1.8,72969,85408,8.7,8.2,44.0,Washington,1979
28775,489740,20845,4349,13.8,2536,3581,11.3,2529,103521,132296,27.0,10888,36534,57379,11.7,74917,15.3,27284,31823,5.9,4.3,23.4,West Virginia,1979
82724,1583678,63667,11376,12.4,6463,9199,10.0,6444,177195,259919,16.4,33301,119411,183078,11.6,76841,4.8,80177,92794,5.2,4.0,23.2,Wisconsin,1979
15479,132024,6545,2227,19.7,26,1015,9.0,25,20374,35853,27.2,272,14736,21281,16.1,14572,11.1,10651,11919,11.7,5.0,32.2,Wyoming,1979
61121,1080875,58053,8630,13.1,6086,8426,12.8,6072,118247,179368,16.6,33755,121929,179982,16.7,-614,-0.1,54494,65852,5.7,5.4,33.2,Alabama,1980
8883,107880,7888,1477,17.8,892,1346,16.2,886,15370,24253,22.5,4606,15486,23374,21.7,879,0.8,7082,8324,8.2,7.3,43.4,Alaska,1980
72404,784645,48731,9389,18.8,4775,6662,13.3,4763,100541,172945,22.0,28763,88143,136874,17.4,36071,4.6,42362,51152,9.2,6.2,34.8,Arizona,1980
36084,610998,31904,5628,13.4,3981,5457,13.0,3971,76352,112436,18.4,17746,62413,94317,15.4,18119,3.0,36610,41952,5.9,5.2,30.8,Arkansas,1980
662641,8070425,509990,81844,16.8,44573,63887,13.1,44372,1061473,1724114,21.4,281515,869257,1379247,17.1,344867,4.3,411314,494149,8.2,6.3,34.2,California,1980
