Artist,Classification,Continent,Country,Credit Line,Dated,Department,Dimension,Inscription,Medium,Nationality,Provenance,Rights Type,Room,Short Description,Signed,Style,Text,Title,Years Living
N/A, Textiles,Europe,Flanders,Gift of Mrs. C. J. Martin for the Charles Jairus Martin Memorial Collection,c. 1460-1485,Textiles,134 3/4 x 128 in. (342.27 x 325.12 cm) (irregular),Mark,"Wool, silk; tapestry weave",N/A,N/A,Public Domain,Not on View,"Queen Esther and King Ahasuerus, wool and silk, Flemish XVc fragment from the center of a much larger piece, probably from a set of four to six tapestries narrating the story of Esther Ahasuerus; warp undyed wool, 5-7 ends per cm., weft dyed wool and some dyed silk, 20-32 ends per cm.",N/A,15th century,"This tapestry  depicts several scenes from the Old Testament story of Esther. A beautiful young Jewish woman, Esther, was the queen of King Ahasuerus of Persia. When the king?s chief advisor, Haman, ordered all the Jews in Persia killed, Esther appealed to the king. At the left, Ahasuerus receives Esther and agrees to attend a banquet she has prepared. At the banquet (right), Esther asks Ahasuerus, who had not known she was Jewish, to spare her people. He grants her request, and Haman is later put to death. 

This tapestry is a fragment from the center of a larger piece that had at least three major scenes and several smaller ones. The story of Esther is also depicted on a 17th century embroidered box in gallery 310.",Esther and Ahasuerus,N/A
N/A, Furniture,Europe,Italy,The William Hood Dunwoody Fund,15th century,"Decorative Arts, Textiles and Sculpture",33 x 70 x 27 in. (83.82 x 177.8 x 68.58 cm),N/A,Pine with gilt and painted gesso decoration,N/A,N/A,Public Domain,G343,"Cassone or Wedding chest, decorated with sculptural relief depicting the Four Cardinal Virtues flanked by candelabra with armorial bearings; scene of the Rape of Prosperine fighting centaurs and a centaur carrying a woman",N/A,15th century,"This wedding chest is an example of pastiglia, Italian for ?pastework.? The ?paste? (usually gesso) was applied to the wood and sculpted into ornamental designs. This technique was especially popular in the dazzling city of Siena, where patrons demanded rich decoration featuring themes from classical antiquity.

The women in the center personify the four cardinal virtues?Temperance, Justice, Fortitude, and Prudence. On the left, two half-man, half-animal monsters battle each other while on the right a happy girl rides on a centaur. These creatures may represent our animal instincts, which we can overcome with the help of the virtues. Such imagery is typical of chests made by artists working with the Sienese painter, sculptor, and architect Francesco di Giorgio Martini, who frequently depicted mythological beasts and battles.
",Wedding chest (cassone),N/A
N/A," Tools, Equipment and Utilitarian Objects",Asia,China,Gift of Charles L. Freer,17th-20th century,"Chinese, South and Southeast Asian Art",5 1/2 in. (13.97 cm),N/A,Carved jade,N/A,N/A,Public Domain,G210,"two reclining goats, apparently eating fungus - symbol of longevity. grey and black jade.",N/A,17th-20th century,N/A,Paperweight: Deer and Fungus Motif,N/A
N/A, Ceramics,Asia,Turkey,The William Hood Dunwoody Fund,Fourth quarter of the 16th century,"Chinese, South and Southeast Asian Art",8 in. (20.32 cm),N/A,Slip-coated earthenware,N/A,N/A,Public Domain,G243,"Pitcher white ground with cloud band decoration in tomato red, green and blue; so called Rhodian ware (Iznik ware)",N/A,16th century,N/A,Jug with Cloud Motif,N/A
N/A, Ceramics,Asia,Syria,The William Hood Dunwoody Fund,16th century,"Decorative Arts, Textiles and Sculpture",7 1/8 in. (18.1 cm),N/A,Earthenware with underglaze blue and turquoise,N/A,N/A,Public Domain,G243,Hexagonal Tile palmette and arabesque design in turquoise and dark blue on white; Damascus,N/A,16th century,"Architectural tile work reached its greatest artistic expression in the Islamic countries. Glazed tile used as wall decoration became popular throughout the Middle East during the Seljuk dynasty (1038-1157). Animal figures and purely geometric motifs were applied to tiles glazed in both luster and polychrome techniques into the fifteenth century. Blue-and-white decor became universally popular with the Ottomans, however, and tile work in two shades of blue, such as the example shown here, was produced at Damascus in Syria beginning around 1500. Several Turkish mosques and palaces of the sixteenth and seventeenth centuries incorporated similar tiles in their decor. Removed from its original setting, the tile loses much of its decorative impact, but thousands of such pieces adjacent to each other created a brilliant interior.",Hexagonal Wall Tile,N/A
N/A, Ceramics,Europe,Turkey,Gift of Dikran G. Kelekian,16th century,"Chinese, South and Southeast Asian Art",11 1/2 x 6 1/4 in. (29.21 x 15.88 cm),N/A,"Iznik ware
Slip-coated earthenware with underglaze decor in blue, green and red
",N/A,N/A,Public Domain,Not on View,"Tile palmette and tulip decoration in blue, green and white on tomato-red ground and enriched by blue band; from a border ; so called Rhodian type; corner missing.",N/A,16th century,N/A,Tile Fragment,N/A
Manufacturer: Probably Stiegal Glass Works, Glass,North America,United States,Gift of James Ford Bell,18th century,"Decorative Arts, Textiles and Sculpture",10 in. (25.4 cm),N/A,White flint glass,American,N/A,Public Domain,Not on View,Engraved with tulip designs,N/A,18th century,N/A,Glass bottle,"American (Manheim, Pennsylvania)"
Artist: Camille Pissarro, Paintings,Europe,France,The William Hood Dunwoody Fund,1898,Paintings,"29 x 36 in. (73.66 x 91.44 cm) (canvas)
47 x 38 x 5 in. (119.38 x 96.52 x 12.7 cm) (outer frame)",Signature and Date,Oil on canvas,French,N/A,Public Domain,G351,La Place du Th??tre Fran?ais (Pluie),LR in black: [C. Pissarro. 98],19th century,"After a chronic eye infection limited the amount of time Camille Pissarro could spend outdoors, he began a series of views of Paris seen from hotel windows. Hoping to show the beauty of the bustling city, he painted this view down the Avenue de l'Opera and other vistas at different hours and seasons, and under varying weather conditions.","Place du Th??tre Fran?ais, Paris: Rain","French, 1830 - 1903"
N/A, Sculpture,Asia,China,The William Hood Dunwoody Fund,571,"Chinese, South and Southeast Asian Art",76 in. (193.04 cm),N/A,Black marble with traces of pigments and gilding,N/A,N/A,Public Domain,G200,"Standing Guanyin with lotus bud(?) in left hand, right hand missing, inscribed base which bears the date 571 A.D., translation of inscription filed with purchase blank, from Xi'an in Shaanxi province.",N/A,6th century,"Next to the Buddha, the most popular of all Buddhist deities is Guanyin, commonly called the Bodhisattva of Compassion. Due to its Indian origin, early Guanyin images were represented as Gandharan princes sumptuously dressed in dhotis and adorned with silk scarves and rich jewelry. Held in the left hand is a lotus bud, the Buddhist symbol of purity. 

<P>This figure of Guanyin is especially significant in that it provides the only dated example of a regional sub-style that marks a departure from the rigid frontality that characterized the sculpture of earlier generations. Inscriptions on the base date the sculpture to 571 and indicate it was commissioned by Meng Yan, a district magistrate; Meng Songxun, a village head; and 41 civic leaders who helped establish a temple at Gusi Bosi near Xi'an in Shanxi province. By 581, the statue had been desecrated by anti-Buddhists but in that year, according to the second inscription, the temple was restored and rededicated.",Avalokitesvara,N/A
Artist: Albert Edward Sterner, Drawings,North America,United States,Gift of Mr. and Mrs. E.D. Brooks,1900,Prints and Drawings,21 1/4 x 14 5/8 in. (53.98 x 37.15 cm),Signature; Date,Graphite and wash drawing,American,N/A,Public Domain,Not on View,N/A,signed 1900,19th-20th century,N/A,Sleeping Workman,"American, 1863 - 1946"
Artist: Jules Dupr?, Paintings,Europe,France,The William Hood Dunwoody Fund,c. 1840,Paintings,32 x 39 in. (81.28 x 99.06 cm) (canvas),Signature,Oil on canvas,French,N/A,Public Domain,G321,Landscape with cattle,LR in dark brown: [Jules Dupr?],19th century,N/A,Fontainebleau Oaks,"French, 1811?1889"
N/A, Sculpture,Europe,Austria,"Gift of Ethel Morrison Van Derlip, in memory of her mother, Julia Kellogg Morrison",c. 1450?60,"Decorative Arts, Textiles and Sculpture","63 x 23 1/2 x 13 1/4in. (160 x 59.7 x 33.7cm)
10 in. (25.4 cm) (element, base of back)",N/A,"Wood, pigment, gold",N/A,N/A,Public Domain,G340,"Life-sized statue of the saint with her foot on the head of the upper body of a bearded man, identified as the Roman Emperor Maxentius, who willed her torture and martyrdom.",N/A,15th century,"The epitome of an intellectual Christian saint, Catherine of Alexandria is said to have debated the foremost philosophers of her age and converted them to Christianity with her brilliant logic. Her legend recounts that she was a learned young noblewoman of the 4th century who lived in Alexandria, Egypt. Shown here under Catherine?s feet is the Roman emperor Maxentius, a persecutor of Christians, who had her tortured on a wheel and then beheaded.",Saint Catherine,N/A
N/A, Woodwork,Africa,Nigeria,The Ethel Morrison Van Derlip Fund,19th-20th Century,Art of Africa and the Americas,12 3/16 x 7 7/8 x 9 3/8 in. (31.0 x 20.0 x 23.8 cm),N/A,Wood,N/A,N/A,Public Domain,Not on View,helmet mask with large eyes and pursed lips; spool-like ears; parallel vertical lines on face; 6 small holes on bottom edge,N/A,19th-20th Century,N/A,Odumado Mask,N/A
Photographer: Martine Franck; Author: Jean Giono, Photographs,Europe,Belgium,The Ethelyn Bros Photography Purchase Fund,20th century,Photography and New Media,"7 1/8 x 10 3/4 in. (18.1 x 27.31 cm) (image)
19 3/8 x 14 7/8 in. (49.15 x 37.72 cm) (sheet)",Edition; Signature,Photogravure (printed 1999),Belgian,N/A,Copyright Protected,Not on View,"4 arches made of thin, irregular stone slabs between walls of same material; grass between walls",N/A,20th century,N/A,"Le Contadour, Near Banon,  Alpes de Haute Provence","Belgian, born 1938"
Photographer: Martha Hale Harvey, Photographs,North America,United States,The McClurg Photography Purchase Fund,19th-20th century,Photography and New Media,"7 1/2 x 9 3/8 in. (19.05 x 23.81 cm) (image)
9 11/16 x 11 7/16 in. (24.61 x 29.05 cm) (mount)",Inscription; Signature; Title,platinum print,American,N/A,Public Domain,Not on View,rocky shore with beach in foreground; 4 figures on beach near center of image; 7 buildings and a small lighthouse on small peninsula in background,N/A,19th-20th century,N/A,"Lighthouse, Annisquam, Massachusetts","American, 1862-1949"
Photographer: Martha Hale Harvey, Photographs,North America,United States,The McClurg Photography Purchase Fund,19th-20th century,Photography and New Media,"7 9/16 x 9 11/16 in. (19.21 x 24.61 cm) (image)
9 3/4 x 11 7/16 in. (24.77 x 29.05 cm) (mount)",Signature; Title; Inscription,platinum print,American,N/A,Public Domain,Not on View,waves breaking on rocks,N/A,19th-20th century,N/A,Breaking Waves,"American, 1862-1949"
Photographer: Martha Hale Harvey, Photographs,North America,United States,The McClurg Photography Purchase Fund,1900,Photography and New Media,"7 1/2 x 9 1/2 in. (19.05 x 24.13 cm) (image)
9 11/16 x 11 7/16 in. (24.61 x 29.05 cm) (mount)",Inscription; Signature,platinum print,American,N/A,Public Domain,Not on View,water in front with rocks and long grasses at R; church on top of hill on opposite bank; dirt road leading up hill from water's edge; small boat at opposite bank and boat on shore at L,N/A,20th century,N/A,"Church and Old Town Landing, Annisquam, Massachusetts","American, 1862-1949"
Photographer: Martha Hale Harvey, Photographs,North America,United States,The McClurg Photography Purchase Fund,19th-20th century,Photography and New Media,"9 3/8 x 7 1/2 in. (23.81 x 19.05 cm) (image)
11 1/2 x 9 3/4 in. (29.21 x 24.77 cm) (mount)",Signature; Title; Inscription,platinum print,American,N/A,Public Domain,Not on View,icy water with boat with tall masts; buildings and trees on snow-covered bank at R,N/A,19th-20th century,N/A,"Moonlight, Lobster Cove, Annisquam, Massachusetts","American, 1862-1949"
Artist: Bai Haonian, Paintings,Asia,China,Gift of Joan Wurtele,1905,"Chinese, South and Southeast Asian Art",H.41-3/4 x W.15-7/8 in. (image),Inscription; Stamps,Ink on paper,China,N/A,Public Domain,Not on View,"grapevine that swirls up from LRC to ULC to URC and down again; three grape clusters in upper half; one at each side center; one squirrel URQ, one LLQ; cricket R center",N/A,20th century,"Appreciated for their expressive ""brush play,"" ink monochrome paintings of grapevines and squirrels were first popularized in 13th century China. During the Yuan period (1279-1368), such paintings were used to ridicule the Mongol rulers who, like squirrels, occupied high places but lived in fear of people. The inscription of this work, however, indicates that it was commissioned by a Japanese patron in the early 20th century and, its artistic balance between formalistic and realistic concerns creates a heightened aesthetic tension remarkably different from the earlier prototypes.
<P>The inscription reads:

<P><I>In this world both style and taste are subjective, so don't hesitate to call this work sweet or sour. During the thirty-first year of the Kuang-hsu reign (1905) on an auspicious day when the full moon was gloriously yellow I painted this . . .in old Beiping at the refined request of Master Sato.

<P>Bai Haonian, from Changli district in the Qing Kingdom<P></I>",Squirrels and Grapevine,late 19th-early 20th century
N/A, Furniture,Asia,China,Gift of Ruth and Bruce Dayton,early 17th century,"Chinese, South and Southeast Asian Art",H.34 x W.22 x D.44 in.,N/A,Huang-hua-li hardwood,N/A,N/A,Public Domain,Not on View,half-circle table with 4 legs around rounded side; short barbed apron on front with curved supports below connecting legs,N/A,17th century,"This robust half-round table is an early example of a rare form. Huang-hua-li half-moon tables do not seem to have been made in great numbers and only a few Ming examples have survived. It is assumed that these tables were originally made in pairs to be placed together to make a circular table or separated and placed against a wall.

<P>The sixteenth-century carpenter's manual, <I>Lu-pan Ching</I>, clearly sets out the construction criteria for such tables including the half-width back legs seen here that would form a whole when placed together with their mate. The solid construction of this table with its generous use of timber, supporting cross-stretchers, thick cusped aprons, and archaic style feet (called ""double-hoof"" feet) suggest that it is one of the earlier examples of half-round tables to survive.
",Half Moon Table,N/A
N/A, Paintings,Asia,Western Tibet,Gift of Ruth and Bruce Dayton,1400-1500,"Chinese, South and Southeast Asian Art",16 5/16 x 15 1/2 in. (41.43 x 39.37 cm) (image),N/A,Pigments on cloth,N/A,N/A,Public Domain,G212,white-skinned male figure and red-skinned female figure embracing in central circle with 20 figures surrounding them inside a circle and a square; 9 seated figures at top and bottom edge; multicolored pigments; leather hanging cord,N/A,15th century,"The sacred diagram of the cosmos and resplendent deities painted on this thangka were intended to serve as a meditation device for a tantric practitioner.  The practitioner would have read an associated text and then visualized in three dimensions the palatial structure depicted here, which is seen from above with a single gateway at its bottom. At the center, the god Chakramsavara embraces his red consort, Vajravarahi. The surrounding circle contains Cosmic Buddhas, dancing Dakinis (demi-goddesses), and the Shakyamuni Buddha, while the upper and lower registers contain protective and auspicious deities and lineage teachers.
",Chakrasamvara and Vajravarahi Mandala,N/A
N/A, Paintings,N/A,N/A,Gift of Ruth and Bruce Dayton,late 17th century,"Chinese, South and Southeast Asian Art",33 3/8 x 20 7/16 in. (84.77 x 51.91 cm) (image),Inscription,Ink colors and gold on sized cotton,N/A,N/A,Public Domain,G212,"blue figure with 3 heads (one white, one blue and one red), 6 arms, 4 legs and wings embracing a green figure with long red hair; flaming mandala behind figures; small thrones below, above and at R and L with various demons, humans and part animal/part human figures; multicolored pigments",N/A,17th century,"The central figure of this colorful thanka is Vajrakila (Do-rje-phur-pa), a wrathful winged deity with six arms and three heads whose ritual attribute, the triangular shaped Kila (<I>phur-pa</I>) comprises the pedestal on which he and his consort trample evil demons (Rudra-Mara).

<br>The <I>kila</I> or <I>phur-pa</I> is a hand held ritual weapon with a triangular blade whose protective power is used for piercing and subduing demons and spirits by pinning them to the ground.The central image is surrounded by ten smaller nearly identical Vajrakila images in which the upper torso is that of a wrathful, protective deity while the lower half of the body preserves the shape of the triangular <I>phur-pa<I> blade. All these images are shown in their destructive mode pinning evil spirits to the ground and wearing the tiger skins, crowns of skulls, and garlands of severed heads of their conquered adversaries.

Across the bottom of the thanka are four guardian deities and, at the top, are two groups of three monks flanking a central image of Padmasambava.",Thanka of Vajrakila,N/A
N/A, Ceramics,Asia,China,Gift of Ruth and Bruce Dayton,c. 1300,"Chinese, South and Southeast Asian Art",10 7/8 x 6 5/8 in. (27.62 x 16.83 cm),N/A,"Lung-ch'uan ware
Porcelain with celadon glaze over impressed designs",N/A,N/A,Public Domain,G201,"Longquan ware; celadon glaze with 8 unglazed cartouches carved with immortals; floral cartouches above and below each immortal; low foot, narrow mouth",N/A,12th-13th century,"This ovoid vase has an octagonal cross section and each of the eight sides comprising the vessel is decorated with molded recessed panels depicting one of the Eight Daoist Immortals amidst two floral sprays. The images of the immortals are shown standing on drifting clouds and each carry their identifying attributes.
<P>A wax resist technique was employed in the decoration of this piece. The central panels were painted with wax before glazing to prevent the celadon glaze from adhering to those areas. Upon firing, the unglazed portions of the clay body burned a bright rust color due to iron compounds in the clay.",Vase with the Eight Taoist Immortals,N/A
N/A, Woodwork,Asia,China,Gift of Ruth and Bruce Dayton,late 18th century,"Chinese, South and Southeast Asian Art",H.3-1/4 x W.9-3/4 x D.9-3/4 in.,N/A,Chi-ch'i-mu hardwood and white brass,N/A,N/A,Public Domain,Not on View,"small tray with pierced sides and apron; brass mount at each corner; sides decorated with rosette flanked by stylized dragon heads, surrounded by scrolling foliage",N/A,18th century,N/A,Stationery Tray,N/A
Artist: Zhu Chang, Paintings,Asia,China,Gift of Ruth and Bruce Dayton,1668,"Chinese, South and Southeast Asian Art",H.65-11/16 x W.14-13/16 in. (image),Inscription; Stamp,Ink and color on paper,Chinese,N/A,Public Domain,Not on View,tall reddish mountain peaks at top; 3 trees next to a stream with a small bridge in foreground; wood rollers,N/A,17th century,"Born in Anhui province, Zhu Chang lived mostly in neighboring Xin'an. While there, he studied with Hongren(1616-1663), the central figure of the Anhui or Xin'an school of painting. It was from that renowned master that Zhu learned the basics of his own technique and style. Zhu is also said to have studied and copied works by various Yuan dynasty masters which accounts for the extreme degree of simplification and literati values apparent in his sparse landscape paintings.

<P>This scroll features the rectilinear and multi-faceted cliffs and elongated spreading pines characteristic of the famous Huangshan mountains of Anhui province. The linear, rather spare style capturing the fissured forms and surfaces of the rocks and trees, owes a great deal to Hongren and the solitary nature of Zhu's own personality.

<P>The inscription reads:

<P><I>During the first lunar month of the year 1668, painted at leisure in the Bamboo Hill Inn on the River Gau by Zhu Chang, called Shanshi.</I>",Landscape at Han River Bamboo Hall,died 1678
Artist: Bian Shoumin, Paintings,Asia,China,Gift of Ruth and Bruce Dayton,1747,"Chinese, South and Southeast Asian Art",7 1/2 x 4 1/2 in. (19.05 x 11.43 cm) (sheet),Inscription; Stamps,Ink on paper,Chinese,N/A,Public Domain,Not on View,"5 mushrooms, 2 upside down",N/A,18th century,"Famous for his rather svelte ink paintings of wild geese, the professional artist Bian Shoumin also developed a more personal, less commercial style of painting grounded in the unassuming nature of literati art. Simple large images of fruit and vegetables fill the pages of this album. The point of these still lifes is hardly the importance of the subject matter?mushroom, turnips, or peapods?but rather the complex formal arrangement of pictorial elements and the rich and subtle techniques with which they are given form. In adopting this approach,Bian creates images quite distinct from earlier masters with a dry ink technique that resembles nothing so much as charcoal drawings.
<P>The subjects inlcude cabbage, a pun for wealth; mushrooms, representing good health; turnips; eggplants; bamboo shoots, a pun for grandsons; peapods, lotus rhizome and water caltrap, emblems of benevolence and cleverness; and arrowroot bulbs representing happy tidings for parents and compassion.
","Mushrooms, from an eight leaf album of vegetables",1684-1752
