day,depth,distance,gap,hour,id,latitude,location.full,longitude,magnitude,minute,month,name,second,significance,time.full,year
27,72.2,0.2937491,64.799994816,3,ak13831351,60.4444,"32km W of Kalifornsky, Alaska",-151.8699,1.5,19,7,Alaska,23,35,2016-07-27 03:19:23,2016
27,26.5,1.348,248.0,3,us10006aa8,53.302,"172km S of False Pass, Alaska",-163.5048,2.5,22,7,Alaska,28,96,2016-07-27 03:22:28,2016
27,64.7,0.3198002,75.599993952001,3,ak13831353,61.251,"62km N of Nikiski, Alaska",-151.3632,1.3,25,7,Alaska,13,26,2016-07-27 03:25:13,2016
27,16.3,0.2578165,43.199996544,3,ak13805716,62.1521,"16km W of Y, Alaska",-150.1588,2.0,32,7,Alaska,18,62,2016-07-27 03:32:18,2016
27,1.56,0.0119,53.0,3,nc72666956,38.7781667,"0km E of The Geysers, California",-122.7505,1.75,56,7,California,19,47,2016-07-27 03:56:19,2016
27,2.25,0.005599,74.0,4,nc72666961,38.7885,"3km S of Cobb, California",-122.7218333,0.62,0,7,California,49,6,2016-07-27 04:00:49,2016
27,75.0,1.15972503,342.0,4,pr16209003,19.3997,"114km NNE of Road Town, British Virgin Islands",-64.2795,2.7,4,7,British Virgin Islands,37,112,2016-07-27 04:04:37,2016
27,1.54,0.07576,137.0,4,nc72666966,37.5141667,"19km SE of Mammoth Lakes, California",-118.8263333,0.8,6,7,California,43,10,2016-07-27 04:06:43,2016
27,15.0,0.04491576,151.2,4,pr16209002,18.0625,"0km NW of Luis Llorens Torres, Puerto Rico",-66.5327,1.8,10,7,Puerto Rico,49,50,2016-07-27 04:10:49,2016
27,11.266,0.5525,289.0,4,hv61354386,18.7893333,"75km S of Leilani Estates, Hawaii",-154.8673333,1.83,13,7,Hawaii,20,52,2016-07-27 04:13:20,2016
27,12.3,0.1293574,158.399987328,4,ak13805719,54.9592,"19km NNW of Chernabura Island, Alaska",-159.6299,2.6,20,7,Alaska,37,104,2016-07-27 04:20:37,2016
27,51.3,0.4006486,64.799994816,4,ak13831356,61.2406,"32km W of Anchorage, Alaska",-150.5094,1.3,26,7,Alaska,35,26,2016-07-27 04:26:35,2016
27,1.41,0.03807,79.0,4,ci37640656,36.0171667,"12km NE of Little Lake, CA",-117.8111667,0.06,44,7,California,0,0,2016-07-27 04:44:00,2016
27,11.04,0.04434,78.0,4,ci37640648,33.5145,"15km ESE of Anza, CA",-116.5175,0.75,45,7,California,58,9,2016-07-27 04:45:58,2016
27,10.02,0.02385,75.0,4,ci37640664,32.905,"7km NNE of Imperial, CA",-115.5326667,1.6,48,7,California,43,39,2016-07-27 04:48:43,2016
27,0.1,0.5551588,35.99999712,4,ak13806082,61.1172,"51km NNE of Nikiski, Alaska",-150.9111,2.3,49,7,Alaska,49,81,2016-07-27 04:49:49,2016
27,22.2,0.1024079,68.399994528,5,ak13806091,64.7401,"19km NNW of North Nenana, Alaska",-149.2947,0.3,5,7,Alaska,6,1,2016-07-27 05:05:06,2016
27,63.2,0.3233935,179.9999856,5,ak13831361,54.7822,"52km SSE of Cold Bay, Alaska",-162.2961,2.1,11,7,Alaska,40,68,2016-07-27 05:11:40,2016
27,2.7,0.06378039,68.399994528,5,ak13806093,61.4464,"87km NNW of Nikiski, Alaska",-151.7569,1.1,20,7,Alaska,58,19,2016-07-27 05:20:58,2016
27,30.07,1.049,98.0,5,us20006i27,-3.7122,"253km NNW of Tual, Indonesia",131.5537,4.9,21,7,Indonesia,59,369,2016-07-27 05:21:59,2016
27,13.3,0.1248658,93.599992512001,5,ak13806094,63.5351,"152km W of Cantwell, Alaska",-151.9833,0.5,36,7,Alaska,44,4,2016-07-27 05:36:44,2016
27,10.4,0.5857016,86.399993088,5,ak13806095,68.5121,"65km NW of Arctic Village, Alaska",-146.7507,1.0,39,7,Alaska,48,15,2016-07-27 05:39:48,2016
27,234.15,2.9,87.0,5,us100069gj,1.3512,"42km NNE of Poigar, Indonesia",124.434,4.2,53,7,Indonesia,32,271,2016-07-27 05:53:32,2016
27,4.84,0.06195,62.0,6,nc72666971,36.7,"12km S of Ridgemark, California",-121.3381667,1.84,2,7,California,53,52,2016-07-27 06:02:53,2016
27,19.1,0.1958327,208.799983296,6,ak13831365,60.2452,"72km ENE of Cape Yakataga, Alaska",-141.1849,0.9,5,7,Alaska,16,12,2016-07-27 06:05:16,2016
27,95.9,0.1284591,97.199992224001,6,ak13806463,61.6271,"96km W of Willow, Alaska",-151.8501,1.5,10,7,Alaska,48,35,2016-07-27 06:10:48,2016
27,8.4,0.1164,194.0,6,nc72666976,36.1681667,"6km SW of Huron, California",-120.1663333,1.75,12,7,California,53,47,2016-07-27 06:12:53,2016
27,17.2,0.350343,93.599992512001,6,ak13831367,61.4586,"40km NNW of Valdez, Alaska",-146.6547,1.2,19,7,Alaska,32,22,2016-07-27 06:19:32,2016
27,10.44,0.0874,91.0,6,ci37640696,33.7398333,"10km NNE of Trabuco Canyon, CA",-117.5278333,0.59,23,7,California,43,5,2016-07-27 06:23:43,2016
27,15.0,0.08623827,82.799993376001,6,ak13806465,61.8231,"13km NW of Willow, Alaska",-150.2247,1.2,27,7,Alaska,4,22,2016-07-27 06:27:04,2016
27,8.03,0.1368,86.0,6,ci37640704,33.0166667,"24km ESE of Julian, CA",-116.3543333,0.84,29,7,California,6,11,2016-07-27 06:29:06,2016
27,30.2,0.2712912,133.199989344,6,ak13831369,61.5179,"43km N of Valdez, Alaska",-146.4904,1.1,42,7,Alaska,59,19,2016-07-27 06:42:59,2016
27,2.11,0.008326,101.0,6,nc72666986,38.8160019,"6km NW of The Geysers, California",-122.8150024,0.71,45,7,California,37,8,2016-07-27 06:45:37,2016
27,1.84,0.008751,75.0,6,hv61354436,19.4034996,"5km WSW of Volcano, Hawaii",-155.2831726,2.1,49,7,Hawaii,58,68,2016-07-27 06:49:58,2016
27,84.4,0.3350716,86.399993088,6,ak13831370,59.4809,"57km SW of Anchor Point, Alaska",-152.6624,1.6,52,7,Alaska,0,39,2016-07-27 06:52:00,2016
27,8.8,0.3611227,118.799990496,7,ak13806467,63.2389,"119km NNW of Talkeetna, Alaska",-151.3281,0.6,2,7,Alaska,44,6,2016-07-27 07:02:44,2016
27,71.0,0.678228,89.999992800001,7,ak13831372,58.4244,"95km NW of Kodiak Station, Alaska",-153.6441,1.7,6,7,Alaska,59,44,2016-07-27 07:06:59,2016
27,2.6,0.994,248.0,7,us100067t9,52.7406,"126km S of Unalaska, Alaska",-166.6875,3.3,13,7,Alaska,37,168,2016-07-27 07:13:37,2016
27,16.7,0.04072,74.0,7,uw61172232,47.3855,"9km SSW of Riverbend, Washington",-121.7835,1.3,22,7,Washington,0,26,2016-07-27 07:22:00,2016
27,10.0,6.743,96.0,7,us20006i2f,-21.7716,Southern East Pacific Rise,-113.8676,4.8,27,7,Southern East Pacific Rise,13,354,2016-07-27 07:27:13,2016
27,7.5,0.2551215,133.199989344,7,ak13831374,60.8123,"59km E of Whittier, Alaska",-147.6027,1.3,31,7,Alaska,1,26,2016-07-27 07:31:01,2016
27,2.32,0.009271,94.0,7,nc72666991,38.8123322,"6km NW of The Geysers, California",-122.8181686,1.02,39,7,California,49,16,2016-07-27 07:39:49,2016
27,8.2,0.49587,295.199976384,7,ak13806836,51.1326,"91km S of Little Sitkin Island, Alaska",178.6078,1.9,41,7,Alaska,25,56,2016-07-27 07:41:25,2016
27,227.52,1.166,92.0,7,us20006i2h,-23.3566,"117km NW of San Antonio de los Cobres, Argentina",-66.9895,4.0,45,7,Argentina,53,246,2016-07-27 07:45:53,2016
27,9.1,1.016893,266.399978688,7,ak13831376,52.7317,"127km S of Unalaska, Alaska",-166.6461,2.3,47,7,Alaska,47,81,2016-07-27 07:47:47,2016
27,35.0,3.968,85.0,7,us20006i2i,10.9473,"3km SW of Ipil, Philippines",124.6154,4.9,56,7,Philippines,15,375,2016-07-27 07:56:15,2016
27,14.8,0.2874609,79.199993664001,8,ak13806840,61.4966,"186km WNW of Haines Junction, Canada",-140.6142,1.1,4,7,Canada,41,19,2016-07-27 08:04:41,2016
27,12.58,0.1562,85.0,8,ci37640736,32.9211667,"27km SSW of Ocotillo Wells, CA",-116.2398333,1.02,5,7,California,33,16,2016-07-27 08:05:33,2016
27,5.327,0.0776,65.0,8,hv61354531,19.173,"11km WSW of Pahala, Hawaii",-155.5863333,1.99,6,7,Hawaii,45,61,2016-07-27 08:06:45,2016
27,12.2,0.797704,205.199983584,8,ak13831378,54.4634,"114km SE of Cold Bay, Alaska",-161.4569,2.4,9,7,Alaska,21,89,2016-07-27 08:09:21,2016
27,14.3,0.327,317.24,8,nn00553474,39.8674,"35km NE of Fernley, Nevada",-119.0119,0.8,15,7,Nevada,37,10,2016-07-27 08:15:37,2016
27,12.5,0.03139,70.0,8,ci37640744,34.0308333,"13km N of Cabazon, CA",-116.7703333,1.34,16,7,California,46,28,2016-07-27 08:16:46,2016
27,73.33,1.645,101.0,8,us20006i2n,-4.8676,"83km ESE of Taron, Papua New Guinea",153.6709,4.8,22,7,Papua New Guinea,38,354,2016-07-27 08:22:38,2016
27,3.34,0.0749,78.0,8,ci37640752,33.7811667,"25km WNW of Desert Center, CA",-115.6553333,1.03,28,7,California,52,16,2016-07-27 08:28:52,2016
27,31.8,1.143555,197.99998416,8,ak13806850,54.1201,"133km WSW of Chernabura Island, Alaska",-161.2719,3.2,31,7,Alaska,18,158,2016-07-27 08:31:18,2016
27,8.37,0.03158,59.0,8,nc72667001,37.4285,"6km NE of East Foothills, California",-121.7716667,1.22,34,7,California,35,23,2016-07-27 08:34:35,2016
27,109.2,1.439,51.0,8,us20006i2p,35.9805,"9km SSE of Nahrin, Afghanistan",69.1573,4.5,37,7,Afghanistan,15,312,2016-07-27 08:37:15,2016
27,6.3,0.19,61.22,8,nn00553426,38.6459,"20km NW of Hawthorne, Nevada",-118.7994,2.0,38,7,Nevada,27,62,2016-07-27 08:38:27,2016
27,92.0,0.6243291,107.99999136,8,ak13831380,62.8542,"69km NNW of Talkeetna, Alaska",-150.8216,1.0,46,7,Alaska,57,15,2016-07-27 08:46:57,2016
27,4.3,0.05841,92.0,8,nc72667006,38.9155,"8km SSW of Kelseyville, California",-122.8926667,1.74,57,7,California,30,47,2016-07-27 08:57:30,2016
27,4.8,0.2488333,158.399987328,9,ak13807229,56.444,"24km NNW of Chignik Lake, Alaska",-158.9668,2.0,13,7,Alaska,58,62,2016-07-27 09:13:58,2016
27,0.58,0.07573,54.0,9,ci37640768,34.018,"9km E of Yucaipa, CA",-116.9448333,1.53,17,7,California,47,36,2016-07-27 09:17:47,2016
27,6.73,0.1328,48.0,9,ci37640776,33.0133333,"24km ESE of Julian, CA",-116.3573333,1.82,19,7,California,31,51,2016-07-27 09:19:31,2016
27,193.92,1.471,124.0,9,us20006i2u,-24.1725,"97km W of San Antonio de los Cobres, Argentina",-67.2739,4.1,21,7,Argentina,5,259,2016-07-27 09:21:05,2016
27,0.3,0.3323767,79.199993664001,9,ak13831382,61.45,"183km NNE of Cape Yakataga, Alaska",-140.6041,0.9,24,7,Alaska,53,12,2016-07-27 09:24:53,2016
27,10.0,0.146,131.99,9,nn00553442,41.8767,"68km ESE of Lakeview, Oregon",-119.6278,1.6,28,7,Oregon,55,39,2016-07-27 09:28:55,2016
27,2.09,0.0514,93.0,9,uw61172252,45.3598333,"21km E of Mount Hood Village, Oregon",-121.7006667,0.52,34,7,Oregon,28,4,2016-07-27 09:34:28,2016
27,10.0,16.716,64.0,9,us100069gp,-52.1331,South of Africa,27.7175,4.5,34,7,South of Africa,50,312,2016-07-27 09:34:50,2016
27,1.1,0.0006807,62.0,9,ci37640792,36.0255,"16km NE of Little Lake, CA",-117.7645,0.61,37,7,California,54,6,2016-07-27 09:37:54,2016
27,21.9,0.02694946,100.799991936,9,ak13807238,64.6281,"21km SSW of Badger, Alaska",-147.7578,0.4,44,7,Alaska,8,2,2016-07-27 09:44:08,2016
27,5.37,0.02263,67.0,9,nc72667016,36.646,"20km SSE of Ridgemark, California",-121.2611667,2.09,50,7,California,11,67,2016-07-27 09:50:11,2016
27,1.42,0.006506,52.0,9,nc72667021,38.8293333,"7km W of Cobb, California",-122.8135,1.16,50,7,California,20,21,2016-07-27 09:50:20,2016
27,28.02,0.352,129.0,9,us20006i31,55.1608,"43km NNE of Chernabura Island, Alaska",-159.3778,3.6,51,7,Alaska,4,199,2016-07-27 09:51:04,2016
27,1.54,0.002016,62.0,10,ci37640816,36.0243333,"16km NE of Little Lake, CA",-117.7675,0.72,2,7,California,16,8,2016-07-27 10:02:16,2016
27,1.56,0.00212,106.0,10,ci37640824,36.0273333,"16km NE of Little Lake, CA",-117.7651667,0.96,6,7,California,4,14,2016-07-27 10:06:04,2016
27,60.16,2.169,85.0,10,us20006i32,-7.237,"37km SSE of Picota, Peru",-76.2101,4.3,6,7,Peru,33,284,2016-07-27 10:06:33,2016
27,540.25,4.539,84.0,10,us100069gq,-19.3536,"192km NE of Ndoi Island, Fiji",-177.4688,4.4,22,7,Fiji,17,298,2016-07-27 10:22:17,2016
27,1.5,0.3359699,104.399991648,10,ak13831385,59.7753,"79km WNW of Skagway, Alaska",-136.57,1.2,38,7,Alaska,6,22,2016-07-27 10:38:06,2016
27,46.0,0.526,88.0,10,us20006i35,36.4922,"15km SE of Hitachi, Japan",140.7568,5.3,47,7,Japan,17,500,2016-07-27 10:47:17,2016
27,1.66,0.0617,164.0,11,nc72667036,38.9195,"7km SSW of Kelseyville, California",-122.8885,1.11,19,7,California,34,19,2016-07-27 11:19:34,2016
27,1.0,0.2811727,32.399997408,11,ak13807656,62.1606,"150km SE of McGrath, Alaska",-153.2248,1.6,24,7,Alaska,13,39,2016-07-27 11:24:13,2016
27,0.66,0.1457,307.0,11,nc72667046,37.4673333,"21km SSE of Mammoth Lakes, California",-118.8923333,0.65,27,7,California,53,6,2016-07-27 11:27:53,2016
27,4.586,0.0,36.0,11,us20006i3b,35.8525,"10km S of Langston, Oklahoma",-97.2357,2.6,36,7,Oklahoma,26,104,2016-07-27 11:36:26,2016
27,4.6,0.943231,262.799978976,11,ak13831387,52.7552,"125km S of Unalaska, Alaska",-166.7771,2.2,38,7,Alaska,23,74,2016-07-27 11:38:23,2016
27,2.2,2.171228,208.799983296,11,ak13808047,67.6877,"73km S of Point Hope, Alaska",-166.7916,3.0,41,7,Alaska,20,138,2016-07-27 11:41:20,2016
27,65.7,0.1554085,53.99999568,11,ak13808051,62.9393,"59km SSE of Cantwell, Alaska",-148.3064,1.2,48,7,Alaska,58,22,2016-07-27 11:48:58,2016
27,39.3,0.2784777,233.99998128,11,ak13831390,52.7361,"28km SE of Nikolski, Alaska",-168.6086,1.8,51,7,Alaska,14,50,2016-07-27 11:51:14,2016
27,19.1,0.6521769,269.9999784,11,ak13831391,53.9955,"96km S of False Pass, Alaska",-163.6187,2.0,58,7,Alaska,31,62,2016-07-27 11:58:31,2016
27,10.1,0.5093448,53.99999568,12,ak13808060,63.5851,"80km ENE of Cantwell, Alaska",-147.3953,1.2,7,7,Alaska,58,22,2016-07-27 12:07:58,2016
27,11.2,0.1158827,104.399991648,12,ak13808062,63.5873,"112km WNW of Cantwell, Alaska",-151.1715,0.5,10,7,Alaska,34,4,2016-07-27 12:10:34,2016
27,7.5,0.1060012,86.399993088,12,ak13808063,60.205,"84km E of Cape Yakataga, Alaska",-140.9321,1.6,12,7,Alaska,31,39,2016-07-27 12:12:31,2016
27,2.24,0.007541,62.0,12,nc72667051,38.8226667,"9km WNW of The Geysers, California",-122.8446667,1.56,15,7,California,54,37,2016-07-27 12:15:54,2016
27,10.4,0.1697816,43.199996544,12,ak13808065,65.0745,"43km E of Manley Hot Springs, Alaska",-149.7254,1.2,16,7,Alaska,46,22,2016-07-27 12:16:46,2016
27,1.68,0.07799,38.0,12,ci37640856,33.7266667,"20km ENE of Thermal, CA",-115.9446667,2.17,17,7,California,34,72,2016-07-27 12:17:34,2016
27,10.1,0.133849,50.399995968,12,ak13808077,63.5137,"113km W of Cantwell, Alaska",-151.2119,1.7,33,7,Alaska,33,44,2016-07-27 12:33:33,2016
27,11.2,0.07319,75.0,12,ci37640864,33.5185,"15km ESE of Anza, CA",-116.5193333,0.68,45,7,California,46,7,2016-07-27 12:45:46,2016
27,97.0,0.1607984,79.199993664001,12,ak13831397,59.9464,"58km WNW of Anchor Point, Alaska",-152.8283,1.4,48,7,Alaska,3,30,2016-07-27 12:48:03,2016
27,21.9,0.07995006,68.399994528,12,ak13808084,64.6442,"13km WNW of North Nenana, Alaska",-149.3513,0.4,48,7,Alaska,40,2,2016-07-27 12:48:40,2016
27,21.0,0.02659,167.0,12,nc72667056,36.4063333,"22km S of San Joaquin, California",-120.2075,2.25,54,7,California,54,78,2016-07-27 12:54:54,2016
27,8.82,0.08469,125.0,13,uw61172322,46.433,"14km S of Morton, Washington",-122.3106667,1.33,0,7,Washington,58,27,2016-07-27 13:00:58,2016
27,9.7,0.5362942,61.199995104,13,ak13808483,63.6092,"76km ENE of Cantwell, Alaska",-147.5036,0.7,11,7,Alaska,42,8,2016-07-27 13:11:42,2016
27,5.411,0.0,36.0,13,us20006i5j,35.8519,"10km S of Langston, Oklahoma",-97.2366,2.7,12,7,Oklahoma,36,112,2016-07-27 13:12:36,2016
27,13.68,0.0459,19.0,13,ci37640896,33.9368333,"5km ENE of Cabazon, CA",-116.7363333,2.03,22,7,California,12,64,2016-07-27 13:22:12,2016
27,5.4,0.3512413,46.799996256,13,ak13808484,66.3658,"99km S of Coldfoot, Alaska",-150.1971,1.4,23,7,Alaska,36,30,2016-07-27 13:23:36,2016
27,1.95,0.07724,38.0,13,ci37640904,33.7276667,"21km ENE of Thermal, CA",-115.9425,1.28,29,7,California,17,25,2016-07-27 13:29:17,2016
27,37.5,0.3153087,237.599980992,13,ak13831401,52.7041,"32km SE of Nikolski, Alaska",-168.5775,1.6,30,7,Alaska,11,39,2016-07-27 13:30:11,2016
27,133.9,0.595583,68.399994528,13,ak13831402,58.8044,"95km E of King Salmon, Alaska",-155.0242,2.1,31,7,Alaska,52,68,2016-07-27 13:31:52,2016
27,16.17,0.1197,149.0,13,ci37640936,33.4063333,"17km N of Borrego Springs, CA",-116.3943333,0.71,43,7,California,23,8,2016-07-27 13:43:23,2016
27,1.43,0.07916,37.0,13,ci37640944,33.7288333,"21km ENE of Thermal, CA",-115.9443333,1.59,47,7,California,1,39,2016-07-27 13:47:01,2016
27,0.0,0.1365439,125.99998992,13,ak13808499,64.9836,"22km NNE of Badger, Alaska",-147.3588,1.0,58,7,Alaska,11,15,2016-07-27 13:58:11,2016
27,4.17,0.1253,23.0,13,ci37640960,34.1613333,"12km SSE of Big Bear City, CA",-116.8086667,2.62,59,7,California,44,107,2016-07-27 13:59:44,2016
27,7.4,0.512938,107.99999136,14,ak13808896,63.5895,"81km ENE of Cantwell, Alaska",-147.3766,0.8,0,7,Alaska,6,10,2016-07-27 14:00:06,2016
27,53.2,0.2937491,50.399995968,14,ak13808898,61.174,"51km W of Anchorage, Alaska",-150.8544,1.6,5,7,Alaska,15,39,2016-07-27 14:05:15,2016
27,18.01,0.09023,108.0,14,uw61172332,48.2676667,"7km NW of Coupeville, Washington",-122.7643333,1.62,7,7,Washington,31,40,2016-07-27 14:07:31,2016
27,10.0,1.075283,262.799978976,14,ak13831406,52.6252,"140km S of Unalaska, Alaska",-166.8396,2.2,7,7,Alaska,48,74,2016-07-27 14:07:48,2016
27,7.0,0.103,71.77,14,nn00553525,39.4179,"10km S of Mogul, Nevada",-119.9274,0.6,9,7,Nevada,47,6,2016-07-27 14:09:47,2016
27,10.6,0.3629194,64.799994816,14,ak13808899,63.3396,"125km ENE of McGrath, Alaska",-153.2587,0.7,18,7,Alaska,21,8,2016-07-27 14:18:21,2016
27,0.8,0.9252647,255.599979552,14,ak13808917,52.8063,"119km S of Unalaska, Alaska",-166.7396,2.0,35,7,Alaska,5,62,2016-07-27 14:35:05,2016
27,2.2,0.06198375,161.99998704,14,ak13808919,58.4749,"107km NNW of Larsen Bay, Alaska",-154.4359,1.3,39,7,Alaska,45,26,2016-07-27 14:39:45,2016
27,3.9,0.4374795,154.799987616,14,ak13808958,60.5164,"57km ESE of Whittier, Alaska",-147.773,1.5,52,7,Alaska,31,35,2016-07-27 14:52:31,2016
27,14.55,0.06129,73.0,14,ci37640976,33.6343333,"9km N of Anza, CA",-116.6635,0.4,54,7,California,38,2,2016-07-27 14:54:38,2016
27,-1.4,0.1113,66.0,14,ci37640992,34.3563333,"11km SSW of Lucerne Valley, CA",-117.0238333,1.59,57,7,California,47,39,2016-07-27 14:57:47,2016
27,16.7,0.3584278,176.399985888,15,ak13831411,55.1878,"44km N of Chernabura Island, Alaska",-159.5203,1.8,0,7,Alaska,2,50,2016-07-27 15:00:02,2016
27,-2.0,0.197,88.0,15,mb80163444,46.0183333,"4km ENE of Butte, Montana",-112.4775,2.94,2,7,Montana,6,135,2016-07-27 15:02:06,2016
27,103.5,0.1221709,169.199986464,15,ak13831412,61.0793,"67km NW of Nikiski, Alaska",-152.2331,1.5,8,7,Alaska,20,35,2016-07-27 15:08:20,2016
27,95.5,0.2542232,28.799997696,15,ak13808979,60.2799,"33km SE of Redoubt Volcano, Alaska",-152.3027,2.9,25,7,Alaska,55,129,2016-07-27 15:25:55,2016
27,-0.55,0.04769,46.0,15,ci37641016,33.8495,"4km SE of Home Gardens, CA",-117.4875,1.36,32,7,California,32,28,2016-07-27 15:32:32,2016
27,1.44,0.1657,215.0,15,nc72667096,35.7406667,"24km WNW of San Simeon, California",-121.438,1.84,38,7,California,17,52,2016-07-27 15:38:17,2016
