Address,Cardiovascular,City,County,Emergency Services,Eye,Gastrointestinal,Genitourinary,Latitude,Longitude,Musculoskeletal,Name,Nervous System,Ownership,Phone Number,Provider ID,Skin,State,Type,ZIP Code
201 HOSPITAL ROAD,26,CANTON,CHEROKEE,Yes,560,1218,477,34.245685,-84.490682,369,NORTHSIDE HOSPITAL CHEROKEE,1,Voluntary non-profit - Other,7707205298,110008,40,GA,Acute Care Hospitals,30114
ONE ST FRANCIS DR,442,GREENVILLE,GREENVILLE,Yes,30,3590,1216,34.840334,-82.421702,3157,ST FRANCIS-DOWNTOWN,317,Voluntary non-profit - Church,8642551000,420023,100,SC,Acute Care Hospitals,29601
606 BLACK RIVER RD DRAWER 1718,483,GEORGETOWN,GEORGETOWN,Yes,0,1933,307,33.376834,-79.294496,964,GEORGETOWN MEMORIAL HOSPITAL,2968,Voluntary non-profit - Private,8435277000,420020,41,SC,Acute Care Hospitals,29440
7101 S PADRE ISLAND DR,1056,CORPUS CHRISTI,NUECES,Yes,0,1305,469,27.692805,-97.344761,538,"CORPUS CHRISTI MEDICAL CENTER,THE",40,Proprietary,3617611501,450788,58,TX,Acute Care Hospitals,78412
160 NORTH MIDLAND AVENUE,14,NYACK,ROCKLAND,Yes,0,414,209,41.095949,-73.926054,635,NYACK HOSPITAL,1309,Voluntary non-profit - Other,8453482000,330104,38,NY,Acute Care Hospitals,10960
1300 ROANOKE AVENUE,76,RIVERHEAD,SUFFOLK,Yes,0,73,386,40.933763,-72.673831,974,PECONIC BAY MEDICAL CENTER,0,Voluntary non-profit - Private,6315486000,330107,1646,NY,Acute Care Hospitals,11901
300 COMMUNITY DRIVE,485,MANHASSET,NASSAU,Yes,5859,10620,14789,40.777705,-73.702443,5593,NORTH SHORE UNIVERSITY HOSPITAL,7038,Voluntary non-profit - Private,5165620100,330106,9748,NY,Acute Care Hospitals,11030
701 N FIRST ST,1084,SPRINGFIELD,SANGAMON,Yes,294,4829,1318,39.80858,-89.654615,1832,MEMORIAL MEDICAL CENTER,2525,Voluntary non-profit - Private,2177883000,140148,2865,IL,Acute Care Hospitals,62781
310 EAST 14TH STREET,0,NEW YORK,NEW YORK,No,13009,0,0,40.731892,-73.984586,0,NY EYE AND EAR INFIRMARY,0,Voluntary non-profit - Private,2129794000,330100,0,NY,Acute Care Hospitals,10003
515 MAIN STREET,177,OLEAN,CATTARAUGUS,Yes,614,4483,208,42.091854,-78.428199,830,OLEAN GENERAL HOSPITAL,0,Proprietary,7163732600,330103,32,NY,Acute Care Hospitals,14760
2950 ELMWOOD AVENUE,443,KENMORE,ERIE,Yes,0,6206,88,42.977526,-78.880349,475,KENMORE MERCY HOSPITAL,642,Voluntary non-profit - Church,7164476100,330102,56,NY,Acute Care Hospitals,14217
9150 HUEBNER RD SUITE 100,17,SAN ANTONIO,BEXAR,Yes,32,0,0,29.527257,-98.594839,976,METHODIST AMBULATORY SURGERY HOSPITAL NW,428,Proprietary,2105755000,450780,22,TX,Acute Care Hospitals,78240
9515 HOLY CROSS LN,8,BREESE,CLINTON,Yes,182,2244,216,38.626075,-89.523358,374,ST JOSEPHS HOSPITAL,0,Voluntary non-profit - Church,6185264511,140145,220,IL,Acute Care Hospitals,62230
800 EAST LOCUST,21,OLNEY,RICHLAND,Yes,158,1161,115,38.735051,-88.077078,217,RICHLAND MEMORIAL HOSPITAL,0,Voluntary non-profit - Private,6183952131,140147,331,IL,Acute Care Hospitals,62450
555 ST JOSEPH'S BLVD,0,ELMIRA,CHEMUNG,Yes,0,3141,177,42.09213,-76.79721,446,"ST JOSEPH'S HOSPITAL, INC",283,Voluntary non-profit - Private,6077336541,330108,9,NY,Acute Care Hospitals,14902
11925 S STATE STREET,0,DRAPER,SALT LAKE,Yes,0,0,0,40.535949,-111.891405,0,LONE PEAK HOSPITAL,0,Proprietary,8015458001,460060,0,UT,Acute Care Hospitals,84020
600 E 1ST ST,17,SPRING VALLEY,BUREAU,Yes,45,1715,281,41.328921,-89.193075,428,ST MARGARETS HOSPITAL,457,Voluntary non-profit - Church,8156641176,140143,12,IL,Acute Care Hospitals,61362
1012 SOUTH 3RD STREET,0,DAYTON,COLUMBIA,Yes,0,0,0,46.31277,-117.969206,0,DAYTON GENERAL HOSPITAL,0,Government - Hospital District or Authority,5093822531,501302,0,WA,Critical Access Hospitals,99328
1826 VETERANS BOULEVARD,0,DUBLIN,LAURENS,No,0,0,0,32.536398,-82.943182,0,DUBLIN VA MEDICAL CENTER,0,Government Federal,4782772701,11031F,0,GA,ACUTE CARE - VETERANS ADMINISTRATION,31021
13111 N PORT WASHINGTON RD,1525,MEQUON,OZAUKEE,Yes,1188,5020,1001,43.255651,-87.926203,1435,COLUMBIA ST MARYS HOSPITAL OZAUKEE,1063,Voluntary non-profit - Church,2622437300,520027,1189,WI,Acute Care Hospitals,53097
159 HARTLEY WAY,0,PEARISBURG,GILES,Yes,0,0,0,37.332988,-80.712676,0,CARILION GILES COMMUNITY HOSPITAL,0,Voluntary non-profit - Private,5409216000,491302,0,VA,Critical Access Hospitals,24134
1700 SOUTH LINCOLN AVENUE,0,LEBANON,LEBANON,No,0,0,0,40.311569,-76.406464,0,LEBANON VA MEDICAL CENTER,0,Government Federal,7172285901,39006F,0,PA,ACUTE CARE - VETERANS ADMINISTRATION,17042
14800 WEST ST TERESA,82,WICHITA,SEDGWICK,Yes,0,504,4,37.725751,-97.513296,42,"VIA CHRISTI HOSPITAL WICHITA ST TERESA, INC",321,Voluntary non-profit - Church,3167967800,170200,6,KS,Acute Care Hospitals,67235
269 SOUTH CANDY LANE,0,COTTONWOOD,YAVAPAI,Yes,0,0,0,34.73548,-112.029555,0,VERDE VALLEY MEDICAL CENTER,0,Voluntary non-profit - Private,9286396000,30007,0,AZ,Acute Care Hospitals,86326
5301 EAST GRANT ROAD,0,TUCSON,PIMA,Yes,0,0,0,32.251073,-110.881307,0,TUCSON MEDICAL CENTER,0,Voluntary non-profit - Private,5203275461,30006,0,AZ,Acute Care Hospitals,85712
5102 WEST CAMPBELL AVENUE,0,PHOENIX,MARICOPA,Yes,0,0,0,33.502921,-112.170758,0,MARYVALE HOSPITAL,0,Proprietary,6238485000,30001,0,AZ,Acute Care Hospitals,85031
ONE HOSPITAL DR SE,0,HUNTSVILLE,MADISON,Yes,0,0,0,34.692792,-86.571787,0,CRESTWOOD MEDICAL CENTER,0,Proprietary,2568823100,10131,0,AL,Acute Care Hospitals,35801
7063 VETERANS PARKWAY,0,PELL CITY,SAINT CLAIR,Yes,0,0,0,33.604371,-86.301725,0,ST VINCENT'S ST CLAIR,0,Voluntary non-profit - Private,2053383301,10130,0,AL,Acute Care Hospitals,35125
5731 BEE RIDGE RD,290,SARASOTA,SARASOTA,Yes,0,773,228,27.301873,-82.454281,400,DOCTORS HOSPITAL OF SARASOTA,50,Proprietary,9413421100,100166,657,FL,Acute Care Hospitals,34233
401 NW 42ND AVE,772,PLANTATION,BROWARD,Yes,0,791,143,26.126466,-80.205193,787,PLANTATION GENERAL HOSPITAL,34,Proprietary,9545875010,100167,238,FL,Acute Care Hospitals,33317
2010 BROOKWOOD MEDICAL CENTER DRIVE,0,BIRMINGHAM,JEFFERSON,Yes,0,0,0,33.463642,-86.777167,0,BROOKWOOD MEDICAL CENTER,0,Proprietary,2058771000,10139,0,AL,Acute Care Hospitals,35209
751 DERBY DRIVE,0,YORK,SUMTER,Yes,0,0,0,32.491706,-88.29602,0,HILL HOSPITAL OF SUMTER COUNTY,0,Voluntary non-profit - Other,2053925263,10138,0,AL,Acute Care Hospitals,36925
20 NINTH STREET SOUTHEAST,0,LONG PRAIRIE,TODD,Yes,0,0,0,45.9739,-94.850241,0,CENTRACARE HEALTH SYSTEM - LONG PRAIRIE,0,Proprietary,3207327210,241326,0,MN,Critical Access Hospitals,56347
400 FOURTH AVENUE NORTHWEST,0,SLEEPY EYE,BROWN,Yes,25,201,7,44.299365,-94.727371,88,SLEEPY EYE MUNICIPAL HOSPITAL,0,Government - Local,5077948440,241327,0,MN,Critical Access Hospitals,56085
4023 REAS LN,0,NEW ALBANY,FLOYD,No,177,1617,4305,38.338219,-85.827941,911,PHYSICIANS' MEDICAL CENTER LLC,0,Physician,8122067660,150172,0,IN,Acute Care Hospitals,47150
5165 MCCARTY LN,811,LAFAYETTE,TIPPECANOE,Yes,471,5950,384,40.399417,-86.808841,911,INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL,25,Voluntary non-profit - Private,7654488000,150173,91,IN,Acute Care Hospitals,47905
1400 HIGHWAY 71,0,INTERNATIONAL FALLS,KOOCHICHING,Yes,0,0,0,48.594926,-93.431731,0,RAINY LAKE MEDICAL CENTER,0,Voluntary non-profit - Private,2182835400,241322,0,MN,Critical Access Hospitals,56649
4007 GATEWAY BLVD,235,NEWBURGH,WARRICK,No,0,13,7,37.974807,-87.44457,0,THE HEART HOSPITAL AT DEACONESS GATEWAY LLC,0,Proprietary,8128424784,150175,1,IN,Acute Care Hospitals,47630
4601 MEDICAL PLAZA WAY,477,CLARKSVILLE,CLARK,No,0,587,0,38.33336,-85.751648,0,KENTUCKIANA MEDICAL CENTER LLC,0,Proprietary,8122803300,150176,0,IN,Acute Care Hospitals,47129
4455 EDISON LAKES PKWY,0,MISHAWAKA,ST JOSEPH,No,214,132,81,41.701277,-86.178119,34,UNITY MEDICAL AND SURGICAL HOSPITAL,107,Proprietary,5742316800,150177,0,IN,Acute Care Hospitals,46545
8102 CLEARVISTA PARKWAY,0,INDIANAPOLIS,MARION,No,0,0,0,39.902923,-86.041159,0,FAIRBANKS,0,Voluntary non-profit - Private,3178498222,150179,0,IN,Acute Care Hospitals,46256
640 JACKSON STREET,1356,SAINT PAUL,RAMSEY,Yes,781,13414,758,44.955699,-93.094289,4167,REGIONS HOSPITAL,2745,Voluntary non-profit - Private,6512540975,240106,764,MN,Acute Care Hospitals,55101
1027 WASHINGTON AVE,11,DETROIT LAKES,BECKER,Yes,133,93,43,46.814808,-95.84549,226,ESSENTIA HEALTH ST MARYS,0,Voluntary non-profit - Church,2188470852,240101,4,MN,Acute Care Hospitals,56501
1300 ANNE ST NW,129,BEMIDJI,BELTRAMI,Yes,864,3182,247,47.503845,-94.898581,663,SANFORD BEMIDJI MEDICAL CENTER,25,Voluntary non-profit - Private,2187515430,240100,52,MN,Acute Care Hospitals,56601
203 4TH STREET NORTHWEST,0,BAGLEY,CLEARWATER,Yes,0,0,0,47.525805,-95.395591,0,SANFORD BAGLEY MEDICAL CENTER,0,Voluntary non-profit - Private,2186946501,241328,0,MN,Critical Access Hospitals,56621
49725 COUNTY ROAD 83,0,STAPLES,TODD,Yes,0,0,0,46.358952,-94.748229,0,LAKEWOOD HEALTH SYSTEM,0,Voluntary non-profit - Private,2188941515,241329,0,MN,Critical Access Hospitals,56479
1111 N STATE ST,0,MONTICELLO,PIATT,Yes,0,0,0,40.035518,-88.570308,0,JOHN & MARY KIRBY HOSPITAL,0,Voluntary non-profit - Private,2177622115,141301,0,IL,Critical Access Hospitals,61856
800 SCHOOL ST,0,CARROLLTON,GREENE,Yes,0,0,0,39.296211,-90.412341,0,THOMAS H BOYD MEMORIAL HOSPITAL,0,Voluntary non-profit - Private,2179426946,141300,0,IL,Critical Access Hospitals,62016
422 W WHITE ST,0,CLINTON,DEWITT,Yes,0,0,0,40.148949,-88.964387,0,DR JOHN WARNER HOSPITAL,0,Government - Local,2179359571,141303,0,IL,Critical Access Hospitals,61727
ONE MEDICAL CENTER DRIVE,0,GALENA,JO DAVIESS,Yes,0,0,0,42.447334,-90.456984,0,MIDWEST MEDICAL CENTER,0,Voluntary non-profit - Private,8157771340,141302,0,IL,Critical Access Hospitals,61036
"SOUTH ADAMS ST, PO BOX 160",0,CARTHAGE,HANCOCK,Yes,0,0,0,40.411264,-91.134543,0,MEMORIAL HOSPITAL,0,Voluntary non-profit - Private,2173573131,141305,0,IL,Critical Access Hospitals,62321
409 NW 9TH AVENUE,0,ALEDO,MERCER,Yes,0,0,0,41.205335,-90.758504,0,"GENESIS MEDICAL CENTER, ALEDO",0,Voluntary non-profit - Private,3095825301,141304,0,IL,Critical Access Hospitals,61231
101 N WALNUT,0,PINCKNEYVILLE,PERRY,Yes,0,0,0,38.080839,-89.382917,0,PINCKNEYVILLE COMMUNITY HOSPITAL,0,Government - Hospital District or Authority,6183572187,141307,0,IL,Critical Access Hospitals,62274
400 CALDWELL,0,STAUNTON,MACOUPIN,Yes,0,0,0,39.015114,-89.78988,0,COMMUNITY MEMORIAL HOSPITAL,0,Voluntary non-profit - Private,6186352200,141306,0,IL,Critical Access Hospitals,62088
101 S MAJOR ST,0,EUREKA,WOODFORD,Yes,0,0,0,40.721394,-89.271656,0,ADVOCATE EUREKA  HOSPITAL,0,Voluntary non-profit - Private,3094672371,141309,0,IL,Critical Access Hospitals,61530
1144 N ROAD ST,169,ELIZABETH CITY,PASQUOTANK,Yes,1176,1020,379,36.323798,-76.21804,285,ALBEMARLE HOSPITAL AUTHORITY,0,Government - Hospital District or Authority,2523350531,340109,78,NC,Acute Care Hospitals,27909
2305 CHAMBLISS AVE NW,275,CLEVELAND,BRADLEY,Yes,5,4331,500,35.177311,-84.868727,1424,SKYRIDGE MEDICAL CENTER,724,Proprietary,4233394132,440185,356,TN,Acute Care Hospitals,37311
4920 NE STALLINGS DRIVE,86,NACOGDOCHES,NACOGDOCHES,Yes,0,310,118,31.652073,-94.65482,228,NACOGDOCHES MEDICAL CENTER,52,Voluntary non-profit - Other,9365699481,450656,382,TX,Acute Care Hospitals,75961
1015 UNION STREET,0,BOONE,BOONE,Yes,0,0,0,42.056164,-93.877395,0,BOONE COUNTY HOSPITAL,0,Voluntary non-profit - Other,5154323140,161372,0,IA,Critical Access Hospitals,50036
128  N FM RD 3167,1,RIO GRANDE CITY,STARR,Yes,0,958,0,26.592412,-98.625094,3,STARR COUNTY MEMORIAL HOSPITAL,22,Government - Hospital District or Authority,9564875561,450654,0,TX,Acute Care Hospitals,78582
CARR.2 KM.1.4 AVE. SEVERIANO CUEVAS #18,0,AGUADILLA,AGUADILLA,Yes,0,0,0,18.427445,-67.15407,0,HOSP COMUNITARIO BUEN SAMARITANO,0,Voluntary non-profit - Other,7876580000,400079,0,PR,Acute Care Hospitals,603
3901 W 15TH ST,452,PLANO,COLLIN,Yes,0,2860,116,33.021679,-96.766206,616,MEDICAL CENTER OF PLANO,165,Proprietary,9725966800,450651,1192,TX,Acute Care Hospitals,75075
400 ROSALIND REDFERN GROVER PARKWAY,287,MIDLAND,MIDLAND,Yes,233,1359,1065,31.996702,-102.099608,425,MIDLAND MEMORIAL HOSPITAL,134,Government - Hospital District or Authority,4326851111,450133,18,TX,Acute Care Hospitals,79701
211 HIGHLAND AVENUE PO BOX 217,0,SAC CITY,SAC,Yes,0,0,0,42.419673,-94.977973,0,LORING HOSPITAL,0,Voluntary non-profit - Private,7126627105,161370,0,IA,Critical Access Hospitals,50583
125 NEWMAN ST,0,FAIRFIELD,FREESTONE,Yes,0,209,0,31.724602,-96.169635,28,EAST TEXAS MEDICAL CENTER - FAIRFIELD,0,Voluntary non-profit - Private,9033891612,450658,15,TX,Acute Care Hospitals,75840
161 HOSPITAL DRIVE,6,MC KENZIE,CARROLL,Yes,244,692,164,36.137378,-88.489547,15,MCKENZIE REGIONAL HOSPITAL,0,Proprietary,7313525344,440182,3,TN,Acute Care Hospitals,38201
350 CROSSGATES BLVD,142,BRANDON,RANKIN,Yes,0,5,8,32.286182,-90.034337,26,CROSSGATES RIVER OAKS HOSPITAL,3,Proprietary,6018252811,250096,215,MS,Acute Care Hospitals,39042
901 MONTGOMERY STREET,3,DECORAH,WINNESHIEK,Yes,180,1070,157,43.294586,-91.771217,243,WINNESHIEK MEDICAL CENTER,0,Government - Local,5633822911,161371,64,IA,Critical Access Hospitals,52101
3200 PLEASANT VALLEY ROAD,52,WEST BEND,WASHINGTON,Yes,547,672,177,43.355268,-88.194365,120,ST JOSEPHS COMMUNITY HOSPITAL OF WEST BEND,0,Voluntary non-profit - Private,2623345533,520063,8,WI,Acute Care Hospitals,53095
812 N LOGAN,74,DANVILLE,VERMILION,Yes,0,723,3,40.138105,-87.645686,81,PRESENCE UNITED SAMARITANS MEDICAL CENTER,7,Voluntary non-profit - Church,2174435000,140093,12,IL,Acute Care Hospitals,61832
611 WEST PARK STREET,687,URBANA,CHAMPAIGN,Yes,1576,7199,914,40.116745,-88.214486,1680,THE CARLE FOUNDATION HOSPITAL,7,Voluntary non-profit - Private,2173833311,140091,6958,IL,Acute Care Hospitals,61801
5001 W HARDY ST,199,HATTIESBURG,FORREST,Yes,213,232,297,31.32573,-89.366704,248,WESLEY MEDICAL CENTER,31,Voluntary non-profit - Private,6012688000,250094,46,MS,Acute Care Hospitals,39402
2875 WEST 19TH STREET,136,CHICAGO,COOK,Yes,3,1359,103,41.855193,-87.698001,187,SAINT ANTHONY HOSPITAL,260,Voluntary non-profit - Church,7735211710,140095,2404,IL,Acute Care Hospitals,60623
1805 MEDICAL CENTER DRIVE,0,SAN BERNARDINO,SAN BERNARDINO,Yes,0,0,0,34.131409,-117.321777,0,COMMUNITY HOSPITAL OF SAN BERNARDINO,0,Voluntary non-profit - Private,9098876333,50089,0,CA,Acute Care Hospitals,92411
121 E BAKER ST,0,INDIANOLA,SUNFLOWER,Yes,0,0,0,33.45723,-90.650115,0,SOUTH SUNFLOWER COUNTY HOSPITAL,0,Government - Local,6628875235,250095,0,MS,Acute Care Hospitals,38751
1600 N ROSE AVE,0,OXNARD,VENTURA,Yes,0,0,0,34.216642,-119.155648,0,ST JOHNS REGIONAL MEDICAL CENTER,0,Voluntary non-profit - Private,8059882500,50082,0,CA,Acute Care Hospitals,93030
231 SOUTH COLLINS ROAD,251,SUNNYVALE,DALLAS,Yes,0,383,109,32.77918,-96.568714,426,TEXAS REGIONAL MEDICAL CENTER AT SUNNYVALE,273,Proprietary,9728923000,670060,13,TX,Acute Care Hospitals,75182
353 FAIRMONT BLVD  POST OFFICE BOX 6000,224,RAPID CITY,PENNINGTON,Yes,11,2556,419,44.080543,-103.231015,301,RAPID CITY REGIONAL HOSPITAL,44,Voluntary non-profit - Private,6057191000,430077,177,SD,Acute Care Hospitals,57701
1800 N CALIFORNIA ST,0,STOCKTON,SAN JOAQUIN,Yes,0,0,0,37.970001,-121.288626,0,ST JOSEPHS MEDICAL CENTER OF STOCKTON,0,Voluntary non-profit - Church,2099432000,50084,0,CA,Acute Care Hospitals,95204
333 NORTH SMITH AVENUE,871,SAINT PAUL,RAMSEY,Yes,812,1754,958,44.943219,-93.10712,1559,UNITED HOSPITAL,3523,Voluntary non-profit - Private,6512418802,240038,666,MN,Acute Care Hospitals,55102
455 TOLL GATE RD,312,WARWICK,KENT,Yes,78,3236,885,41.705411,-71.477898,3739,KENT COUNTY MEMORIAL HOSPITAL,1084,Voluntary non-profit - Private,4017377000,410009,696,RI,Acute Care Hospitals,2886
100 KENYON AVE,139,WAKEFIELD,WASHINGTON,Yes,380,4122,270,41.431476,-71.496478,1202,SOUTH COUNTY HOSPITAL INC,122,Voluntary non-profit - Private,4017828000,410008,608,RI,Acute Care Hospitals,2879
"736 BATTLEFIELD BLVD, NORTH",679,CHESAPEAKE,CHESAPEAKE CITY,Yes,0,4723,0,36.747307,-76.246801,1256,CHESAPEAKE GENERAL HOSPITAL,330,Government - Hospital District or Authority,7573128121,490120,251,VA,Acute Care Hospitals,23320
1441 CONSTITUTION BOULEVARD,0,SALINAS,MONTEREY,Yes,0,0,0,36.697376,-121.633161,0,NATIVIDAD MEDICAL CENTER,0,Government - Hospital District or Authority,8317554195,50248,0,CA,Acute Care Hospitals,93906
1080 NORTH ELLINGTON PARKWAY,0,LEWISBURG,MARSHALL,Yes,28,348,15,35.464617,-86.785572,0,MARSHALL MEDICAL CENTER,0,Government - Hospital District or Authority,9313596276,441309,2,TN,Critical Access Hospitals,37091
101 HARRIS ROAD,19,KILMARNOCK,LANCASTER,Yes,147,871,162,37.701205,-76.38744,119,RAPPAHANNOCK GENERAL HOSPITAL,32,Voluntary non-profit - Private,8044358000,490123,12,VA,Acute Care Hospitals,22482
400 NORTH PEPPER AVENUE,0,COLTON,SAN BERNARDINO,Yes,0,0,0,34.074016,-117.351125,0,ARROWHEAD REGIONAL MEDICAL CENTER,0,Government - Local,9095801000,50245,0,CA,Acute Care Hospitals,92324
111 17TH AVENUE EAST,56,ALEXANDRIA,DOUGLAS,Yes,634,3199,385,45.872643,-95.377671,1061,DOUGLAS COUNTY HOSPITAL,132,Government - Local,3207621511,240030,679,MN,Acute Care Hospitals,56308
111 BREWSTER STREET,90,PAWTUCKET,PROVIDENCE,Yes,143,2041,128,41.869423,-71.375607,513,MEMORIAL HOSPITAL OF RHODE ISLAND,1764,Voluntary non-profit - Private,4017292000,410001,202,RI,Acute Care Hospitals,2860
5801 BREMO RD,1270,RICHMOND,HENRICO,Yes,11,6183,686,37.584411,-77.512512,1094,BON SECOURS ST MARYS HOSPITAL,1189,Voluntary non-profit - Church,8042852011,490059,325,VA,Acute Care Hospitals,23226
593 EDDY STREET,1088,PROVIDENCE,PROVIDENCE,Yes,505,9996,1042,41.811093,-71.408915,2322,RHODE ISLAND HOSPITAL,1488,Voluntary non-profit - Private,4014444000,410007,1729,RI,Acute Care Hospitals,2902
FRIENDSHIP STREET,164,NEWPORT,NEWPORT,Yes,189,1805,191,41.496971,-71.304764,885,NEWPORT HOSPITAL,13,Voluntary non-profit - Private,4018466400,410006,1401,RI,Acute Care Hospitals,2840
1150 NORTH INDIAN CANYON DRIVE,0,PALM SPRINGS,RIVERSIDE,Yes,0,0,0,33.838702,-116.544108,0,DESERT REGIONAL MEDICAL CENTER,0,Proprietary,7603236511,50243,0,CA,Acute Care Hospitals,92262
1555 SOQUEL DRIVE,0,SANTA CRUZ,SANTA CRUZ,Yes,0,0,0,36.990166,-121.983667,0,DOMINICAN HOSPITAL,0,Voluntary non-profit - Church,8314627700,50242,0,CA,Acute Care Hospitals,95065
252 MCHENRY ST,6593,BURLINGTON,RACINE,Yes,527,4086,810,42.672694,-88.281381,2115,AURORA MEMORIAL HOSPITAL BURLINGTON,852,Voluntary non-profit - Private,2627676000,520059,696,WI,Acute Care Hospitals,53105
16000 SOUTHWEST FREEWAY,0,SUGAR LAND,FORT BEND,Yes,0,0,0,29.598188,-95.624202,0,EMERUS HOSPITAL,0,Physician,2815160911,670058,0,TX,Acute Care Hospitals,77479
303 N CLYDE MORRIS BLVD,1977,DAYTONA BEACH,VOLUSIA,Yes,923,2861,1400,29.201172,-81.058278,2805,HALIFAX HEALTH MEDICAL CENTER,2282,Government - Hospital District or Authority,3862544000,100017,3526,FL,Acute Care Hospitals,32114
401 PALMETTO ST,192,NEW SMYRNA BEACH,VOLUSIA,Yes,503,750,261,29.020484,-80.921978,281,BERT FISH MEDICAL CENTER,7,Voluntary non-profit - Private,3864245000,100014,25,FL,Acute Care Hospitals,32170
2776 CLEVELAND AVE,2693,FORT MYERS,LEE,Yes,0,2904,4035,26.628493,-81.874228,778,LEE MEMORIAL HOSPITAL,85,Government - Hospital District or Authority,2393321111,100012,390,FL,Acute Care Hospitals,33901
1310 24TH AVENUE SOUTH,0,NASHVILLE,DAVIDSON,No,0,0,0,36.141908,-86.803683,0,VA MIDDLE TENNESSEE HEALTHCARE SYSTEM,0,Government Federal,6153275332,44018F,0,TN,ACUTE CARE - VETERANS ADMINISTRATION,37212
2211 NE 139TH STREET,176,VANCOUVER,CLARK,Yes,0,1307,245,45.720363,-122.648459,105,LEGACY SALMON CREEK MEDICAL CENTER,267,Voluntary non-profit - Private,3604871000,500150,42,WA,Acute Care Hospitals,98686
350 7TH ST N,929,NAPLES,COLLIER,Yes,0,2367,301,26.15035,-81.798753,560,NAPLES COMMUNITY HOSPITAL,47,Voluntary non-profit - Private,2394365000,100018,608,FL,Acute Care Hospitals,34102
1350 S HICKORY ST,1114,MELBOURNE,BREVARD,Yes,2,1430,226,28.069396,-80.612898,262,HOLMES REGIONAL MEDICAL CENTER,244,Voluntary non-profit - Private,3214347000,100019,301,FL,Acute Care Hospitals,32901
101 DUDLEY STREET,214,PROVIDENCE,PROVIDENCE,Yes,0,1584,2161,41.810963,-71.412083,12,WOMEN AND INFANTS HOSPITAL OF RHODE ISLAND,71,Voluntary non-profit - Private,4012741100,410010,101,RI,Acute Care Hospitals,2905
54 HOSPITAL DRIVE,481,OSAGE BEACH,CAMDEN,Yes,461,2439,684,38.120269,-92.68146,778,LAKE REGIONAL HEALTH SYSTEM,1437,Voluntary non-profit - Other,5733488000,260186,305,MO,Acute Care Hospitals,65065
6300 MAIN STREET,401,ZACHARY,EAST BATON ROUGE,Yes,56,1390,15,30.650086,-91.138162,426,LANE REGIONAL MEDICAL CENTER,1,Government - Hospital District or Authority,2256584000,190020,37,LA,Acute Care Hospitals,70791
211 4TH STREET,708,ALEXANDRIA,RAPIDES,Yes,0,1379,155,31.31495,-92.44946,415,RAPIDES REGIONAL MEDICAL CENTER,164,Voluntary non-profit - Other,3187693000,190026,570,LA,Acute Care Hospitals,71301
