age,category,citizenship,company.name,company.type,country code,founded,from emerging,gdp,gender,industry,inherited,name,rank,region,relationship,sector,was founder,was political,wealth.type,worth in billions,year
-1,Traded Sectors,Ecuador,Exportadora Bananera Noboa,new,ECU,1946,True,25200000000.0,male,Consumer,True,Alvaro Noboa,325,Latin America,relation,banannas,True,False,inherited,1.2,1996
59,Non-Traded Sectors,United States,Continental Cablevision,new,USA,1964,True,8100000000000.0,male,Media,True,Amos Hosetter Jr,319,North America,founder,media,True,False,founder non-finance,1.3,1996
-1,Resource Related,Peru,Grupo Prescia (now Pandora Group),new,PER,1889,True,53975906967.0,female,Mining and metals,True,Ana Maria Brescia Cafferata,401,Latin America,relation,"mining, banking",True,False,inherited,1.0,1996
82,Resource Related,Chile,Angelini Group,new,CHL,1955,True,75800000000.0,male,Energy,True,Anacleto Angelini,150,Latin America,founder,mining,True,False,privatized and resources,2.3,1996
57,Non-Traded Sectors,Malaysia,Usaha Tegas Sdn Bhd,new,MYS,1984,True,101000000000.0,male,Media,True,Ananda Krishnan,265,East Asia,founder,real estate,True,False,founder non-finance,1.5,1996
-1,Financial,Philippines,Filinvest Development Corporation,new,PHL,1955,True,82848194406.0,male,Real Estate,True,Andrew Gotianun,149,East Asia,founder,real estate,True,False,self-made finance,2.4,1996
69,Resource Related,Chile,Antofagasta,aquired,CHL,1888,True,75800000000.0,male,Mining and metals,True,Andronico Luksic,161,Latin America,founder,copper,True,False,privatized and resources,2.2,1996
76,Non-Traded Sectors,United States,Cox Enterprises,aquired,USA,1898,True,8100000000000.0,female,Media,True,Anne Cox Chambers,58,North America,relation,media,True,False,inherited,4.0,1996
75,Non-Traded Sectors,Germany,Westdeutsche Allgemeine Zeitung,new,DEU,1948,True,2500000000000.0,female,Media,True,Anneliese Brost,173,Europe,founder,media,True,False,founder non-finance,2.1,1996
-1,Traded Sectors,South Africa,Rembrandt Group,new,ZAF,1940,True,148000000000.0,male,Consumer,True,Anton Rupert,250,Sub-Saharan Africa,relation,tobacco/luxury brands,True,False,inherited,1.6,1996
-1,Traded Sectors,Brazil,Votorantim Group,new,BRA,1919,True,854000000000.0,male,Non-consumer industrial,True,Antonio Ermirio de Moraes,31,Latin America,relation,"metals, paper, cement",True,False,inherited,5.1,1996
65,Financial,Germany,"Allianz, Merk Finck & Co",new,DEU,1890,True,2500000000000.0,male,Money Management,True,August von Finck,88,Europe,relation,banking/insurance,True,False,inherited,3.1,1996
-1,Traded Sectors,Mexico,,,MEX,0,True,397000000000.0,,Non-consumer industrial,True,Autrey family,400,Latin America,,,True,False,,1.0,1996
-1,Financial,Turkey,Dogus Holding,new,TUR,1951,True,181000000000.0,male,Money Management,True,Ayhan Sahenk,288,Middle East/North Africa,founder,construction,True,False,self-made finance,1.4,1996
-1,Non-Traded Sectors,Germany,Edmond de Rothschild Group,new,DEU,1953,True,2500000000000.0,male,Constrution,True,Baldwin and Nikolaus Knauf,302,Europe,relation,banking,True,False,inherited,1.3,1996
-1,Financial,Thailand,Kasikornbank,new,THA,1945,True,182000000000.0,male,Money Management,True,Banyong Lamsam,143,East Asia,relation,banking,True,False,inherited,2.5,1996
72,Non-Traded Sectors,United States,Cox Enterprises,aquired,USA,1898,True,8100000000000.0,female,Media,True,Barbara Cox Anthony,57,North America,relation,media,True,False,inherited,4.0,1996
59,New Sectors,United States,Johnson & Johnson,new,USA,1886,True,8100000000000.0,female,Technology-Medical,True,Barbara Piasecka Johnson,335,North America,relation,medical supplies,True,False,inherited,1.2,1996
-1,Traded Sectors,Switzerland,TBG (Thyssen-Bornemisza Group) Holdings,new,CHE,1926,True,330000000000.0,male,Non-consumer industrial,True,Baron Hans Heinrich Thyssen-Bornemisza,365,Europe,relation,steel,True,False,inherited,1.1,1996
-1,Traded Sectors,Argentina,Cerveza Quilmes,new,ARG,1888,True,272000000000.0,,Consumer,True,Bemberg family,348,Latin America,relation,beverages,True,False,inherited,1.1,1996
63,Traded Sectors,United States,Campbell Soup,aquired,USA,1869,True,8100000000000.0,male,Consumer,True,Bennett Dorrance,228,North America,relation,soup,True,False,inherited,1.8,1996
-1,Financial,Mexico,Grupo ALFA,new,MEX,1890,True,397000000000.0,male,Diversified financial,True,Bernardo Garza Sada,266,Latin America,relation,aluminum,True,False,inherited,1.5,1996
40,New Sectors,United States,Microsoft,new,USA,1975,True,8100000000000.0,male,Technology-Computer,True,Bill Gates,1,North America,founder, Software,True,False,founder non-finance,18.5,1996
-1,New Sectors,Germany,Poehringer Ingelheim,new,DEU,1885,True,2500000000000.0,,Technology-Medical,True,Boehringer family,51,Europe,relation,pharmaceuticals,True,False,inherited,4.1,1996
-1,Non-Traded Sectors,Thailand,Total Access Communications,new,THA,1989,True,182000000000.0,male,Media,True,Boonchai Bencharongkul,236,East Asia,chairman,telecomm,True,False,executive,1.7,1996
-1,Financial,Thailand,,,THA,0,True,182000000000.0,male,Real Estate,True,Boonsong Asavabhokhin,408,East Asia,,,True,False,,1.0,1996
-1,Non-Traded Sectors,Netherlands,C&A,new,NLD,1841,True,443000000000.0,,"Retail, Restaurant",True,Brenninkmeijer family,63,Europe,relation,retail,True,False,inherited,3.8,1996
76,0,United States,American Financial Group,new,USA,1959,True,8100000000000.0,male,0,True,Carl Lindner Jr,379,North America,founder,banking,True,False,founder non-finance,1.1,1996
80,Financial,United States,Marquette Bank,aquired,USA,1920,True,8100000000000.0,male,Money Management,True,Carl Pohlad,423,North America,owner,banking,True,False,self-made finance,1.0,1996
-1,Traded Sectors,Colombia,Organizacion Ardila Lulle,aquired,COL,1904,True,97200000000.0,male,Consumer,True,Carlos Ardila Lulle,298,Latin America,relation,soft drinks,True,False,inherited,1.3,1996
56,Non-Traded Sectors,Mexico,Telmex,privatization,MEX,1990,True,397000000000.0,male,Media,True,Carlos Slim Helu,18,Latin America,founder, Communications,True,False,privatized and resources,6.1,1996
-1,Non-Traded Sectors,Thailand,Italian-Thai development,new,THA,1958,True,182000000000.0,male,Constrution,True,Chaijudh Karnasuta,212,East Asia,founder,construction,True,True,privatized and resources,1.9,1996
69,0,Taiwan,Evergreen Group,new,Taiwan,1961,True,0.0,male,Other,True,Chang Yung Fa,366,East Asia,founder,shipping,True,False,founder non-finance,1.1,1996
-1,Traded Sectors,Hong Kong,,new,HKG,1960,True,160000000000.0,male,Consumer,True,Chao Kuang-Piu,391,East Asia,founder,wool,True,False,founder non-finance,1.0,1996
64,Traded Sectors,Canada,Seagrams,new,CAN,1857,True,627000000000.0,male,Consumer,True,Charles Bronfman,117,North America,relation,liquor,True,False,inherited,2.6,1996
74,Resource Related,United States,Gates Rubber Company,aquired,USA,1911,True,8100000000000.0,male,Mining and metals,True,Charles Gates Jr,381,North America,relation,tires,True,False,inherited,1.1,1996
60,Resource Related,United States,Koch industries,new,USA,1940,True,8100000000000.0,male,Energy,True,Charles Koch,202,North America,relation,  Oil refining,True,False,inherited,2.0,1996
58,Financial,United States,Charles Schwab Corporation,new,USA,1971,True,8100000000000.0,male,Money Management,True,Charles Schwab,377,North America,founder,brokerage/banking,True,False,self-made finance,1.1,1996
35,Traded Sectors,United States,Campbell Soup,aquired,USA,1869,True,8100000000000.0,female,Consumer,True,Charlotte Colket Weber,369,North America,relation,soup,True,False,inherited,1.1,1996
-1,Financial,Thailand,Bangkok Bank,new,THA,1944,True,182000000000.0,male,Money Management,True,Chatri Sophonpanich,92,East Asia,relation,banking,True,False,inherited,3.1,1996
73,Financial,Hong Kong,Nan Fung Textiles,new,HKG,1954,True,160000000000.0,male,Real Estate,True,Chen Din Hwa,304,East Asia,founder,cotton yarn,True,False,self-made finance,1.3,1996
70,Financial,Hong Kong,Chow Tai Fook Enterprises,new,HKG,1929,True,160000000000.0,male,Real Estate,True,Cheng Yu-tung,24,East Asia,relation,real estate,True,False,inherited,5.5,1996
-1,Financial,South Korea,SK Group,aquired,KOR,1953,True,603000000000.0,male,Diversified financial,True,Chey Jong-hyon,110,East Asia,founder,textiles,True,False,self-made finance,2.8,1996
-1,Financial,South Korea,Hyundai Group,new,KOR,1946,True,603000000000.0,male,Diversified financial,True,Chung Ju-yung,20,East Asia,founder,cars,True,False,self-made finance,5.9,1996
-1,Financial,Indonesia,Ciputra Development,new,IDN,1961,True,227000000000.0,male,Real Estate,True,Ciputra,152,East Asia,founder,real estate,True,False,self-made finance,2.3,1996
-1,Non-Traded Sectors,Germany,Sirosa,,DEU,0,True,2500000000000.0,,"Retail, Restaurant",True,Conle famle,328,Europe,,real estate,True,False,,1.2,1996
46,Non-Traded Sectors,United States,McCaw Cellular,new,USA,1987,True,8100000000000.0,male,Media,True,Craig McCaw,317,North America,founder,cell phones,True,False,founder non-finance,1.3,1996
69,New Sectors,Germany,BASF/Boehringer Mannheim/DePuy,new,DEU,1865,True,2500000000000.0,male,Technology-Medical,True,Curt Engelhorn,68,Europe,relation,pharmaceuticals,True,False,inherited,3.6,1996
-1,Non-Traded Sectors,United States,Carlson,new,USA,1938,True,8100000000000.0,male,"Retail, Restaurant",True,Curtis LeRoy Carlson,376,North America,founder,hospitality,True,False,founder non-finance,1.1,1996
24,Financial,United States,Ziff Davis Inc,new,USA,1927,True,8100000000000.0,male,Hedge funds,True,Daniel Ziff,419,North America,relation,publishing,True,False,inherited,1.0,1996
55,New Sectors,United States,PeopleSoft,new,USA,1987,True,8100000000000.0,male,Technology-Computer,True,David Duffield,342,North America,founder,software,True,False,founder non-finance,1.2,1996
53,Non-Traded Sectors,United States,Asylum Records/Geffen Records/Dreamworks,new,USA,1970,True,8100000000000.0,male,Media,True,David Geffen,215,North America,founder,entertainment,True,False,founder non-finance,1.9,1996
55,Resource Related,United States,Koch industries,new,USA,1940,True,8100000000000.0,male,Energy,True,David Koch,203,North America,relation, Oil refining,True,False,inherited,2.0,1996
80,Resource Related,United States,Standard Oil,new,USA,1870,True,8100000000000.0,male,Energy,True,David Rockefeller,295,North America,relation,oil,True,False,inherited,1.4,1996
55,Non-Traded Sectors,United Kingdom,Sainsbury's,new,GBR,1869,True,1310000000000.0,male,"Retail, Restaurant",True,David Sainsbury,52,Europe,relation,groceries,True,False,inherited,4.1,1996
70,Non-Traded Sectors,Japan,McDonald's Japan,franchise,JPN,1971,True,4710000000000.0,male,"Retail, Restaurant",True,Den Fujita,308,East Asia,founder,restaurants,True,False,founder non-finance,1.3,1996
-1,Non-Traded Sectors,France,Carrefour,new,FRA,1960,True,1610000000000.0,male,"Retail, Restaurant",True,Denis Defforey,78,Europe,founder,groceries,True,False,founder non-finance,3.3,1996
61,Non-Traded Sectors,United States,Washington Companies,new,USA,1964,True,8100000000000.0,male,Constrution,True,Dennis Washington,337,North America,founder,construction,True,False,founder non-finance,1.2,1996
56,Traded Sectors,Thailand,Charoen Pokphand (CP Group),new,THA,1921,True,182000000000.0,male,Consumer,True,Dhanin Chearavanont,50,East Asia,relation,retail,True,False,inherited,4.2,1996
-1,Traded Sectors,India,Reliance,new,IND,1966,True,400000000000.0,male,Consumer,True,Dhirubhai Ambani,353,South Asia,founder,textiles,True,False,founder non-finance,1.1,1996
-1,Non-Traded Sectors,Germany,Schwarz Group,new,DEU,1930,True,2500000000000.0,male,"Retail, Restaurant",True,Dieter Schwarz,151,Europe,relation,groceries,True,False,inherited,2.3,1996
55,New Sectors,Germany,SAP AG,new,DEU,1972,True,2500000000000.0,male,Technology-Computer,True,Dietmar Hopp,112,Europe,founder,software,True,False,founder non-finance,2.7,1996
-1,Non-Traded Sectors,Brazil,Camargo Correa Group,new,BRA,1939,True,854000000000.0,female,Constrution,True,Dirce Navarro Camargo,186,Latin America,relation,construction,True,False,inherited,2.0,1996
31,Financial,United States,Ziff Davis Inc,new,USA,1928,True,8100000000000.0,male,Hedge funds,True,Dirk Ziff,417,North America,relation,publishing,True,False,inherited,1.0,1996
-1,Financial,Indonesia,Salim Group,new,IDN,1952,True,227000000000.0,male,Diversified financial,True,Djuhar Sutanto,192,East Asia,founder,consumer goods,True,False,self-made finance,2.0,1996
63,Financial,United States,Irvine Company,aquired,USA,1864,True,8100000000000.0,male,Real Estate,True,Donald Bren,205,North America,owner,real estate,True,False,self-made finance,2.0,1996
67,Non-Traded Sectors,United States,The Gap,new,USA,1969,True,8100000000000.0,male,"Retail, Restaurant",True,Donald Fisher,340,North America,founder,clothing ,True,False,founder non-finance,1.2,1996
67,Non-Traded Sectors,United States,Hallmark Cards,new,USA,1910,True,8100000000000.0,male,"Retail, Restaurant",True,Donald Hall,313,North America,relation,greeting cards,True,False,inherited,1.3,1996
66,Non-Traded Sectors,United States,Advance Publications,new,USA,1909,True,8100000000000.0,male,Media,True,Donald Newhouse,48,North America,relation,media,True,False,inherited,4.5,1996
65,Traded Sectors,United States,The Gap,new,USA,1969,True,8100000000000.0,female,Consumer,True,Doris Fisher,341,North America,founder,clothing ,True,False,founder non-finance,1.2,1996
-1,Traded Sectors,United States,Campbell Soup,aquired,USA,1869,True,8100000000000.0,female,Consumer,True,Dorrance Hill Hamilton,318,North America,relation,soup,True,False,inherited,1.3,1996
67,Traded Sectors,United States,Seagrams,new,USA,1857,True,8100000000000.0,male,Consumer,True,Edgar Bronfman,116,North America,relation,liquor,True,False,inherited,2.7,1996
-1,Financial,Lebanon,Banco Safra (now Saftra Group),new,LBN,1955,True,13690217121.0,male,Money Management,True,Edmond Safra,223,Middle East/North Africa,founder,banking,True,False,self-made finance,1.8,1996
65,Financial,United States,Fidelity Investments,new,USA,1946,True,8100000000000.0,male,Money Management,True,Edward Johnson,312,North America,relation,investment banking,True,False,inherited,1.3,1996
53,Financial,Japan,,,JPN,0,True,4710000000000.0,male,Real Estate,True,Eitaro Itoyama,155,East Asia,,golf courses,True,False,self-made finance,2.3,1996
-1,Financial,Indonesia,Sinar Mas Group,new,IDN,1962,True,227000000000.0,male,Diversified financial,True,Eka Tjipta Widjaja,32,East Asia,founder,banking,True,False,self-made finance,5.1,1996
62,Financial,United States,"Kaufman and Broad, SunAmerica",new/aquired,USA,1957,True,8100000000000.0,male,Money Management,True,Eli Broad,378,North America,founder,construction/insurance,True,False,self-made finance,1.1,1996
50,Traded Sectors,Chile,CMPC,new,CHL,1920,True,75800000000.0,male,Consumer,True,Eliodoro Matte,230,Latin America,relation,timber and paper,True,False,inherited,1.7,1996
28,Non-Traded Sectors,Mexico,Grupo Televisa,new,MEX,1955,True,397000000000.0,male,Media,True,Emilio Azcarraga Jean,195,Latin America,relation,media,True,False,inherited,2.0,1996
61,Financial,Spain,Grupo Santander,new,ESP,1857,True,641000000000.0,male,Money Management,True,Emilio Botin,199,Europe,relation,banking,True,False,inherited,2.0,1996
-1,Financial,Switzerland,Andre & Cie,new,CHE,1877,True,330000000000.0,male,Money Management,True,Eric Andre,407,Europe,relation,grain,True,False,inherited,1.0,1996
63,Non-Traded Sectors,Germany,Tenglemann Group,new,DEU,1867,True,2500000000000.0,male,"Retail, Restaurant",True,Erivan Haub,74,Europe,relation,retail,True,False,inherited,3.4,1996
30,New Sectors,Switzerland,Serono,new,CHE,1906,True,330000000000.0,male,Technology-Medical,True,Ernesto Bertarelli,142,Europe,relation,pharmaceuticals,True,False,inherited,2.5,1996
-1,Financial,Taiwan,Shin Kong Financial,new,Taiwan,1945,True,0.0,male,Hedge funds,True,Eugene Wu,115,East Asia,relation,finance ,True,False,inherited,2.7,1996
-1,0,Mexico,Femsa,new,MEX,1890,True,397000000000.0,male,0,True,Eugenio Garza Lagnera,361,Latin America,relation,beverages,True,False,inherited,1.1,1996
-1,Financial,Philippines,Jumex,new,PHL,1961,True,82848194406.0,male,Diversified financial,True,Eugenio Lopez,402,East Asia,owner,drinks,True,False,self-made finance,1.0,1996
-1,Non-Traded Sectors,United States,Levi Strauss & co,new,USA,1853,True,8100000000000.0,female,"Retail, Restaurant",True,Evelyn Danzig Haas,370,North America,relation,jeans,True,False,inherited,1.1,1996
67,Financial,United States,Fayez Sarofim & Co,new,USA,1958,True,8100000000000.0,male,Money Management,True,Fayez Sarofim,343,North America,relation,money management,True,False,self-made finance,1.2,1996
-1,Traded Sectors,Hong Kong,Sino Group,new,HKG,1970,True,160000000000.0,male,Consumer,True,Fong Teng,28,East Asia,relation,real estate,True,False,inherited,5.2,1996
64,Traded Sectors,United States,"Mars, Incorperated",new,USA,1911,True,8100000000000.0,male,Consumer,True,Forrest Mars Jr,103,North America,relation,candy,True,False,inherited,3.0,1996
-1,Traded Sectors,United States,"Mars, Incorperated",new,USA,1911,True,8100000000000.0,male,Consumer,True,Forrest Mars Sr,102,North America,relation,candy,True,False,inherited,3.0,1996
-1,Non-Traded Sectors,United States,Levi Strauss & co,new,USA,1853,True,8100000000000.0,female,"Retail, Restaurant",True,Frances Koshland Geballe,332,North America,relation,jeans,True,False,inherited,1.2,1996
-1,Traded Sectors,United States,Swagelok Company,new,USA,1947,True,8100000000000.0,male,Non-consumer industrial,True,Fred Lennon,415,North America,founder,manufacturing,True,False,founder non-finance,1.0,1996
-1,Traded Sectors,Germany,Freudenberg Group,new,DEU,1849,True,2500000000000.0,,Consumer,True,Freudenberg family,260,Europe,,cleaning supplies,True,False,inherited,1.5,1996
69,Financial,Germany,Friedrich Flick Industrial Holding,new,DEU,1919,True,2500000000000.0,male,Money Management,True,Friedrich Flick,45,Europe,relation,coal,True,False,inherited,4.5,1996
71,Financial,Japan,Iwasaki Sangyo Group,new,JPN,1923,True,4710000000000.0,male,Real Estate,True,Fukuzo Iwasaki,55,East Asia,relation,real estate,True,False,inherited,4.0,1996
-1,Non-Traded Sectors,Germany,,,DEU,0,True,2500000000000.0,,Media,True,Funke family,174,Europe,,,True,False,,2.1,1996
55,Non-Traded Sectors,Canada,George Weston Limited,new,CAN,1882,True,627000000000.0,male,"Retail, Restaurant",True,Galen Weston,350,North America,relation,food distribution,True,False,inherited,1.1,1996
-1,Traded Sectors,United Kingdom,George Weston Limited,new,GBR,1882,True,1310000000000.0,male,Consumer,True,Garry Weston,82,Europe,relation,,True,False,inherited,3.3,1996
51,Non-Traded Sectors,United States,Lucasfilm,new,USA,1971,True,8100000000000.0,male,Media,True,George Lucas,201,North America,founder,Star Wars,True,False,founder non-finance,2.0,1996
65,Financial,United States,Soros Fund Management,new,USA,1969,True,8100000000000.0,male,Hedge funds,True,George Soros,144,North America,founder,hedge funds,True,False,self-made finance,2.5,1996
-1,Financial,Philippines,Metropolitan Bank and Trust Company,new,PHL,1962,True,82848194406.0,male,Money Management,True,George Ty,124,East Asia,founder,banking,True,False,self-made finance,2.6,1996
-1,Financial,Hong Kong,Chyau Fwu Corp,new,HKG,1950,True,160000000000.0,male,Real Estate,True,George Wong,352,East Asia,relation,real estate,True,False,inherited,1.1,1996
44,Financial,United Kingdom,Grosvenor Group,new,GBR,1677,True,1310000000000.0,male,Real Estate,True,Gerald Cavendish Grosvenor,251,Europe,relation,real estate,True,False,inherited,1.6,1996
63,Financial,France,Louis Dreyfus Group,new,FRA,1851,True,1610000000000.0,male,Money Management,True,Gerard Louis-Dreyfus,386,Europe,relation,energy,True,False,inherited,1.0,1996
-1,Non-Traded Sectors,France,Auchan,new,FRA,1961,True,1610000000000.0,male,"Retail, Restaurant",True,Gerard Mulliez,21,Europe,founder,retail,True,False,founder non-finance,5.7,1996
-1,Traded Sectors,Italy,Fiat,new,ITA,1899,True,1310000000000.0,male,Consumer,True,Gianni Agnelli,109,Europe,relation,cars,True,False,inherited,2.8,1996
45,Resource Related,United States,Getty ,new,USA,1904,True,8100000000000.0,male,Energy,True,Gordon Getty,237,North America,relation,oil,True,False,inherited,1.7,1996
67,New Sectors,United States,Intel ,new,USA,1968,True,8100000000000.0,male,Technology-Computer,True,Gordon Moore,64,North America,founder,technology,True,False,founder non-finance,3.7,1996
-1,Financial,Japan,,,JPN,0,True,4710000000000.0,male,Real Estate,True,Goroemon Yoshimoto,132,East Asia,,,True,False,,2.5,1996
-1,Financial,Greece,Fitzwilton,,GRC,0,True,147000000000.0,,Money Management,True,Goulandris family,231,Europe,,shipping,True,False,inherited,1.7,1996
61,Traded Sectors,Argentina,Petrolera Perez Companc,new,ARG,1968,True,272000000000.0,male,Consumer,True,Gregorio Perez Companc,67,Latin America,relation,oil,True,False,inherited,3.6,1996
55,Traded Sectors,Germany,Maxingvest AG,new,DEU,1949,True,2500000000000.0,male,Consumer,True,Gunter Herz,113,Europe,relation,coffee,True,False,inherited,2.7,1996
50,Non-Traded Sectors,Venezuela,Cisneros Group,new,VEN,1929,True,68258588863.0,male,Media,True,Gustavo Cisneros,382,Latin America,relation,media,True,False,inherited,1.1,1996
58,Financial,United States,Waste Management,new,USA,1968,True,8100000000000.0,male,0,True,H Wayne Huizenga,291,North America,founder,waste management,True,False,self-made finance,1.4,1996
-1,Financial,Malaysia,Renong,,MYS,0,True,101000000000.0,male,Diversified financial,True,Halim Saad,397,East Asia,Chairman and Chief Executive Officer,,True,True,privatized and resources,1.0,1996
-1,Financial,Germany,Franz Haniel & Cie,new,DEU,1756,True,2500000000000.0,,Diversified financial,True,Haniel family,12,Europe,,,True,False,inherited,8.1,1996
-1,Traded Sectors,Sweden,Tetra Pak,new,SWE,1951,True,288000000000.0,male,Consumer,True,Hans and Gad Rausing,10,Europe,relation,food packaging,True,False,inherited,9.0,1996
56,New Sectors,Germany,SAP AG,new,DEU,1972,True,2500000000000.0,male,Technology-Computer,True,Hans-Werner Hector,300,Europe,founder,software,True,False,founder non-finance,1.3,1996
-1,Financial,United States,Helmsley hotels,aquired,USA,1938,True,8100000000000.0,male,Real Estate,True,Harry Brakemann Helmsley,239,North America,founder,real estate,True,False,self-made finance,1.7,1996
52,New Sectors,Germany,SAP AG,new,DEU,1972,True,2500000000000.0,male,Technology-Computer,True,Hasso Plattner,219,Europe,founder,software,True,False,founder non-finance,1.8,1996
76,Traded Sectors,United States,Walmart, new,USA,1962,True,8100000000000.0,female,Consumer,True,Helen Walton,40,North America,relation,retail,True,False,inherited,4.7,1996
-1,Traded Sectors,Germany,Henkel AG,new,DEU,1876,True,2500000000000.0,,Non-consumer industrial,True,Henkel family,43,Europe,,chemicals,True,False,inherited,4.6,1996
-1,Financial,Switzerland,Andre & Cie,new,CHE,1877,True,330000000000.0,male,Money Management,True,Henri Andre,406,Europe,relation,grain,True,False,inherited,1.0,1996
72,Financial,Hong Kong,Sociedade de Turismo e Divers?es de Macau,new,HKG,1962,True,160000000000.0,male,Real Estate,True,Henry Fok,131,East Asia,investor,casinos,True,False,self-made finance,2.5,1996
77,Financial,United States,Pittsburgh Coke & Chemical,new,USA,1942,True,8100000000000.0,male,Money Management,True,Henry Hillman,126,North America,relation,coal,True,False,inherited,2.6,1996
-1,New Sectors,United States,Electronic Data Systems,new,USA,1962,True,8100000000000.0,male,Technology-Computer,True,Henry Ross Perot Sr,83,North America,founder,data processing,True,False,founder non-finance,3.3,1996
71,Non-Traded Sectors,Philippines,SM Malls,new,PHL,1960,True,82848194406.0,male,"Retail, Restaurant",True,Henry Sy,197,East Asia,founder,retail,True,False,founder non-finance,2.0,1996
-1,Financial,Japan,,,JPN,0,True,4710000000000.0,male,Real Estate,True,Hiroshi Takei,309,East Asia,,,True,False,,1.3,1996
68,New Sectors,Japan,Nintendo,new,JPN,1889,True,4710000000000.0,male,Technology-Computer,True,Hiroshi Yamauchi,280,East Asia,relation,video games,True,False,inherited,1.4,1996
-1,Non-Traded Sectors,Japan,Daiwan Can,new,JPN,1950,True,4710000000000.0,male,"Retail, Restaurant",True,Hisakazu Yamaguchi,147,East Asia,relation,cans,True,False,inherited,2.4,1996
35,Traded Sectors,United States,Campbell Soup,aquired,USA,1869,True,8100000000000.0,female,Consumer,True,Hope Hill Van Beuren,368,North America,relation,soup,True,False,inherited,1.1,1996
-1,Traded Sectors,Taiwan,Chinfon Group,new,Taiwan,1903,True,0.0,male,Consumer,True,Huang Shi-hui,226,East Asia,relation,automobiles,True,False,inherited,1.8,1996
82,Non-Traded Sectors,Germany,Mann Mobilia,new,DEU,1938,True,2500000000000.0,male,"Retail, Restaurant",True,Hugo Mann,220,Europe,founder,furniture,True,False,founder non-finance,1.8,1996
