city,days away,days away/restricted/transfer,division,id,label,major_group,name,second name,state,street,total case rate,year,zip
SARASOTA,3.21,16.07,Wholesale Trade,5031,"Lumber, Plywood, Millwork, and Wood Panels",Wholesale Trade-durable Goods,Forest Products Supply Inc,,FL,5330 PINKNEY AVE,16.07,2002,34233
MIDDLEFIELD,0.0,3.17,Manufacturing,3829,"Measuring and Controlling Devices, Not Elsewhere Classified","Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",COOPER INSTRUMENT CORP,,CT,33 REEDS GAP RD,5.29,2002,6455
Bristol,0.0,0.0,Manufacturing,3493,"Steel Springs, Except Wire","Fabricated Metal Products, Except Machinery And Transportation Equipment",Arrow Manufacturing Company,,CT,16 Jeannette St,4.62,2002,6010
WINDSOR,4.83,7.25,Manufacturing,3321,Gray and Ductile Iron Foundries,Primary Metal Industries,Taylor & Fenn Company,,CT,22 DEERFIELD RD,12.09,2002,6095
West Springfield,1.9,13.32,Manufacturing,3089,"Plastics Products, Not Elsewhere Classified",Rubber And Miscellaneous Plastics Products,Plastic Packaging Corporation,,MA,1227 Uniion Street Extension,13.32,2002,1089
AUBURN,1.71,3.09,Manufacturing,2677,Envelopes,Paper And Allied Products,WORCESTER ENVELOPE COMPANY,,MA,22 MILLBURY STREET,7.21,2002,1501
Lewiston,5.78,5.78,Manufacturing,3321,Gray and Ductile Iron Foundries,Primary Metal Industries,Enterprise Foundry Inc,,ME,40 South Ave,20.25,2002,4240
CAMDEN,0.28,0.28,Manufacturing,2032,Canned Specialties,Food And Kindred Products,CAMPBELL SOUP COMPANY,CAMPBELL SOUP,NJ,CAMPBELL PL,0.42,2002,8103
STRATFORD,15.84,15.84,Manufacturing,2295,"Coated Fabrics, Not Rubberized",Textile Mill Products,Ross & Roberts Inc,,CT,1299 W BROAD ST,18.63,2002,6615
Brooklyn,5.36,5.36,Manufacturing,2087,"Flavoring Extracts and Flavoring Syrups, Not Elsewhere Classified",Food And Kindred Products,Virginia Dare Extract Company,,NY,882Third Avenue,5.36,2002,11232
WATERBURY,2.95,11.8,Manufacturing,3356,"Rolling, Drawing, and Extruding of Nonferrous Metals, Except Copper and Aluminum",Primary Metal Industries,PLATT BROTHERS & COMPANY,ELAINE ADAMS,CT,2670 S MAIN ST,18.69,2002,6706
Southbury,5.28,5.28,Manufacturing,3469,"Metal Stampings, Not Elsewhere Classified","Fabricated Metal Products, Except Machinery And Transportation Equipment",Romatic Manufacturing Company,,CT,1200 Main St S,5.28,2002,6488
WHITEFIELD,1.21,4.87,Manufacturing,2511,"Wood Household Furniture, Except Upholstered",Furniture And Fixtures,Brown Street Furniture Inc,,NH,87 BROWN ST,7.31,2002,3598
CENTRAL FALLS,0.68,4.78,Manufacturing,2241,Narrow Fabric and Other Smallware Mills,Textile Mill Products,MURDOCK WEBBING COMPANY INC,,RI,27 FOUNDRY ST,4.78,2002,2863
LINCOLN,6.59,6.59,Manufacturing,3993,Signs and Advertising Specialties,Miscellaneous Manufacturing Industries,MANDEVILLE SIGNS INC,,RI,676 GEORGE WASHINGTON HWY,8.79,2002,2865
Brooklyn,0.0,0.0,Manufacturing,2541,"Wood Office and Store Fixtures, Partitions, Shelving, and Lockers",Furniture And Fixtures,Manhattan Store Interiors Inc,,NY,17 Moultrie St,0.0,2002,11222
Asheville,3.72,8.93,Retail Trade,5211,Lumber and Other Building Materials Dealers,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers",Lowes Home Centers Inc,Lowes,NC,95 Smokey Park Hwy,13.4,2002,28806
Naugatuck,5.02,21.79,Manufacturing,3471,"Electroplating, Plating, Polishing, Anodizing, and Coloring","Fabricated Metal Products, Except Machinery And Transportation Equipment",Donham Craft Inc,,CT,35 E Waterbury Rd,23.47,2002,6770
Thomaston,0.0,15.5,Manufacturing,3469,"Metal Stampings, Not Elsewhere Classified","Fabricated Metal Products, Except Machinery And Transportation Equipment",Metallon Inc,,CT,1415 Waterbury Rd,25.84,2002,6787
STRATFORD,2.22,2.22,Manufacturing,3599,"Industrial and Commercial Machinery and Equipment, Not Elsewhere Classified",Industrial And Commercial Machinery And Computer Equipment,Frank Roth Co Inc,,CT,1795 STRATFORD AVE,2.22,2002,6615
WEST NYACK,0.65,0.65,Manufacturing,3562,Ball and Roller Bearings,Industrial And Commercial Machinery And Computer Equipment,GENERAL BEARING CORPORATION,,NY,44 HIGH ST,4.61,2002,10994
BLOOMFIELD,2.07,3.68,Manufacturing,3714,Motor Vehicle Parts and Accessories,Transportation Equipment,JACOBS VEHICLE SYSTEMS INC,JAKE BRAKE,CT,22 E DUDLEY TOWN RD,6.44,2002,6002
MOONACHIE,0.0,1.5,Manufacturing,2679,"Converted Paper and Paperboard Products, Not Elsewhere Classified",Paper And Allied Products,Heller & Usdan Inc,Empire Twine Division,NJ,7 CAESAR PL,3.0,2002,7074
ENGLEWOOD,5.16,5.16,Wholesale Trade,5051,Metals Service Centers and Offices,Wholesale Trade-durable Goods,FISHER BROS STEEL CORP,,NJ,502 NORDHOFF PL,8.6,2002,7631
Brooklyn,0.0,0.0,Manufacturing,2051,"Bread and Other Bakery Products, Except Cookies and Crackers",Food And Kindred Products,Damascus Bakery Inc,,NY,56 Gold St,0.0,2002,11201
Staten Island,0.0,0.0,Manufacturing,3731,Ship Building and Repairing,Transportation Equipment,Reynolds Shipyard Corp,,NY,200 Edgewater St,0.0,2002,10305
SANTA MONICA,3.06,3.06,Manufacturing,2298,Cordage and Twine,Textile Mill Products,ARROYO OPTICS INC,,CA,3330 OCEAN PARK BLVD,6.12,2002,90405
DES PLAINES,0.0,0.0,Manufacturing,3495,Wire Springs,"Fabricated Metal Products, Except Machinery And Transportation Equipment",OHARE SPRING CO INC,,IL,2190 OXFORD RD,5.84,2002,60018
SOUTH WINDSOR,3.13,6.88,Manufacturing,2421,"Sawmills and Planing Mills, General","Lumber And Wood Products, Except Furniture",REX LUMBER COMPANY,,CT,489 SULLIVAN AVE,9.39,2002,6074
Jackson,5.09,11.45,"Transportation, Communications, Electric, Gas, And Sanitary Services",4213,"Trucking, Except Local",Motor Freight Transportation And Warehousing,Collins Industries Inc,,GA,527 Alabama Blvd,11.45,2002,30233
ALSIP,0.0,0.0,Manufacturing,3411,Metal Cans,"Fabricated Metal Products, Except Machinery And Transportation Equipment",CROWN CORK & SEAL COMPANY INC,CROWN CORK & SEAL,IL,5555 W 115TH ST,4.37,2002,60803
FAIRFIELD,2.02,2.02,Manufacturing,2522,"Office Furniture, Except Wood",Furniture And Fixtures,Hamilton Sorter Co Inc,,OH,3158 PRODUCTION DR,6.06,2002,45014
THOMPSONTOWN,2.22,11.33,Manufacturing,2599,"Furniture and Fixtures, Not Elsewhere Classified",Furniture And Fixtures,Armstrong Wood Products Inc,,PA,OLD ROUTE 22,14.97,2002,17094
WAUKESHA,0.0,0.0,Manufacturing,3272,"Concrete Products, Except Block and Brick","Stone, Clay, Glass, And Concrete Products",SPANCRETE INDUSTRIES INC,,WI,N16W23415 STONE RIDGE DR,0.0,2002,53188
LANNON,3.22,3.22,Manufacturing,3443,Fabricated Plate Work (Boiler Shops),"Fabricated Metal Products, Except Machinery And Transportation Equipment",ALLISTER FABRICATING INC,,WI,21319 W GOOD HOPE RD,3.22,2002,53046
EMPORIUM,1.23,6.17,Manufacturing,2426,Hardwood Dimension and Flooring Mills,"Lumber And Wood Products, Except Furniture",LEWIS & HOCKENBERRY INC,,PA,RICHVALLEY RD,11.11,2002,15834
KENILWORTH,2.4,2.4,Manufacturing,3544,"Special Dies and Tools, Die Sets, Jigs and Fixtures, and Industrial Molds",Industrial And Commercial Machinery And Computer Equipment,NATIONAL TOOL & MFG CO,,NJ,100 N 12TH ST 124,4.81,2002,7033
STAMFORD,0.0,1.89,Manufacturing,2511,"Wood Household Furniture, Except Upholstered",Furniture And Fixtures,CATSKILL CRAFTSMEN INC,,NY,15 W END AVE,1.89,2002,12167
Green Island,0.0,3.2,Manufacturing,3714,Motor Vehicle Parts and Accessories,Transportation Equipment,Honeywell International Inc,Honeywell,NY,3 Tibbits Ave,5.34,2002,12183
Springfield,7.19,21.9,Wholesale Trade,5141,"Groceries, General Line",Wholesale Trade-non-durable Goods,Bunn Capitol Company,Capitol City Paper Div,IL,1212 Stevenson Dr,30.35,2002,62703
LANCASTER,1.76,7.05,Manufacturing,2033,"Canned Fruits, Vegetables, Preserves, Jams, and Jellies",Food And Kindred Products,HENRY & HENRY INC,,NY,3765 WALDEN AVE,10.57,2002,14086
HAUPPAUGE,0.0,0.0,Manufacturing,3545,"Cutting Tools, Machine Tool Accessories, and Machinists' Precision Measuring Devices",Industrial And Commercial Machinery And Computer Equipment,CURRAN MANUFACTURING CORP,ROYAL PRODUCTS,NY,200 OSER AVE,0.0,2002,11788
West Rutland,0.0,0.0,Manufacturing,2514,Metal Household Furniture,Furniture And Fixtures,Vermont Juvenile Furn Mfg Co,,VT,Sheldon Ave,0.0,2002,5777
Medford,1.3,1.3,Wholesale Trade,5149,"Groceries and Related Products, Not Elsewhere Classified",Wholesale Trade-non-durable Goods,Haddon House Food Products,,NJ,250 Old Marlton Pike,1.95,2002,8055
Cranbury,0.0,0.0,Manufacturing,3052,Rubber and Plastics Hose and Belting,Rubber And Miscellaneous Plastics Products,Consolidated Models Inc,C M I Plastics,NJ,2682 US Highway 130,0.0,2002,8512
Pequannock,2.96,2.96,Manufacturing,3089,"Plastics Products, Not Elsewhere Classified",Rubber And Miscellaneous Plastics Products,Bel-Art Products Inc,,NJ,6 Industrial Rd,2.96,2002,7440
Jersey City,5.89,5.89,Manufacturing,2052,Cookies and Crackers,Food And Kindred Products,Manischewitz B Company LLC,Horowitz,NJ,1 Manischewitz Plz,11.78,2002,7302
ROCHESTER,6.0,6.0,Manufacturing,3451,Screw Machine Products,"Fabricated Metal Products, Except Machinery And Transportation Equipment",A J HUGHES SCREW PRODUCTS CO,,NY,670 TRABOLD RD,24.03,2002,14624
Hillside,2.75,2.75,Manufacturing,3089,"Plastics Products, Not Elsewhere Classified",Rubber And Miscellaneous Plastics Products,Plastic Extruded Products Co,Pepco,NJ,1430 Chestnut Ave,4.58,2002,7205
Rockaway,0.0,0.0,Manufacturing,3443,Fabricated Plate Work (Boiler Shops),"Fabricated Metal Products, Except Machinery And Transportation Equipment",Tolan Machinery Co Inc,,NJ,164 Franklin Ave,0.0,2002,7866
Eatontown,0.0,0.0,Manufacturing,3448,Prefabricated Metal Buildings and Components,"Fabricated Metal Products, Except Machinery And Transportation Equipment",X S Smith Inc,,NJ,Old Deal Rd,0.0,2002,7724
FLORHAM PARK,6.39,8.52,Manufacturing,3494,"Valves and Pipe Fittings, Not Elsewhere Classified","Fabricated Metal Products, Except Machinery And Transportation Equipment",Strahman Valves Inc,,NJ,3 VREELAND RD,10.65,2002,7932
PATERSON,0.0,0.0,Manufacturing,2851,"Paints, Varnishes, Lacquers, Enamels, and Allied Products",Chemicals And Allied Products,ULTRA ADDITIVES INC,,NJ,460 STRAIGHT ST,0.0,2002,7501
CHARLOTTE,2.71,3.79,Manufacturing,3354,Aluminum Extruded Products,Primary Metal Industries,LINN PRODUCTS INC,,MI,1200 LIPSEY DR,4.87,2002,48813
HACKENSACK,2.73,3.45,Manufacturing,2711,Newspapers,"Printing, Publishing, And Allied Industries",NORTH JERSEY MEDIA GROUP INC,THE RECORD,NJ,150 RIVER ST,3.45,2002,7601
EDISON,3.68,3.68,Manufacturing,3411,Metal Cans,"Fabricated Metal Products, Except Machinery And Transportation Equipment",SILGAN CONTAINERS CORPORATION,SILGAN,NJ,135 NATIONAL RD,11.06,2002,8817
PHILADELPHIA,0.0,0.0,Manufacturing,2353,"Hats, Caps, and Millinery",Apparel And Other Finished Products Made From Fabrics And Similar Materials,KEYSTONE UNIFORM CAP LP,,PA,801 N FRONT ST,0.0,2002,19123
MOUNT EPHRAIM,4.25,21.27,Manufacturing,3089,"Plastics Products, Not Elsewhere Classified",Rubber And Miscellaneous Plastics Products,Alliance Vinyl Window Company,,NJ,301 CRESCENT BLVD,27.65,2002,8059
PHILADELPHIA,2.05,2.05,Manufacturing,3544,"Special Dies and Tools, Die Sets, Jigs and Fixtures, and Industrial Molds",Industrial And Commercial Machinery And Computer Equipment,C A SPALDING COMPANY,,PA,2251 E TIOGA ST,20.53,2002,19134
ROCHESTER,2.92,2.92,Manufacturing,2329,"Men's and Boys' Clothing, Not Elsewhere Classified",Apparel And Other Finished Products Made From Fabrics And Similar Materials,Alleson of Rochester Inc,Don Alleson Athletic,NY,2921 BRIGHTN HEN TW LN RD,4.39,2002,14623
NEW CASTLE,1.65,3.31,Wholesale Trade,5031,"Lumber, Plywood, Millwork, and Wood Panels",Wholesale Trade-durable Goods,William M Young Company,Young Lumber,DE,19 DAVIDSON LN,6.63,2002,19720
New Kingstown,3.37,3.37,"Transportation, Communications, Electric, Gas, And Sanitary Services",4213,"Trucking, Except Local",Motor Freight Transportation And Warehousing,Shaffer Trucking Inc,,PA,49 E Main St,8.17,2002,17072
Memphis,2.75,22.02,Manufacturing,3993,Signs and Advertising Specialties,Miscellaneous Manufacturing Industries,Aubrey Ellis,Rising Signs,TN,"2756 Appling Center Cv, Suite 101",24.77,2002,38133
Vineland,10.2,12.76,Manufacturing,3272,"Concrete Products, Except Block and Brick","Stone, Clay, Glass, And Concrete Products",J F Gillespie Inc,,NJ,2547 Brunetta Dr,25.52,2002,8360
CULLMAN,2.26,8.32,Manufacturing,2672,"Coated and Laminated Paper, Not Elsewhere Classified",Paper And Allied Products,LOPAREX INC,DAUBERT COATED PRODUCTS,AL,1828 BURGUNDY LN NW,8.32,2002,35055
JACKSONVILLE,4.9,20.11,Manufacturing,3731,Ship Building and Repairing,Transportation Equipment,ATLANTIC MARINE INC,,FL,8500 HECKSCHER DR,29.44,2002,32226
Omaha,1.82,1.82,Wholesale Trade,5182,Wine and Distilled Alcoholic Beverages,Wholesale Trade-non-durable Goods,G-J Inc,Sterling Distributing,NE,4433 S 96th St,3.64,2002,68127
Saint Paul,2.75,2.75,"Transportation, Communications, Electric, Gas, And Sanitary Services",4212,Local Trucking Without Storage,Motor Freight Transportation And Warehousing,Pioneer Press Inc,Twin Cities Newspaper Service,MN,220 Fillmore Ave E,16.53,2002,55107
EPHRATA,4.05,6.94,Manufacturing,2099,"Food Preparations, Not Elsewhere Classified",Food And Kindred Products,Spring Glen Fresh Foods Inc,,PA,314 SPRING GLEN DR,9.26,2002,17522
Shippensburg,1.32,2.65,Manufacturing,2679,"Converted Paper and Paperboard Products, Not Elsewhere Classified",Paper And Allied Products,Beistle Company,,PA,1 BEISTLE PLAZA,6.64,2002,17257
HARRISBURG,0.78,6.57,Wholesale Trade,5141,"Groceries, General Line",Wholesale Trade-non-durable Goods,SUPER RITE FOODS INC,RICHFOOD OF PENNSYLVANIA,PA,3900 INDUSTRIAL RD,7.67,2002,17110
Summit,0.0,0.0,Wholesale Trade,5051,Metals Service Centers and Offices,Wholesale Trade-durable Goods,Nicholas J Bouras Inc,,NJ,25 Deforest Ave,0.0,2002,7901
PISCATAWAY,4.98,9.56,Wholesale Trade,5149,"Groceries and Related Products, Not Elsewhere Classified",Wholesale Trade-non-durable Goods,Roma Food Enterprises Inc,,NJ,45 STANFORD RD,10.8,2002,8854
PORT WASHINGTON,2.48,2.48,Manufacturing,3552,Textile Machinery,Industrial And Commercial Machinery And Computer Equipment,FAB-CON MACHINERY DEVELOPMENT,,NY,75 CHANNEL DR,7.46,2002,11050
WICHITA FALLS,7.22,8.19,Manufacturing,3443,Fabricated Plate Work (Boiler Shops),"Fabricated Metal Products, Except Machinery And Transportation Equipment",TRANTER PHE INC,WATTS CO THE,TX,1900 OLD BURK HWY,12.53,2002,76306
Greencastle,1.11,2.22,"Transportation, Communications, Electric, Gas, And Sanitary Services",4225,General Warehousing and Storage,Motor Freight Transportation And Warehousing,WORLD KITCHENS,,PA,1200 S Antrim Way,4.45,2002,17225
LENOIR,1.5,1.5,Manufacturing,2512,"Wood Household Furniture, Upholstered",Furniture And Fixtures,FAIRFIELD CHAIR COMPANY,,NC,1331 HARPER AVE SW,4.01,2002,28645
SCRANTON,15.92,20.82,Manufacturing,2851,"Paints, Varnishes, Lacquers, Enamels, and Allied Products",Chemicals And Allied Products,UNITED GILSONITE LABORATORIES,UGL,PA,1396 JEFFERSON AVE,24.49,2002,18509
MARTINSBURG,5.72,8.01,Manufacturing,3411,Metal Cans,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Sexton Can Company Inc,,WV,162 ROYAL CREST DRIVE,9.15,2002,25401
Madison,1.67,5.03,Manufacturing,3251,Brick and Structural Clay Tile,"Stone, Clay, Glass, And Concrete Products",Pine Hall Brick Co Inc,,NC,634 Lindsey Bridge Rd,7.38,2002,27025
GREENSBORO,0.0,1.7,Manufacturing,2087,"Flavoring Extracts and Flavoring Syrups, Not Elsewhere Classified",Food And Kindred Products,"Mother Murphys Laboratories, Inc.",,NC,2826 S ELM EUGENE ST,6.8,2002,27406
ROCKY MOUNT,0.0,0.0,Manufacturing,2298,Cordage and Twine,Textile Mill Products,ROCKY MOUNT CORD COMPANY,,NC,381 N GRACE ST,0.0,2002,27804
CHARLOTTESVILLE,5.08,8.13,Manufacturing,3271,Concrete Block and Brick,"Stone, Clay, Glass, And Concrete Products",ALLIED CONCRETE COMPANY,,VA,1000 HARRIS ST,8.13,2002,22903
MAXTON,0.0,0.0,Manufacturing,2435,Hardwood Veneer and Plywood,"Lumber And Wood Products, Except Furniture",HASTY PLYWOOD CO,,NC,100 AUSTIN ST,2.93,2002,28364
Goldsboro,0.98,2.96,Manufacturing,2711,Newspapers,"Printing, Publishing, And Allied Industries",Wayne Printing Company Inc,Goldsboro News-Argus,NC,310 N Berkeley Blvd,2.96,2002,27534
Roanoke,1.29,1.29,Manufacturing,2752,"Commercial Printing, Lithographic","Printing, Publishing, And Allied Industries",Progress Press Inc,,VA,2922 Nicholas Ave Ne,5.16,2002,24012
ACWORTH,3.84,3.84,Manufacturing,3272,"Concrete Products, Except Block and Brick","Stone, Clay, Glass, And Concrete Products",MC ARTHUR CONCRETE PRODUCTS,,GA,3000 NEW MCEVER RD NW,13.45,2002,30101
CATAWBA,5.24,5.24,Manufacturing,3272,"Concrete Products, Except Block and Brick","Stone, Clay, Glass, And Concrete Products",SETZER SMITH & SONS INC,,NC,4708 NC HIGHWAY 10 E,10.48,2002,28609
CLINTON,4.17,9.96,Manufacturing,2013,Sausages and Other Prepared Meat Products,Food And Kindred Products,BAR-S FOODS CO,,OK,200 LOCUST AVE,11.82,2002,73601
MONCURE,0.0,7.95,Manufacturing,3251,Brick and Structural Clay Tile,"Stone, Clay, Glass, And Concrete Products",GENERAL SHALE PRODUCTS LLC,CHEROKEE SANFORD,NC,300 BRICK PLANT RD,17.35,2002,27559
Winston Salem,2.32,3.48,Manufacturing,2051,"Bread and Other Bakery Products, Except Cookies and Crackers",Food And Kindred Products,Royal Cake Company Inc,,NC,315 Cassell St,6.96,2002,27107
Detroit,2.74,4.11,Services,8051,Skilled Nursing Care Facilities,Health Services,Scci Health Services Inc,Scci of Detroit Hpsiscci,MI,15000 Gratiot Ave Ste 170,6.85,2002,48205
Salisbury,0.0,0.0,Manufacturing,2431,Millwork,"Lumber And Wood Products, Except Furniture",Salisbury Lumber & Supply Co,SALISBURY MILLWORK,NC,1905 S Railroad St,0.0,2002,28144
Washington,0.0,10.54,Wholesale Trade,5181,Beer and Ale,Wholesale Trade-non-durable Goods,Premium Distrs Wash DC LLC,Premium Distributors Wash DC,DC,3500 Fort Lincoln Dr Ne,22.05,2002,20018
Rome,1.42,6.41,Manufacturing,3354,Aluminum Extruded Products,Primary Metal Industries,Profile Extrusion Company,,GA,Anderson Rd,7.13,2002,30161
GARNER,0.0,1.0,"Transportation, Communications, Electric, Gas, And Sanitary Services",4225,General Warehousing and Storage,Motor Freight Transportation And Warehousing,DOMINOS PIZZA LLC,DOMINOS COMMISSARY NC,NC,3100 WATERFIELD DR,1.0,2002,27529
Troy,0.1,0.54,Manufacturing,3714,Motor Vehicle Parts and Accessories,Transportation Equipment,"ARVINMERITOR, INC",MICHAEL T. GROH,MI,2135 W Maple Rd,0.65,2002,48084
OPELIKA,0.0,0.0,Manufacturing,3272,"Concrete Products, Except Block and Brick","Stone, Clay, Glass, And Concrete Products",CASTONE CORPORATION,,AL,1511 OLD COLUMBUS RD,3.35,2002,36804
NASHVILLE,0.0,3.33,Manufacturing,2064,Candy and Other Confectionery Products,Food And Kindred Products,Standard Candy Company Inc,,TN,715 MASSMAN DR,6.66,2002,37210
HARTWELL,0.69,4.74,Manufacturing,3714,Motor Vehicle Parts and Accessories,Transportation Equipment,TENNECO AUTOMOTIVE OPER CO,Monroe Auto Equipment Co,GA,200 MCINTYRE DR,6.83,2002,30643
ONEIDA,0.75,0.9,Manufacturing,2426,Hardwood Dimension and Flooring Mills,"Lumber And Wood Products, Except Furniture",HARTCO INC,,TN,565 HARTCO DR,3.17,2002,37841
Oak Ridge,1.64,1.64,Manufacturing,3599,"Industrial and Commercial Machinery and Equipment, Not Elsewhere Classified",Industrial And Commercial Machinery And Computer Equipment,Oak Ridge Tool Engineering,,TN,777 Emory Valley Rd,13.15,2002,37830
KNOXVILLE,8.27,11.03,"Agriculture, Forestry, And Fishing",783,Ornamental Shrub and Tree Services,Agricultural Services,Wolf Tree Experts Incorporated,,TN,3310 GREENWAY DR,17.7,2002,37918
EAGLE BRIDGE,5.71,5.71,Manufacturing,3599,"Industrial and Commercial Machinery and Equipment, Not Elsewhere Classified",Industrial And Commercial Machinery And Computer Equipment,EAGLE BRIDGE MACHINE & TOOL,,NY,RR 67,25.71,2002,12057
Tampa,0.0,0.0,Wholesale Trade,5141,"Groceries, General Line",Wholesale Trade-non-durable Goods,Sig Logistics Inc,,FL,9110 King Palm Dr Ste 104,0.0,2002,33619
SALT LAKE CITY,1.96,13.38,Manufacturing,2434,Wood Kitchen Cabinets,"Lumber And Wood Products, Except Furniture",KARMAN KITCHENS INC,KITCHEN CENTERS THE,UT,6000 STRATLER ST,17.32,2002,84107
FORT LAUDERDALE,0.0,0.0,Manufacturing,3365,Aluminum Foundries,Primary Metal Industries,BROWARD CASTING FOUNDRY INC,GATTO FURNITURE,FL,2240 SW 34TH ST,16.48,2002,33312
Dallas,0.0,0.0,Wholesale Trade,5149,"Groceries and Related Products, Not Elsewhere Classified",Wholesale Trade-non-durable Goods,Scobee Foods Inc,,TX,1812 Corinth St,0.0,2002,75215
Cortland,10.01,22.03,Manufacturing,2542,"Office and Store Fixtures, Partitions, Shelving, and Lockers, Except Wood",Furniture And Fixtures,M & M Manufacturing Co,,OH,1000 Fowler St,32.05,2002,44410
LARGO,3.31,4.41,Manufacturing,3469,"Metal Stampings, Not Elsewhere Classified","Fabricated Metal Products, Except Machinery And Transportation Equipment",UPS STRUCTURAL CONNECTORS,,FL,11910 62ND ST,7.72,2002,33773
PRATTVILLE,2.17,2.17,Manufacturing,3999,"Manufacturing Industries, Not Elsewhere Classified",Miscellaneous Manufacturing Industries,Pearson Industries Inc,,AL,811 COUNTY ROAD 4 E,4.34,2002,36067
COLUMBUS,1.0,3.01,Manufacturing,3251,Brick and Structural Clay Tile,"Stone, Clay, Glass, And Concrete Products",COLUMBUS BRICK CO INC,,MS,114 BRICKYARD RD,7.03,2002,39701
ORLANDO,6.05,6.05,Manufacturing,3271,Concrete Block and Brick,"Stone, Clay, Glass, And Concrete Products",A-1 Block Corporation,,FL,1617 S DIVISION AVE,21.2,2002,32805
Akron,1.31,1.97,Manufacturing,3469,"Metal Stampings, Not Elsewhere Classified","Fabricated Metal Products, Except Machinery And Transportation Equipment",Illinois Tool Works Inc,Akron Standard Div,OH,1624 Englewood Ave,4.61,2002,44305
WYANDOTTE,3.94,10.5,Manufacturing,3471,"Electroplating, Plating, Polishing, Anodizing, and Coloring","Fabricated Metal Products, Except Machinery And Transportation Equipment",CADON PLATING COMPANY,,MI,3715 11TH ST,18.38,2002,48192
CHARLOTTE,3.93,3.93,"Transportation, Communications, Electric, Gas, And Sanitary Services",4213,"Trucking, Except Local",Motor Freight Transportation And Warehousing,DIXIE TRUCKING COMPANY INC,,NC,3606 N GRAHAM ST,8.86,2002,28206
LA GRANGE,0.39,1.58,Manufacturing,3211,Flat Glass,"Stone, Clay, Glass, And Concrete Products",TRU VUE INC,,IL,9400 W 55TH ST,3.56,2002,60525
Saint Helena,1.73,6.94,Retail Trade,5211,Lumber and Other Building Materials Dealers,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers",Central Valley Builders Supply,,CA,1100 Vintage Ave,12.15,2002,94574
FARMINGTON,1.33,14.71,Manufacturing,3089,"Plastics Products, Not Elsewhere Classified",Rubber And Miscellaneous Plastics Products,WEATHER KING WINDOWS AND DOORS,WILLIAM KING,MI,20775 CHESLEY DR,16.05,2002,48336
Hagerstown,2.25,10.13,Services,8051,Skilled Nursing Care Facilities,Health Services,Diakon Lthran Scial Ministries,Ravenwood Lutheran Village,MD,1183 Luther Dr,10.13,2002,21740
MC CONNELSVILLE,2.67,2.67,Manufacturing,3497,Metal Foil and Leaf,"Fabricated Metal Products, Except Machinery And Transportation Equipment",GOULD ELECTRONICS INC,GOULD ELECTRONICS,OH,5045 N STATE ROUTE 60 NW,6.23,2002,43756
Fargo,12.12,19.39,"Transportation, Communications, Electric, Gas, And Sanitary Services",4213,"Trucking, Except Local",Motor Freight Transportation And Warehousing,Lewis Truck Lines Inc,,ND,4001 12th Ave N,21.81,2002,58102
