Avg Temp,Avg Wind,City,Code,Day,Full,High Gust,High Wind,Location,Max Temp,Min Temp,Month,Precipitation,State,Year
42.0,15.0,Baltimore/Washington,DCA,10,04-10-2016,41.0,35.0,"Baltimore/Washington, VA",50.0,34.0,4,0.17,Virginia,2016
56.0,8.0,Grand Junction,DEN,10,04-10-2016,40.0,32.0,"Grand Junction, CO",72.0,39.0,4,0.86,Colorado,2016
56.0,8.0,Grand Junction,DEN,10,04-10-2016,40.0,32.0,"Grand Junction, CO",72.0,39.0,4,0.86,Colorado,2016
63.0,8.0,Fort Worth/Dallas,DFW,10,04-10-2016,30.0,26.0,"Fort Worth/Dallas, TX",71.0,55.0,4,0.04,Texas,2016
58.0,19.0,Dodge City,DGC,10,04-10-2016,46.0,35.0,"Dodge City, KS",75.0,41.0,4,0.0,Kansas,2016
38.0,12.0,Des Moines,DSM,10,04-10-2016,31.0,25.0,"Des Moines, IA",51.0,25.0,4,0.0,Iowa,2016
31.0,11.0,Detroit/Pontiac,DTW,10,04-10-2016,29.0,23.0,"Detroit/Pontiac, MI",36.0,26.0,4,0.01,Michigan,2016
67.0,7.0,El Paso,ELP,10,04-10-2016,25.0,21.0,"El Paso, TX",81.0,53.0,4,0.0,Texas,2016
32.0,12.112903225806452,Grand Forks,FGF,10,04-10-2016,28.370967741935484,22.2741935483871,"Grand Forks, ND",47.0,16.0,4,0.0,North Dakota,2016
32.0,4.129032258064516,Grand Forks,FGF,10,04-10-2016,16.2741935483871,12.225806451612904,"Grand Forks, ND",47.0,16.0,4,0.0,North Dakota,2016
36.0,16.0,Sioux Falls,FSD,10,04-10-2016,42.0,33.0,"Sioux Falls, SD",53.0,19.0,4,0.0,South Dakota,2016
36.0,16.0,Sioux Falls,FSD,10,04-10-2016,42.0,33.0,"Sioux Falls, SD",53.0,19.0,4,0.0,South Dakota,2016
36.0,16.0,Sioux Falls,FSD,10,04-10-2016,42.0,33.0,"Sioux Falls, SD",53.0,19.0,4,0.0,South Dakota,2016
31.0,11.0,Northern Indiana,FWA,10,04-10-2016,37.0,28.0,"Northern Indiana, IN",37.0,25.0,4,0.03,Indiana,2016
54.0,5.0,Salt Lake City,GJT,10,04-10-2016,33.0,25.0,"Salt Lake City, UT",62.0,46.0,4,0.27,Utah,2016
63.0,6.0,Jacksonville,GNV,10,04-10-2016,26.0,17.0,"Jacksonville, FL",75.0,50.0,4,0.0,Florida,2016
54.0,8.0,Missoula,GPI,10,04-10-2016,35.0,25.0,"Missoula, MT",76.0,32.0,4,0.0,Montana,2016
29.0,9.0,Grand Rapids,GRR,10,04-10-2016,24.0,20.0,"Grand Rapids, MI",36.0,21.0,4,0.01,Michigan,2016
66.0,7.0,Houston/Galveston,HOU,10,04-10-2016,32.0,24.0,"Houston/Galveston, TX",78.0,54.0,4,2.68,Texas,2016
53.0,14.0,Newport/Morehead City,HSE,10,04-10-2016,42.0,28.0,"Newport/Morehead City, NC",61.0,44.0,4,0.0,North Carolina,2016
50.0,6.0,Huntsville,HSV,10,04-10-2016,23.0,17.0,"Huntsville, AL",60.0,40.0,4,0.0,Alabama,2016
56.0,14.0,Wilmington,ILM,10,04-10-2016,43.0,33.0,"Wilmington, NC",68.0,44.0,4,0.0,North Carolina,2016
34.0,12.0,Indianapolis,IND,10,04-10-2016,35.0,25.0,"Indianapolis, IN",41.0,27.0,4,1.26,Indiana,2016
19.0,9.0,Minneapolis/Twin Cities,INL,10,04-10-2016,32.0,24.0,"Minneapolis/Twin Cities, MN",32.0,6.0,4,0.33,Minnesota,2016
19.0,9.0,Minneapolis/Twin Cities,INL,10,04-10-2016,32.0,24.0,"Minneapolis/Twin Cities, MN",32.0,6.0,4,0.33,Minnesota,2016
59.0,3.0,Jackson,JAN,10,04-10-2016,14.0,10.0,"Jackson, MS",77.0,41.0,4,0.0,Mississippi,2016
62.0,8.0,Tampa,JAX,10,04-10-2016,33.0,21.0,"Tampa, FL",75.0,48.0,4,0.0,Florida,2016
37.0,8.0,Charleston,JKL,10,04-10-2016,28.0,20.0,"Charleston, WV",44.0,30.0,4,0.01,West Virginia,2016
62.0,14.0,Lubbock,LBB,10,04-10-2016,32.0,25.0,"Lubbock, TX",76.0,47.0,4,0.12,Texas,2016
50.0,11.0,Cheyenne,LBF,10,04-10-2016,30.0,23.0,"Cheyenne, WY",74.0,26.0,4,0.0,Wyoming,2016
64.0,6.0,Lake Charles,LCH,10,04-10-2016,22.0,20.0,"Lake Charles, LA",78.0,50.0,4,0.0,Louisiana,2016
56.0,7.0,North Little Rock,LIT,10,04-10-2016,22.0,16.0,"North Little Rock, AR",67.0,44.0,4,0.06,Arkansas,2016
31.0,12.0,Davenport/Quad Cities,LOT,10,04-10-2016,39.0,25.0,"Davenport/Quad Cities, IA",40.0,22.0,4,1.09,Iowa,2016
38.0,9.0,Jackson,LOZ,10,04-10-2016,28.0,21.0,"Jackson, KY",45.0,31.0,4,0.0,Kentucky,2016
57.0,5.055555555555555,Shreveport,LZK,10,04-10-2016,16.22222222222222,11.833333333333332,"Shreveport, LA",65.0,49.0,4,0.04,Louisiana,2016
67.0,9.0,Midland/Odessa,MAF,10,04-10-2016,23.0,18.0,"Midland/Odessa, TX",80.0,54.0,4,0.46,Texas,2016
46.0,14.0,Kansas City/Pleasant Hill,MCI,10,04-10-2016,30.0,24.0,"Kansas City/Pleasant Hill, MO",61.0,31.0,4,0.0,Missouri,2016
38.0,9.0,State College,MDT,10,04-10-2016,28.0,22.0,"State College, PA",43.0,32.0,4,0.23,Pennsylvania,2016
55.0,6.0,Memphis,MEM,10,04-10-2016,23.0,18.0,"Memphis, TN",64.0,46.0,4,0.0,Tennessee,2016
74.0,7.0,Miami,MIA,10,04-10-2016,23.0,17.0,"Miami, FL",81.0,67.0,4,0.0,Florida,2016
59.0,3.0,Mobile/Pensacola,MOB,10,04-10-2016,18.0,15.0,"Mobile/Pensacola, AL",78.0,40.0,4,0.0,Alabama,2016
21.0,5.112903225806452,Green Bay,MQT,10,04-10-2016,22.0,14.193548387096774,"Green Bay, WI",28.0,14.0,4,0.23,Wisconsin,2016
21.0,11.967741935483872,Green Bay,MQT,10,04-10-2016,22.0,23.967741935483872,"Green Bay, WI",28.0,14.0,4,0.23,Wisconsin,2016
56.0,5.0,Spokane,MSO,10,04-10-2016,27.0,22.0,"Spokane, WA",77.0,34.0,4,0.0,Washington,2016
77.0,8.0,Key West,MTH,10,04-10-2016,19.0,14.0,"Key West, FL",80.0,73.0,4,0.0,Florida,2016
40.0,11.0,New York/Upton,NYC,10,04-10-2016,0.0,0.0,"New York/Upton, NY",43.0,36.0,4,0.11,New York,2016
60.0,15.0,Norman/Oklahoma City,OKC,10,04-10-2016,41.0,32.0,"Norman/Oklahoma City, OK",75.0,45.0,4,2.91,Oklahoma,2016
41.0,15.0,Omaha/Valley,OMA,10,04-10-2016,36.0,30.0,"Omaha/Valley, NE",58.0,24.0,4,0.0,Nebraska,2016
30.0,12.0,Milwaukee/Sullivan,ORD,10,04-10-2016,27.0,22.0,"Milwaukee/Sullivan, WI",38.0,22.0,4,1.49,Wisconsin,2016
30.0,12.0,Milwaukee/Sullivan,ORD,10,04-10-2016,27.0,22.0,"Milwaukee/Sullivan, WI",38.0,22.0,4,1.49,Wisconsin,2016
73.0,7.0,Phoenix,PHX,10,04-10-2016,22.0,17.0,"Phoenix, AZ",83.0,63.0,4,0.0,Arizona,2016
35.0,8.0,Lincoln,PIA,10,04-10-2016,28.0,20.0,"Lincoln, IL",44.0,25.0,4,0.01,Illinois,2016
30.0,14.0,Pittsburgh,PIT,10,04-10-2016,40.0,30.0,"Pittsburgh, PA",35.0,24.0,4,0.18,Pennsylvania,2016
58.0,11.0,Goodland,PUB,10,04-10-2016,41.0,36.0,"Goodland, KS",81.0,35.0,4,0.0,Kansas,2016
37.0,9.0,Gray/Portland,PWM,10,04-10-2016,31.0,24.0,"Gray/Portland, ME",47.0,26.0,4,0.0,Maine,2016
45.0,10.0,Raleigh,RDU,10,04-10-2016,43.0,25.0,"Raleigh, NC",52.0,38.0,4,0.0,North Carolina,2016
43.0,15.0,Wakefield,RIC,10,04-10-2016,45.0,32.0,"Wakefield, VA",52.0,33.0,4,0.01,Virginia,2016
31.0,12.0,Blacksburg,RNK,10,04-10-2016,41.0,25.0,"Blacksburg, VA",37.0,25.0,4,0.05,Virginia,2016
30.0,14.0,La Crosse,RST,10,04-10-2016,32.0,25.0,"La Crosse, WI",41.0,18.0,4,0.0,Wisconsin,2016
30.0,14.0,La Crosse,RST,10,04-10-2016,32.0,25.0,"La Crosse, WI",41.0,18.0,4,0.0,Wisconsin,2016
41.0,10.0,Louisville,SDF,10,04-10-2016,24.0,18.0,"Louisville, KY",49.0,33.0,4,0.0,Kentucky,2016
51.0,10.0,Springfield,SGF,10,04-10-2016,26.0,20.0,"Springfield, MO",66.0,36.0,4,0.0,Missouri,2016
81.0,10.0,San Juan,SJU,10,04-10-2016,28.0,23.0,"San Juan, PR",87.0,74.0,4,0.0,Puerto Rico,2016
41.0,9.0,St. Louis,STL,10,04-10-2016,28.0,21.0,"St. Louis, MO",51.0,30.0,4,0.0,Missouri,2016
61.0,6.0,Tallahassee,TLH,10,04-10-2016,26.0,20.0,"Tallahassee, FL",78.0,43.0,4,0.0,Florida,2016
26.0,8.0,Cleveland,TOL,10,04-10-2016,24.0,17.0,"Cleveland, OH",32.0,20.0,4,0.29,Ohio,2016
61.0,13.0,Tulsa,TUL,10,04-10-2016,41.0,31.0,"Tulsa, OK",76.0,46.0,4,0.0,Oklahoma,2016
57.0,15.0,Rapid City,UNR,10,04-10-2016,39.0,26.0,"Rapid City, SD",80.0,34.0,4,0.0,South Dakota,2016
57.0,16.0,Rapid City,UNR,10,04-10-2016,39.0,33.0,"Rapid City, SD",80.0,34.0,4,0.0,South Dakota,2016
55.0,5.0,Medford,AAT,11,04-11-2016,27.0,22.0,"Medford, OR",66.0,43.0,4,0.61,Oregon,2016
37.0,7.0,Mount Holly/Philadelphia,ABE,11,04-11-2016,23.0,15.0,"Mount Holly/Philadelphia, NJ",48.0,26.0,4,0.0,New Jersey,2016
72.0,18.0,San Angelo,ABI,11,04-11-2016,43.0,31.0,"San Angelo, TX",82.0,62.0,4,0.33,Texas,2016
59.0,7.0,Albuquerque,ABQ,11,04-11-2016,45.0,33.0,"Albuquerque, NM",71.0,46.0,4,0.01,New Mexico,2016
43.0,17.0,Aberdeen,ABR,11,04-11-2016,44.0,37.0,"Aberdeen, SD",56.0,29.0,4,0.0,South Dakota,2016
53.0,8.0,Denver/Boulder,AKO,11,04-11-2016,35.0,30.0,"Denver/Boulder, CO",66.0,40.0,4,0.0,Colorado,2016
35.0,7.0,Albany,ALB,11,04-11-2016,24.0,17.0,"Albany, NY",47.0,23.0,4,0.0,New York,2016
48.0,7.0,Pueblo,ALS,11,04-11-2016,34.0,26.0,"Pueblo, CO",66.0,30.0,4,0.0,Colorado,2016
68.0,15.0,Amarillo,AMA,11,04-11-2016,68.0,48.0,"Amarillo, TX",85.0,50.0,4,0.79,Texas,2016
57.0,7.0,Birmingham,ANB,11,04-11-2016,21.0,15.0,"Birmingham, AL",71.0,42.0,4,0.0,Alabama,2016
44.0,12.0,Anchorage,ANC,11,04-11-2016,39.0,23.0,"Anchorage, AK",51.0,36.0,4,0.0,Alaska,2016
26.0,11.0,Marquette,ANJ,11,04-11-2016,30.0,22.0,"Marquette, MI",33.0,18.0,4,0.22,Michigan,2016
26.0,11.0,Marquette,ANJ,11,04-11-2016,30.0,22.0,"Marquette, MI",33.0,18.0,4,0.22,Michigan,2016
23.0,10.0,Gaylord,APN,11,04-11-2016,32.0,24.0,"Gaylord, MI",33.0,12.0,4,0.23,Michigan,2016
43.0,13.0,Chicago,ARR,11,04-11-2016,33.0,26.0,"Chicago, IL",51.0,34.0,4,0.14,Illinois,2016
52.0,8.0,Peachtree City/Atlanta,ATL,11,04-11-2016,22.0,17.0,"Peachtree City/Atlanta, GA",63.0,40.0,4,0.0,Georgia,2016
73.0,14.0,Austin/San Antonio,AUS,11,04-11-2016,36.0,29.0,"Austin/San Antonio, TX",81.0,65.0,4,1.21,Texas,2016
52.0,15.0,North Platte,BBW,11,04-11-2016,39.0,32.0,"North Platte, NE",60.0,43.0,4,1.15,Nebraska,2016
28.0,6.0,Binghamton,BGM,11,04-11-2016,21.0,16.0,"Binghamton, NY",37.0,19.0,4,2.57,New York,2016
33.0,8.0,Caribou,BGR,11,04-11-2016,30.0,23.0,"Caribou, ME",43.0,22.0,4,0.0,Maine,2016
44.0,6.0,Billings,BIL,11,04-11-2016,28.0,20.0,"Billings, MT",54.0,34.0,4,0.54,Montana,2016
36.0,15.0,Bismarck,BIS,11,04-11-2016,45.0,33.0,"Bismarck, ND",45.0,26.0,4,0.0,North Dakota,2016
53.0,7.0,Boise,BKE,11,04-11-2016,23.0,17.0,"Boise, ID",73.0,32.0,4,0.0,Idaho,2016
54.0,11.0,Nashville,BNA,11,04-11-2016,37.0,29.0,"Nashville, TN",71.0,37.0,4,0.04,Tennessee,2016
40.0,11.0,Boston,BOS,11,04-11-2016,32.0,23.0,"Boston, MD",49.0,31.0,4,0.0,Massachusetts,2016
76.0,16.0,Brownsville,BRO,11,04-11-2016,42.0,33.0,"Brownsville, TX",85.0,67.0,4,0.09,Texas,2016
67.0,9.0,New Orleans/Baton Rouge,BTR,11,04-11-2016,31.0,24.0,"New Orleans/Baton Rouge, LA",81.0,52.0,4,0.0,Louisiana,2016
32.0,6.0,Burlington,BTV,11,04-11-2016,24.0,18.0,"Burlington, VT",41.0,23.0,4,0.0,Vermont,2016
30.0,6.0,Buffalo,BUF,11,04-11-2016,25.0,20.0,"Buffalo, NY",37.0,22.0,4,0.24,New York,2016
60.0,4.0,Los Angeles/Oxnard,BUR,11,04-11-2016,17.0,14.0,"Los Angeles/Oxnard, CA",67.0,52.0,4,0.0,California,2016
58.0,8.0,Pocatello,BYI,11,04-11-2016,25.0,20.0,"Pocatello, ID",67.0,49.0,4,0.01,Idaho,2016
47.0,5.0,Great Falls,BZN,11,04-11-2016,16.0,14.0,"Great Falls, MT",58.0,35.0,4,0.0,Montana,2016
50.0,6.0,Greenville-Spartanburg,CAE,11,04-11-2016,20.0,16.0,"Greenville-Spartanburg, SC",62.0,38.0,4,0.0,South Carolina,2016
55.0,9.0,Eureka,CEC,11,04-11-2016,24.0,20.0,"Eureka, CA",58.0,51.0,4,1.03,California,2016
60.0,15.0,Paducah,CGI,11,04-11-2016,46.0,32.0,"Paducah, KY",76.0,43.0,4,0.06,Kentucky,2016
50.0,5.0,Morristown/Knoxville,CHA,11,04-11-2016,21.0,16.0,"Morristown/Knoxville, TN",63.0,36.0,4,3.07,Tennessee,2016
51.0,9.0,Charleston,CHS,11,04-11-2016,25.0,17.0,"Charleston, SC",61.0,41.0,4,0.0,South Carolina,2016
60.0,12.0,Topeka,CNK,11,04-11-2016,36.0,26.0,"Topeka, KS",70.0,49.0,4,0.0,Kansas,2016
72.0,18.0,Wichita,CNU,11,04-11-2016,41.0,30.0,"Wichita, KS",87.0,56.0,4,1.01,Kansas,2016
77.0,18.0,Corpus Christi,CRP,11,04-11-2016,36.0,30.0,"Corpus Christi, TX",86.0,67.0,4,1.46,Texas,2016
50.0,3.0,Columbia,CUB,11,04-11-2016,16.0,10.0,"Columbia, SC",62.0,37.0,4,0.0,South Carolina,2016
45.0,13.0,Wilmington,CVG,11,04-11-2016,35.0,23.0,"Wilmington, OH",60.0,29.0,4,0.22,Ohio,2016
45.0,12.0,Riverton,CYS,11,04-11-2016,39.0,30.0,"Riverton, WY",57.0,33.0,4,0.34,Wyoming,2016
51.0,4.0,San Diego,CZZ,11,04-11-2016,26.0,23.0,"San Diego, CA",58.0,44.0,4,0.17,California,2016
64.0,6.0,Melbourne,DAB,11,04-11-2016,20.0,17.0,"Melbourne, FL",77.0,50.0,4,0.0,Florida,2016
63.0,9.0,Las Vegas,DAG,11,04-11-2016,31.0,23.0,"Las Vegas, NV",73.0,53.0,4,0.05,Nevada,2016
42.0,9.0,Baltimore/Washington,DCA,11,04-11-2016,24.0,18.0,"Baltimore/Washington, VA",52.0,31.0,4,0.0,Virginia,2016
53.0,10.0,Grand Junction,DEN,11,04-11-2016,30.0,26.0,"Grand Junction, CO",68.0,38.0,4,0.13,Colorado,2016
53.0,10.0,Grand Junction,DEN,11,04-11-2016,30.0,26.0,"Grand Junction, CO",68.0,38.0,4,0.13,Colorado,2016
70.0,18.0,Fort Worth/Dallas,DFW,11,04-11-2016,37.0,30.0,"Fort Worth/Dallas, TX",77.0,62.0,4,0.0,Texas,2016
63.0,17.0,Dodge City,DGC,11,04-11-2016,31.0,26.0,"Dodge City, KS",75.0,50.0,4,0.0,Kansas,2016
56.0,10.0,Des Moines,DSM,11,04-11-2016,26.0,23.0,"Des Moines, IA",67.0,45.0,4,0.02,Iowa,2016
36.0,8.0,Detroit/Pontiac,DTW,11,04-11-2016,26.0,22.0,"Detroit/Pontiac, MI",46.0,26.0,4,0.4,Michigan,2016
54.0,5.0,Portland,EKA,11,04-11-2016,22.0,14.0,"Portland, OR",56.0,51.0,4,0.02,Oregon,2016
65.0,15.0,El Paso,ELP,11,04-11-2016,47.0,36.0,"El Paso, TX",80.0,50.0,4,0.0,Texas,2016
47.0,7.0,Elko,ELY,11,04-11-2016,24.0,18.0,"Elko, NV",56.0,37.0,4,0.14,Nevada,2016
45.0,0.0,Fairbanks,FAI,11,04-11-2016,15.0,0.0,"Fairbanks, AK",54.0,35.0,4,0.0,Alaska,2016
64.0,7.0,San Joaquin Valley/Hanford,FAT,11,04-11-2016,21.0,17.0,"San Joaquin Valley/Hanford, CA",71.0,56.0,4,0.99,California,2016
33.0,12.225806451612904,Grand Forks,FGF,11,04-11-2016,28.741935483870968,22.548387096774196,"Grand Forks, ND",39.0,27.0,4,0.79,North Dakota,2016
33.0,4.258064516129032,Grand Forks,FGF,11,04-11-2016,16.548387096774196,12.451612903225806,"Grand Forks, ND",39.0,27.0,4,0.79,North Dakota,2016
38.0,7.0,Flagstaff,FLG,11,04-11-2016,28.0,23.0,"Flagstaff, AZ",48.0,28.0,4,0.13,Arizona,2016
48.0,13.0,Sioux Falls,FSD,11,04-11-2016,40.0,33.0,"Sioux Falls, SD",61.0,34.0,4,0.0,South Dakota,2016
48.0,13.0,Sioux Falls,FSD,11,04-11-2016,40.0,33.0,"Sioux Falls, SD",61.0,34.0,4,0.0,South Dakota,2016
48.0,13.0,Sioux Falls,FSD,11,04-11-2016,40.0,33.0,"Sioux Falls, SD",61.0,34.0,4,0.0,South Dakota,2016
41.0,12.0,Northern Indiana,FWA,11,04-11-2016,30.0,25.0,"Northern Indiana, IN",52.0,29.0,4,0.22,Indiana,2016
37.0,18.0,Glasgow,GGW,11,04-11-2016,39.0,29.0,"Glasgow, MT",48.0,25.0,4,0.0,Montana,2016
55.0,6.0,Salt Lake City,GJT,11,04-11-2016,20.0,16.0,"Salt Lake City, UT",64.0,45.0,4,0.05,Utah,2016
54.0,12.0,Hastings,GLD,11,04-11-2016,32.0,25.0,"Hastings, NE",66.0,41.0,4,1.24,Nebraska,2016
64.0,6.0,Jacksonville,GNV,11,04-11-2016,21.0,16.0,"Jacksonville, FL",78.0,49.0,4,0.0,Florida,2016
51.0,7.0,Missoula,GPI,11,04-11-2016,30.0,23.0,"Missoula, MT",63.0,39.0,4,0.0,Montana,2016
37.0,11.0,Grand Rapids,GRR,11,04-11-2016,25.0,20.0,"Grand Rapids, MI",45.0,29.0,4,0.79,Michigan,2016
70.0,7.0,Houston/Galveston,HOU,11,04-11-2016,35.0,28.0,"Houston/Galveston, TX",80.0,60.0,4,0.02,Texas,2016
46.0,6.0,Newport/Morehead City,HSE,11,04-11-2016,29.0,17.0,"Newport/Morehead City, NC",51.0,41.0,4,0.0,North Carolina,2016
59.0,12.0,Huntsville,HSV,11,04-11-2016,32.0,25.0,"Huntsville, AL",75.0,42.0,4,0.02,Alabama,2016
46.0,5.0,Wilmington,ILM,11,04-11-2016,20.0,16.0,"Wilmington, NC",56.0,35.0,4,0.0,North Carolina,2016
47.0,14.0,Indianapolis,IND,11,04-11-2016,42.0,35.0,"Indianapolis, IN",63.0,30.0,4,0.53,Indiana,2016
31.0,12.0,Minneapolis/Twin Cities,INL,11,04-11-2016,28.0,22.0,"Minneapolis/Twin Cities, MN",36.0,26.0,4,0.03,Minnesota,2016
31.0,12.0,Minneapolis/Twin Cities,INL,11,04-11-2016,28.0,22.0,"Minneapolis/Twin Cities, MN",36.0,26.0,4,0.03,Minnesota,2016
70.0,13.0,Jackson,JAN,11,04-11-2016,34.0,26.0,"Jackson, MS",82.0,57.0,4,0.0,Mississippi,2016
58.0,8.0,Tampa,JAX,11,04-11-2016,28.0,22.0,"Tampa, FL",73.0,42.0,4,3.83,Florida,2016
47.0,4.0,Charleston,JKL,11,04-11-2016,19.0,12.0,"Charleston, WV",64.0,29.0,4,0.71,West Virginia,2016
0.0,0.0,Juneau,JNU,11,04-11-2016,0.0,0.0,"Juneau, AK",0.0,0.0,4,0.0,Alaska,2016
66.0,14.0,Lubbock,LBB,11,04-11-2016,32.0,25.0,"Lubbock, TX",78.0,53.0,4,0.01,Texas,2016
53.0,12.0,Cheyenne,LBF,11,04-11-2016,33.0,25.0,"Cheyenne, WY",62.0,43.0,4,0.05,Wyoming,2016
65.0,11.0,Lake Charles,LCH,11,04-11-2016,31.0,24.0,"Lake Charles, LA",77.0,53.0,4,0.0,Louisiana,2016
69.0,13.0,North Little Rock,LIT,11,04-11-2016,37.0,28.0,"North Little Rock, AR",82.0,56.0,4,2.53,Arkansas,2016
41.0,12.0,Davenport/Quad Cities,LOT,11,04-11-2016,39.0,25.0,"Davenport/Quad Cities, IA",50.0,32.0,4,0.19,Iowa,2016
45.0,6.0,Jackson,LOZ,11,04-11-2016,23.0,16.0,"Jackson, KY",62.0,27.0,4,1.27,Kentucky,2016
67.0,5.111111111111111,Shreveport,LZK,11,04-11-2016,16.444444444444443,11.666666666666666,"Shreveport, LA",80.0,54.0,4,1.56,Louisiana,2016
75.0,16.0,Midland/Odessa,MAF,11,04-11-2016,37.0,29.0,"Midland/Odessa, TX",87.0,62.0,4,0.38,Texas,2016
61.0,11.0,Kansas City/Pleasant Hill,MCI,11,04-11-2016,39.0,29.0,"Kansas City/Pleasant Hill, MO",70.0,52.0,4,0.03,Missouri,2016
39.0,7.0,State College,MDT,11,04-11-2016,23.0,20.0,"State College, PA",48.0,29.0,4,0.0,Pennsylvania,2016
67.0,15.0,Memphis,MEM,11,04-11-2016,41.0,32.0,"Memphis, TN",81.0,53.0,4,0.01,Tennessee,2016
